Date,EFM EMEA
2002-05,374.6546846246493
2002-06,322.60872036912184
2002-07,290.7956415882029
2002-08,302.30760078219106
2002-09,295.26083692140816
2002-10,308.2641851848044
2002-11,332.54660342963797
2002-12,317.9734864524015
2003-01,304.4720235839612
2003-02,309.22841492494507
2003-03,294.60635784498555
2003-04,318.8966885749482
2003-05,323.48209951661084
2003-06,343.3535880249504
2003-07,355.73808996690036
2003-08,391.1172071455417
2003-09,379.99615556365876
2003-10,399.73835095100316
2003-11,406.86018450037136
2003-12,401.83246745062604
2004-01,417.4241905646209
2004-02,441.75213654475033
2004-03,465.49662439323083
2004-04,431.3802922701662
2004-05,435.1954403153802
2004-06,445.11312852003346
2004-07,442.2095665987142
2004-08,451.65795349819933
2004-09,470.01041653838126
2004-10,476.13520755534336
2004-11,494.843215442751
2004-12,509.4025868575476
2005-01,529.4593076186694
2005-02,573.7355315997746
2005-03,554.4373863766399
2005-04,556.3864408663588
2005-05,577.7862715890658
2005-06,630.0060382757945
2005-07,663.766761224401
2005-08,702.2989102732881
2005-09,788.6637006224687
2005-10,751.8201250742729
2005-11,807.0325250679097
2005-12,843.8466365253373
2006-01,905.080072268778
2006-02,905.9212185329809
2006-03,897.168613037027
2006-04,906.5092201277221
2006-05,783.5269474690925
2006-06,770.488770387516
2006-07,793.8707012920592
2006-08,811.7840651878173
2006-09,786.999637883309
2006-10,827.4596562597816
2006-11,837.7387289126825
2006-12,880.760800500364
2007-01,885.2938838037342
2007-02,868.5933909817428
2007-03,903.6743468003298
2007-04,915.9823179849212
2007-05,919.9518593130745
2007-06,948.4206084250064
2007-07,961.9610169435688
2007-08,939.0050064364134
2007-09,965.6441205628945
2007-10,1040.1022256877197
2007-11,1000.0
2007-12,1025.2990938879175
2008-01,895.2885866824057
2008-02,925.4117273150065
2008-03,851.0783593745147
2008-04,915.655364721532
2008-05,978.315147074878
2008-06,904.01855141155
2008-07,874.2917146470536
2008-08,839.851323835573
2008-09,733.8150821795756
2008-10,576.8547298114853
2008-11,518.2291073176814
2008-12,480.19540756486015
2009-01,451.2660094305296
2009-02,435.032388908495
2009-03,470.28660470024994
2009-04,541.8313157689663
2009-05,601.6577448523807
2009-06,592.8601482674817
2009-07,634.8853411103173
2009-08,652.5325965631828
2009-09,674.4461852452433
2009-10,672.7055685861583
2009-11,671.8789405189209
2009-12,729.6748143552396
2010-01,746.7582021818502
2010-02,747.5056113983009
2010-03,828.1635028657546
2010-04,842.1354510096761
2010-05,824.0497420497591
2010-06,795.0261022183879
2010-07,835.3969477424129
2010-08,833.9719503887239
2010-09,861.0974655719224
2010-10,874.6310271956155
2010-11,900.3319952463012
2010-12,962.4258419751222
2011-01,904.9682711316648
2011-02,930.0150184913877
2011-03,946.3381819381796
2011-04,945.2472111894
2011-05,920.6799724492428
2011-06,902.9733656369953
2011-07,904.359872250732
2011-08,830.6095710151776
2011-09,752.9337427147311
