Date,ACWI ex HONG KONG
2015-12,2147.2776173380958
2016-01,2026.4609942527618
2016-02,2004.0599043367924
2016-03,2051.966996877188
2016-04,2071.8341222282147
2016-05,2134.5082460643143
2016-06,2125.6248081986932
2016-07,2202.1704536817097
2016-08,2218.321462145588
2016-09,2211.1964634769465
2016-10,2228.24709825213
2016-11,2320.755863850576
2016-12,2386.806471504554
2017-01,2391.9511914244586
2017-02,2501.1483538026473
2017-03,2514.7416157913344
2017-04,2507.999086572557
2017-05,2482.0265777661934
2017-06,2458.1769888103163
2017-07,2444.2142689967086
2017-08,2432.7682736716615
2017-09,2494.4871573436103
2017-10,2584.4871464987136
2017-11,2573.5650056571744
2017-12,2596.322523178139
2018-01,2644.1246448074994
2018-02,2586.968329135976
2018-03,2510.742164717911
2018-04,2579.423991676944
2018-05,2672.9887009854956
2018-06,2659.358188178952
2018-07,2734.130418205984
2018-08,2772.086348340982
2018-09,2789.159644003168
2018-10,2646.0628847090325
2018-11,2685.0132716637822
2018-12,2469.974096989647
2019-01,2655.0554763533823
2019-02,2745.9851006849217
2019-03,2819.7433121471377
2019-04,2921.3411622973185
2019-05,2763.9747727013955
2019-06,2881.577966474411
2019-07,2957.2397661340533
2019-08,2920.9929763036057
2019-09,3013.575466445549
2019-10,3024.8040858127333
2019-11,3136.6068374902593
2019-12,3189.348424859399
2020-01,3195.936872485108
2020-02,2961.734450310655
2020-03,2564.28972236723
2020-04,2845.0004926977426
2020-05,2926.9512727632123
2020-06,2989.403130346154
2020-07,2991.1569123438126
2020-08,3138.068951425159
2020-09,3097.7887041795016
2020-10,3042.3708341355755
2020-11,3328.129901439693
2020-12,3404.683017604042
2021-01,3412.594181339672
2021-02,3494.0728402373124
2021-03,3705.6505135690827
2021-04,3776.523346463831
2021-05,3776.2425283301955
2021-06,3945.637070093735
2021-07,3974.331312739446
2021-08,4093.2952658358568
2021-09,3997.6368251809286
2021-10,4209.019124162339
2021-11,4224.092699011594
2021-12,4349.268408743435
2022-01,4193.648282787364
2022-02,4077.4022810424144
2022-03,4205.8596094748045
2022-04,4079.8947191246684
2022-05,4021.7269054781996
2022-06,3770.6241862660377
2022-07,4139.386214471811
2022-08,4042.8497116574345
2022-09,3752.8313281772844
2022-10,3949.1884721568545
2022-11,4081.0043618040586
2022-12,3779.0409607426172
2023-01,3980.7722711153306
2023-02,3961.130751114468
2023-03,3986.250725957332
2023-04,3979.50165819735
2023-05,4079.0180444259213
2023-06,4217.948781764767
2023-07,4326.766728141518
