Date,NORTH AMERICA
1998-12,100.0
1999-01,107.97777628955897
1999-02,108.43715073574546
1999-03,114.81118537678239
1999-04,121.63568213884906
1999-05,120.47159619752432
1999-06,128.28952613510555
1999-07,119.7561491067209
1999-08,120.49564417008636
1999-09,116.1859249823869
1999-10,125.39663541419387
1999-11,133.7598207292497
1999-12,144.09543168055
2000-01,140.03320444974497
2000-02,139.39440176921684
2000-03,154.1404742474411
2000-04,156.55607539801252
2000-05,149.77939175818088
2000-06,149.0332408648408
2000-07,151.7459714842321
2000-08,166.63424745517406
2000-09,158.30724010349368
2000-10,162.9463206460628
2000-11,146.01040125691236
2000-12,135.28078269980276
2001-01,141.6074040299352
2001-02,129.90210587503202
2001-03,126.32688685440831
2001-04,135.70891761854082
2001-05,142.8074623359168
2001-06,139.59685523336952
2001-07,133.7915181972728
2001-08,120.31920827536997
2001-09,110.71946417680734
2001-10,113.49424660504927
2001-11,122.98032342525347
2001-12,124.4485233328932
2002-01,126.89152765627082
2002-02,123.80900134992852
2002-03,127.29762969306041
2002-04,115.48329169518117
2002-05,110.63414888398373
2002-06,96.72127925629485
2002-07,90.2430472735534
2002-08,90.62914887547063
2002-09,79.86155583402392
2002-10,86.7105357782769
2002-11,91.46667450193239
2002-12,81.59509946479012
2003-01,77.96985807077786
2003-02,76.59317406865594
2003-03,76.25411275304275
2003-04,80.69748091377042
2003-05,80.73897880997929
2003-06,83.7325437284874
2003-07,86.92495771188709
2003-08,90.86829210311376
2003-09,84.7511853927448
2003-10,89.74680975203786
2003-11,87.91504847809105
2003-12,87.85727579423185
2004-01,90.76090984131342
2004-02,91.84339241410672
2004-03,91.39797981512812
2004-04,91.92982628873499
2004-05,91.45549796968757
2004-06,93.58536382580873
2004-07,91.47115800552243
2004-08,91.01385914185107
2004-09,90.27088436397442
2004-10,89.66631446220728
2004-11,89.30202810854801
2004-12,90.26133143118359
2005-01,91.68826744669843
2005-02,92.06876060473398
2005-03,92.64228238010357
2005-04,91.36237154782553
2005-05,98.5383979548081
2005-06,101.01672133586388
2005-07,104.5304094824214
2005-08,102.62095224807165
2005-09,105.86822381796826
2005-10,104.41008632347784
2005-11,110.36838118779828
2005-12,110.62202309034305
2006-01,110.76458666736623
2006-02,112.71426176273377
2006-03,112.44497701307273
2006-04,109.66153449297491
2006-05,104.31954198620747
2006-06,104.74291854305439
2006-07,105.26485089718564
2006-08,107.52498947938057
2006-09,110.95275789406472
2006-10,113.94883450528816
2006-11,111.8842614301945
2006-12,113.64219127841282
2007-01,117.21461207710911
2007-02,113.31824661139741
2007-03,113.75363719094506
2007-04,115.81342343702549
2007-05,121.90841848376748
2007-06,119.5273070067771
2007-07,114.49498488853393
2007-08,116.51211837659218
2007-09,116.37906869893943
2007-10,116.98355848859006
2007-11,109.70820402144626
2007-12,109.74652179640954
2008-01,101.73051176230084
2008-02,96.8100420648379
2008-03,91.94728256109346
2008-04,98.34719720820186
2008-05,100.54427673953788
2008-06,91.45019814521122
2008-07,90.74640926871358
2008-08,97.14347878087138
2008-09,91.9836452109206
2008-10,83.591567565333
2008-11,77.40641261354457
2008-12,71.30183576758316
2009-01,71.26839940054364
2009-02,64.56460194796617
2009-03,67.05314894515881
2009-04,73.82982355707004
2009-05,73.75018512473733
2009-06,74.16329465673934
2009-07,79.16197559542033
2009-08,80.52321867456472
2009-09,82.31810298246094
2009-10,79.70494301177268
2009-11,83.03540097558725
2009-12,88.72423425818697
2010-01,88.01960157465025
2010-02,92.56785582974797
2010-03,99.10479475027047
2010-04,102.42379835630668
2010-05,102.10021853493808
2010-06,96.80796930658482
2010-07,97.36225825815298
2010-08,95.54435444862777
2010-09,96.87997019398621
2010-10,98.79968243587857
2010-11,105.63388347522469
2010-12,109.40599562606073
2011-01,109.38359368335394
2011-02,112.56283917920243
2011-03,109.62509555322825
2011-04,107.83603469474367
2011-05,109.79719572129149
2011-06,106.85213825241006
2011-07,105.65472461089911
2011-08,99.75120695665314
2011-09,98.55976925136231
2011-10,105.13504615588859
2011-11,108.30491565790037
2011-12,112.9881662183099
2012-01,117.40992180689194
2012-02,119.7884524893145
2012-03,123.45046601758843
2012-04,123.53949060868558
2012-05,123.499316589037
2012-06,124.91436232935247
2012-07,130.5059084752534
2012-08,130.60844159761908
2012-09,131.29647517661218
2012-10,128.11112866775736
2012-11,128.241850432371
2012-12,127.68005444411581
2013-01,130.1618898010825
2013-02,136.4907103899714
2013-03,143.7697757110713
2013-04,142.3800086133636
2013-05,147.50556933751054
2013-06,144.5770560735533
2013-07,148.96721322534293
2013-08,145.9759889964813
2013-09,146.9045644500293
2013-10,152.59046934212205
2013-11,156.1908447592163
2013-12,158.28468827961163
2014-01,156.1157056003812
2014-02,159.46348406999542
2014-03,160.91673277678726
2014-04,161.12258415562314
2014-05,167.33353568361682
2014-06,170.71657488418813
2014-07,172.34444608007286
2014-08,181.75577188775583
2014-09,185.79357634673084
2014-10,191.09556241506462
2014-11,196.6795919508348
2014-12,201.693799530076
2015-01,209.3522564715878
2015-02,222.8037398593199
2015-03,228.97389779555
2015-04,222.19696264469945
2015-05,229.14437277280314
2015-06,220.96139277001822
2015-07,226.43135116062132
2015-08,209.5459317843352
2015-09,204.43271098905922
2015-10,223.08798608592573
2015-11,233.69743336147312
2015-12,222.64446740312894
2016-01,211.87613860766578
2016-02,210.8269251858116
2016-03,215.00070522112287
2016-04,215.62688861722987
2016-05,225.06931044685348
2016-06,226.02637395690402
2016-07,232.94336494909447
2016-08,234.09555506373835
2016-09,232.2878777932018
2016-10,233.67914915689326
2016-11,249.83962083348186
2016-12,255.84072689932643
2017-01,255.03065780020773
2017-02,268.57127560302825
2017-03,267.1298742424496
2017-04,264.6444004582971
2017-05,259.36488703595245
2017-06,257.5558443428588
2017-07,254.39182341076392
2017-08,252.89664698407185
2017-09,259.6681648990897
2017-10,269.0809424589605
2017-11,270.3518397676683
2017-12,271.6782151274186
2018-01,276.1127714315063
2018-02,270.9547391839661
2018-03,262.2525755533059
2018-04,268.23180049035517
2018-05,284.1429083706806
2018-06,285.8384439478959
2018-07,295.191543881621
2018-08,305.731677876073
2018-09,307.4559394262448
2018-10,293.0624371906339
2018-11,298.530718189885
2018-12,269.0186245381528
2019-01,290.6044004746285
2019-02,302.3516219157386
2019-03,311.74577345402577
2019-04,324.60897942559836
2019-05,306.01041492267694
2019-06,320.1908210358939
2019-07,332.07909066726086
