Date,FM GCC COUNTRIES
2014-06,952.6259242727156
2014-07,996.9001603835942
2014-08,1027.5076527178098
2014-09,1072.9241015767432
2014-10,1035.8144761815756
2014-11,996.8644639194273
2014-12,954.9535305884301
2015-01,1032.0237984996695
2015-02,1076.6685316708047
2015-03,1041.2431430932522
2015-04,1037.215187797488
2015-05,1009.735946901624
2015-06,1004.890069404928
2015-07,1009.1325029564073
2015-08,906.8083892667787
2015-09,919.2315405373896
2015-10,923.0557877963646
2015-11,944.5978236686512
2015-12,896.2370557649774
2016-01,811.9765731122559
2016-02,850.2150191022015
2016-03,835.4526066090543
2016-04,853.6715748124577
2016-05,847.191131044834
2016-06,826.8428943473834
2016-07,835.6513012751825
2016-08,826.2027262475098
2016-09,831.5971246055457
2016-10,856.6737521613521
2016-11,914.050606620715
2016-12,957.6538640434804
2017-01,1037.6293618081977
2017-02,1039.6493579484002
2017-03,1028.4337693118996
2017-04,997.6583889216043
2017-05,964.9002814722664
2017-06,931.3364988098093
2017-07,953.9424986485233
2017-08,999.0565710005955
2017-09,1014.1645383739234
2017-10,999.9203556261635
2017-11,944.3233865151223
2017-12,940.8039937085554
2018-01,937.7393630802952
2018-02,968.5053201983881
2018-03,972.9429041676218
2018-04,958.7586605276011
2018-05,974.291905366296
2018-06,1013.5939324935123
2018-07,1087.6890719675498
2018-08,1087.5814746975855
2018-09,1110.8197654672047
2018-10,1111.9395207890161
2018-11,1125.1923531156342
2018-12,1103.344830455687
2019-01,1133.489900780594
2019-02,1155.9070478242704
2019-03,1277.7610214898607
2019-04,1330.0854004597936
2019-05,1382.3063809743342
2019-06,1382.9521144314701
2019-07,1499.710783651332
2019-08,1478.3319949044385
2019-09,1410.7004171471172
2019-10,1392.383903555329
2019-11,1466.0930099362972
2019-12,1546.4434514743793
2020-01,1571.9315466836201
2020-02,1514.0581393976665
2020-03,1174.3082841614637
2020-04,1238.867866340291
2020-05,1253.520042450644
2020-06,1280.733309680412
2020-07,1189.0504922685657
2020-08,1287.673998337137
2020-09,1334.4576288936612
2020-10,1332.341472627806
2020-11,1300.8197051780276
2020-12,1264.1157828052214
2021-01,1274.9700930806407
2021-02,1279.6429202865143
2021-03,1321.6717132881759
2021-04,1342.6367467325433
2021-05,1362.7755745020559
2021-06,1508.8961854641407
2021-07,1540.0600955791092
2021-08,1614.0140104321476
2021-09,1722.2831477467046
2021-10,1786.6935070646293
2021-11,1712.146043948762
2021-12,1766.6184475254136
2022-01,1840.0255857639183
2022-02,1930.610249699743
2022-03,2153.616353195808
2022-04,2356.223388965152
2022-05,2114.8757714875164
2022-06,2117.1624465240043
2022-07,2399.6853881326533
2022-08,2442.6994786179225
2022-09,2467.0498630263824
2022-10,2391.300801840865
2022-11,2300.8369463306512
2022-12,2265.843689296795
2023-01,2235.1194749151173
2023-02,2333.3337357200335
2023-03,2348.7741586443494
2023-04,2295.679653432398
2023-05,2409.802376209176
2023-06,2405.8344693132253
2023-07,2413.5950221942976
