Date,EFM EUROPE + CIS (E+C)
2002-05,280.0561205202993
2002-06,236.41107137224597
2002-07,218.55811674363707
2002-08,229.51758273376225
2002-09,221.84719658941097
2002-10,240.30925241253783
2002-11,256.25700611889295
2002-12,233.13505012924986
2003-01,221.1075621324904
2003-02,233.94601455811184
2003-03,216.05455015353928
2003-04,249.55526115606287
2003-05,264.0444356626406
2003-06,276.13495691988845
2003-07,272.4094627870956
2003-08,316.86838657761155
2003-09,315.8011556123885
2003-10,312.11104945183627
2003-11,309.1789803262501
2003-12,323.26032873302364
2004-01,343.3494562182132
2004-02,371.33839337199163
2004-03,414.7344524020079
2004-04,374.26131570806876
2004-05,359.2888282734065
2004-06,366.92144482561616
2004-07,360.0692217954017
2004-08,379.3445948493896
2004-09,400.24873690118625
2004-10,413.696729492109
2004-11,406.3476881671753
2004-12,417.4422520688427
2005-01,442.60124226560055
2005-02,496.51142128474504
2005-03,457.6237363134057
2005-04,438.43839234510585
2005-05,470.16176430368904
2005-06,508.7861212994725
2005-07,558.4334296365213
2005-08,604.4387119375632
2005-09,690.1455647338063
2005-10,637.052599840303
2005-11,699.1405964813677
2005-12,725.6137248274422
2006-01,809.0859548056804
2006-02,863.8578998861381
2006-03,832.0159691357348
2006-04,884.6601261557777
2006-05,758.9277255055778
2006-06,765.6877957716383
2006-07,808.1297108810829
2006-08,822.122819477389
2006-09,788.9618306279687
2006-10,823.8582306217997
2006-11,861.8466403275363
2006-12,898.0263700039654
2007-01,885.0684474482741
2007-02,853.3262169626389
2007-03,890.0899477372731
2007-04,881.3746255293607
2007-05,865.3240340616532
2007-06,926.4069977416281
2007-07,955.5795192847771
2007-08,916.8012515536029
2007-09,954.860422341103
2007-10,1024.2192463575354
2007-11,1000.0
2007-12,1038.4175858670621
2008-01,861.098986522368
2008-02,889.6395346654348
2008-03,831.5844064272882
2008-04,872.3097539159558
2008-05,976.517637063696
2008-06,893.3827044739503
2008-07,837.5171020689115
2008-08,769.9436902729174
2008-09,640.9803171849943
2008-10,463.94058286310036
2008-11,395.17234370227675
2008-12,352.1933286221988
2009-01,326.66501606224256
2009-02,306.4114724206177
2009-03,343.16273451372007
2009-04,421.94283608269893
2009-05,491.7131008304444
2009-06,456.05107158818095
2009-07,508.84476482771595
2009-08,523.2746086400799
2009-09,563.7354803424378
2009-10,575.7667627762282
2009-11,576.6534763718382
2009-12,625.9639593445072
2010-01,658.4518259752339
2010-02,629.7911932417492
2010-03,704.385288446687
2010-04,720.1391706159786
2010-05,682.6064428328727
2010-06,655.704457431438
2010-07,697.3615298829723
2010-08,690.1571965788849
2010-09,703.7214686469829
2010-10,723.5784807141125
2010-11,737.9781259962738
2010-12,776.4598220328469
2011-01,776.1190999499288
2011-02,800.2008192062397
2011-03,820.4439765704919
2011-04,815.0589095757193
2011-05,784.9334811900163
2011-06,775.2660444639447
2011-07,780.8570305615193
2011-08,676.6491661475429
2011-09,591.4108405005909
2011-10,649.530732582544
2011-11,653.7788920444624
2011-12,612.8276683191085
2012-01,697.5612922272945
2012-02,738.938297860838
2012-03,711.5862724310839
2012-04,696.2836225181819
2012-05,613.2166101910541
2012-06,666.5221930178158
2012-07,700.958098403008
2012-08,702.2306184435386
2012-09,720.6289852487743
2012-10,711.8533323765613
2012-11,712.9154241940423
2012-12,747.5710732062306
2013-01,753.6789115621074
2013-02,748.055358285822
2013-03,748.6884917075447
2013-04,725.3120915125221
2013-05,725.0357449793946
2013-06,673.7605812655926
2013-07,675.6466276305578
2013-08,664.8078659362069
2013-09,708.3989955581872
2013-10,739.2177909587045
2013-11,712.6835628737088
2013-12,686.6948074560969
2014-01,638.7448582534577
2014-02,636.480055174243
2014-03,641.7838434131161
2014-04,621.0083345911781
2014-05,682.821354846562
2014-06,695.1466580201898
2014-07,669.75078799054
2014-08,673.4637450490684
2014-09,661.8510221465929
2014-10,657.1687280548997
2014-11,632.734252067114
2014-12,552.2424727381847
2015-01,569.72549569158
2015-02,626.3516357539484
2015-03,631.1595787687926
2015-04,677.6122152753449
2015-05,660.6591718167867
2015-06,634.1840843597865
2015-07,612.3299727554088
2015-08,559.3479221531011
2015-09,536.5168249322837
2015-10,572.3650880134659
2015-11,575.4096148698296
2015-12,523.854196923076
2016-01,509.8631527147481
2016-02,514.9075427587333
2016-03,569.0384234644935
2016-04,585.7158403371618
2016-05,563.666495679127
2016-06,561.1170567767631
2016-07,565.0796318274798
2016-08,577.2060216335383
2016-09,580.6606022699879
2016-10,602.0186872309964
2016-11,614.0218489086848
2016-12,673.6117601942457
2017-01,670.402409278259
2017-02,669.3818613855871
2017-03,675.6511615663453
2017-04,692.6447827970295
2017-05,662.3901193563836
2017-06,650.0175558633331
2017-07,660.8365180733426
2017-08,697.0653804234606
2017-09,691.0355421856344
2017-10,700.324948371985
2017-11,685.3673067731668
2017-12,715.8568082141054
2018-01,760.0942849783988
2018-02,755.4934037556859
2018-03,715.1981850873062
2018-04,694.1110663421687
2018-05,680.8804606065569
2018-06,677.3757048845266
2018-07,700.2492268606385
2018-08,652.6628822774321
2018-09,695.9236161261784
2018-10,674.5866758729011
2018-11,690.6937946138794
2018-12,664.6156153134442
2019-01,734.7192771145637
2019-02,726.2031030398218
2019-03,727.0894754706285
2019-04,746.8322961340141
2019-05,761.3352924237213
2019-06,801.7169069185475
2019-07,822.6719508889447
2019-08,782.8627578787393
2019-09,816.2423889706057
