Date,EM ASIA ESG SCREENED
2012-05,1000.0
2012-06,997.4967938434801
2012-07,1050.7748889508357
2012-08,1019.9350321105966
2012-09,1071.617891224041
2012-10,1058.9567289726297
2012-11,1088.6918885150528
2012-12,1111.2131996411879
2013-01,1091.875104716143
2013-02,1135.0743868248412
2013-03,1128.3854089020454
2013-04,1118.6119494768604
2013-05,1131.8313782065081
2013-06,1062.1328749439065
2013-07,1053.453367229796
2013-08,1049.3622645673815
2013-09,1076.0886909313722
2013-10,1123.3121597668837
2013-11,1123.0106936450406
2013-12,1095.0382251401657
2014-01,1065.6355316587399
2014-02,1073.0906650773322
2014-03,1087.054250503327
2014-04,1082.6129770408925
2014-05,1144.5527253580678
2014-06,1172.27552325905
2014-07,1240.3065694985135
2014-08,1274.6187473826733
2014-09,1255.5430771605074
2014-10,1286.4630524963836
2014-11,1298.1729259915423
2014-12,1313.6573474598465
2015-01,1445.004408459266
2015-02,1490.543458079495
2015-03,1564.9819730998654
2015-04,1607.0249232030853
2015-05,1599.3764745885749
2015-06,1510.4456167636067
2015-07,1409.5431762050998
2015-08,1261.654647007188
2015-09,1248.0865676476476
2015-10,1361.5985963411144
2015-11,1379.3997042707292
2015-12,1331.6250105312106
2016-01,1237.529842570888
2016-02,1215.1890699991786
2016-03,1291.002228805988
2016-04,1265.2194116940516
2016-05,1286.1117389242322
2016-06,1323.0067232304918
2016-07,1379.8769705772659
2016-08,1444.0986744296597
2016-09,1452.018383621444
2016-10,1466.58866831952
2016-11,1465.9784963115128
2016-12,1451.9861472697025
2017-01,1501.5624781882677
2017-02,1583.6711183611776
2017-03,1626.5466869063055
2017-04,1632.1523706899168
2017-05,1655.0278361646924
2017-06,1662.1609074758746
2017-07,1700.9310008954403
2017-08,1711.3445252336417
2017-09,1723.2396208676262
2017-10,1842.134454251465
2017-11,1801.816567353772
2017-12,1838.038487386108
2018-01,1915.3494923531487
2018-02,1852.0501905164563
2018-03,1813.3344000288955
2018-04,1846.8500097365159
2018-05,1886.4987115990064
2018-06,1799.1060357586407
2018-07,1805.7000598403438
2018-08,1801.2677467411156
2018-09,1774.8325856014305
2018-10,1616.7017181899412
2018-11,1701.2021770367326
2018-12,1629.5525500107476
2019-01,1746.2242081507984
2019-02,1790.8366626788272
2019-03,1850.5985086375852
2019-04,1889.917495534654
2019-05,1729.4163893737118
2019-06,1801.5439103903802
2019-07,1815.0037923380517
2019-08,1767.3063516291834
2019-09,1821.0678700896094
2019-10,1861.2810425024318
2019-11,1896.3524477179021
2019-12,1997.102842301866
2020-01,1932.978707785652
2020-02,1899.1499810954292
2020-03,1679.766460607687
2020-04,1837.4546831398804
2020-05,1803.2556170351697
2020-06,1936.2543799305356
2020-08,2060.6537624683415
2020-09,2079.336789603962
2020-10,2163.5141859587075
2020-11,2260.8256028114833
2020-12,2365.098379844895
2021-01,2487.414022426657
2021-02,2511.8596074941897
2021-03,2515.9027190112247
2021-04,2516.103842241038
2021-05,2506.418152329118
2021-06,2588.598110684883
2021-07,2375.1710070463
2021-08,2445.1391977415133
2021-09,2382.6892760743053
2021-10,2417.6145289710594
2021-11,2393.964079621789
2021-12,2402.4280915601807
2022-01,2352.096097343677
2022-02,2289.364362994481
2022-03,2235.240372054719
2022-04,2234.2046227792584
2022-05,2209.6692770813556
2022-06,2154.704828926281
2022-07,2177.794867497234
2022-08,2211.7318230267483
2022-09,1966.75836220221
2022-10,1832.3600937191904
2022-11,2095.5561588864116
2022-12,2007.375920534698
2023-01,2148.5633447130185
2023-02,2046.8812231925021
2023-03,2069.6524615504936
2023-04,1983.0861034837458
2023-05,2035.646639654086
2023-06,2041.8926453025886
2023-07,2143.47978956468
