Date,EM WITH BRAZIL ADR
2003-05,1000.0
2003-06,1087.273984717572
2003-07,1178.9518672388149
2003-08,1286.0618509405065
2003-09,1220.9509821985826
2003-10,1324.6317026363752
2003-11,1294.033317566944
2003-12,1306.9514431332957
2004-01,1383.2482276674975
2004-02,1447.50457997574
2004-03,1482.7830561315834
2004-04,1404.4968537670907
2004-05,1350.8545203078002
2004-06,1356.5355121550297
2004-07,1334.2937300208835
2004-08,1373.8840845957275
2004-09,1416.77876571699
2004-10,1417.2474842349013
2004-11,1480.4759403879914
2004-12,1510.0730465239321
2005-01,1583.051606040088
2005-02,1676.2935164659996
2005-03,1602.6588088918745
2005-04,1572.8257403332498
2005-05,1694.2297275020974
2005-06,1785.7659351331217
2005-07,1910.0987894432649
2005-08,1892.0446093672792
2005-09,2103.7108262697398
2005-10,1981.7366860212176
2005-11,2177.977068731362
2005-12,2310.691626551128
2006-01,2492.0856852426277
2006-02,2526.440328942246
2006-03,2517.5292947787184
2006-04,2588.4868022326045
2006-05,2277.7617430074683
2006-06,2277.4171276300417
2006-07,2315.3532407589773
2006-08,2366.5589833814192
2006-09,2412.9728929229445
2006-10,2508.254850174504
2006-11,2595.023452132083
2006-12,2723.0932269085843
2007-01,2734.478489496737
2007-02,2671.7023908446745
2007-03,2753.025345997503
2007-04,2813.3698429946417
2007-05,2990.198712052359
2007-06,3115.6393691122034
2007-07,3239.4472733832013
2007-08,3187.8867699179305
2007-09,3393.2540433572817
2007-10,3708.164858733504
2007-11,3394.1200537090376
2007-12,3419.0232824359773
2008-01,2960.705098480006
2008-02,3088.1353474100956
2008-03,2804.559271548313
2008-04,3081.793212308157
2008-05,3127.697063312784
2008-06,2774.5889915139574
2008-07,2700.056123289437
2008-08,2640.7000781807587
2008-09,2302.3953957777576
2008-10,1848.669621229897
2008-11,1707.6198105294784
2008-12,1689.6179438708748
2009-01,1705.3012905134076
2009-02,1622.281308931953
2009-03,1773.428520532123
2009-04,2068.072456300934
2009-05,2265.6481589309665
2009-06,2255.4403635697076
2009-07,2481.9039538589846
2009-08,2436.92854249553
2009-09,2609.730911273204
2009-10,2587.4454992167844
2009-11,2655.9564308962904
2009-12,2887.3738692367906
2010-01,2813.329626332471
2010-02,2873.2428943267273
2010-03,3134.561273467364
2010-04,3227.1284963292856
2010-05,3180.8229157813853
2010-06,3173.4850998128345
