Date,ACWI ex FRANCE
2015-12,2169.250584891318
2016-01,2045.3163919363512
2016-02,2023.103577488256
2016-03,2072.893092238689
2016-04,2092.594458720701
2016-05,2155.8781144393565
2016-06,2151.153651985301
2016-07,2228.3469578382023
2016-08,2245.497509518357
2016-09,2238.5719749526693
2016-10,2255.187215185702
2016-11,2350.167432712374
2016-12,2412.0912340781015
2017-01,2420.252904383294
2017-02,2532.5321273098252
2017-03,2542.7167057262277
2017-04,2533.089381421636
2017-05,2504.7892252920738
2017-06,2482.352968725333
2017-07,2468.488527302705
2017-08,2456.7246453757907
2017-09,2516.272260647131
2017-10,2607.1163573496806
2017-11,2598.103568574309
2017-12,2623.1626244038544
2018-01,2669.898534831857
2018-02,2613.1560907273747
2018-03,2535.3633347375876
2018-04,2601.847058369298
2018-05,2700.608747987185
2018-06,2685.848198608197
2018-07,2760.337517381827
2018-08,2800.4761936308055
2018-09,2816.72077634393
2018-10,2673.0151289192017
2018-11,2717.0617549764947
2018-12,2499.3146761926914
2019-01,2688.359093434935
2019-02,2780.09377486877
2019-03,2855.618472781813
2019-04,2956.4608186693476
2019-05,2797.13310805266
2019-06,2914.5109739294453
2019-07,2992.567450525072
2019-08,2953.114459909061
2019-09,3045.4597695992293
2019-10,3056.529566644102
2019-11,3168.995785502279
2019-12,3223.0398152835633
2020-01,3231.150617868022
2020-02,2997.4095287936125
2020-03,2599.8094086440656
2020-04,2888.676260874237
2020-05,2967.607052914426
2020-06,3030.4795526568682
2020-07,3032.8560675568756
2020-08,3183.5036534033193
2020-09,3143.356363211253
2020-10,3089.6669709001294
2020-11,3370.4545843269893
2020-12,3449.9512286014015
2021-01,3461.492006366068
2021-02,3542.1618780316417
2021-03,3755.9401891953034
2021-04,3825.369958231678
2021-05,3821.3522372112375
2021-06,3995.6452934423564
2021-07,4022.298995532207
2021-08,4143.952053411903
2021-09,4046.6542392043825
2021-10,4260.236071024572
2021-11,4276.905021878297
2021-12,4398.8628497450445
2022-01,4241.8034996828665
2022-02,4126.535758084874
2022-03,4259.313637665181
2022-04,4130.657153461282
2022-05,4070.7810218820373
2022-06,3821.9793101122186
2022-07,4192.9682487367445
2022-08,4098.41458349955
2022-09,3802.9001931472153
2022-10,3993.3222923246485
2022-11,4126.022640997367
2022-12,3819.562082940385
2023-01,4017.7422273443017
2023-02,3992.987728644604
2023-03,4017.70592662574
2023-04,4006.4548271068807
2023-05,4113.444704727909
2023-06,4251.953461127684
2023-07,4363.39141001976
