Date,GOLDEN DRAGON WITH CHINA ALL SHARES
2008-11,1080.3808264457732
2008-12,1040.7823721051057
2009-01,1080.3291668384973
2009-02,1084.252980404407
2009-03,1166.8866447362382
2009-04,1314.9659752279397
2009-05,1409.2388234050345
2009-06,1453.365684299242
2009-07,1624.8190505493087
2009-08,1450.8714933730118
2009-09,1532.3907199039702
2009-10,1568.383896401455
2009-11,1585.2012875099485
2009-12,1707.8898839294386
2010-01,1615.8727056385494
2010-02,1661.632543573681
2010-03,1762.5521625028885
2010-04,1768.5334429343145
2010-05,1772.8945241037027
2010-06,1770.0345813119548
2010-07,1779.0353277319743
2010-08,1797.0815414710519
2010-09,1827.4420805633108
2010-10,1887.7571232606367
2010-11,1985.5615633954922
2010-12,1985.200801521608
2011-01,1958.2499043160476
2011-02,1885.0746009737102
2011-03,1886.287255903831
2011-04,1856.047582147269
2011-05,1902.3902316079211
2011-06,1832.3224796915893
2011-07,1844.7553889838405
2011-08,1698.328030573965
2011-09,1572.4945226133316
2011-10,1674.4529512497709
2011-11,1593.5955517075106
2011-12,1674.9573540933861
2012-01,1811.7889939328054
2012-02,1897.291305163516
2012-03,1805.4303809279788
2012-04,1845.4768207323302
2012-05,1828.2490351843323
2012-06,1793.2897360617296
2012-07,1860.120623741659
2012-08,1791.9969775774046
2012-09,1872.8636413053032
2012-10,1874.7226300744194
2012-11,1906.8939072348273
2012-12,1988.54638513823
2013-01,2007.820702265984
2013-02,2049.319832636462
2013-03,2010.6420018767026
2013-04,1988.6429871056082
2013-05,2038.8919643179847
2013-06,1882.9251013498197
2013-07,1890.4504449210654
2013-08,1937.495831615444
2013-09,1972.9315241030813
2013-10,2004.73143342338
2013-11,2049.353207977788
2013-12,1989.5274381548627
2014-01,1923.300900450752
2014-02,1908.0648636160702
2014-03,1892.2766741753082
2014-04,1877.3995234098936
2014-05,1975.8553980542595
2014-06,2026.4946644748693
2014-07,2203.3874997011276
2014-08,2254.512369218313
2014-09,2246.4894587773315
2014-10,2357.054300597294
2014-11,2451.7227270199487
2014-12,2657.6436827028742
2015-01,2876.5210534958715
2015-02,2976.42411826092
2015-03,3279.310956682128
2015-04,3593.0777346762948
2015-05,3650.053011141473
2015-06,3383.5692389756427
2015-07,3061.459914006936
2015-08,2651.8920778045313
2015-09,2579.450378354911
2015-10,2847.914580946594
2015-11,2907.9144907361497
2015-12,2826.7981255469563
2016-01,2413.919948834047
2016-02,2386.6257814238934
2016-03,2538.2779180948373
2016-04,2482.752525998717
2016-05,2540.681931205579
2016-06,2577.484751006083
2016-07,2669.26364253127
2016-08,2796.2812340688874
2016-09,2805.7220827751107
2016-10,2864.946766591912
2016-11,2958.882452672535
2016-12,2834.0782386622996
2017-01,2918.865293639938
2017-02,3064.508953199555
2017-03,3088.9639907449487
2017-04,3084.10004994404
2017-05,3085.666062761946
2017-06,3146.316558796987
2017-07,3213.3804850396987
2017-08,3294.6921854925336
2017-09,3309.566276420655
2017-10,3484.7730906567904
2017-11,3398.5097776251073
2017-12,3441.312683669037
2018-01,3633.4795518947167
2018-02,3504.674239475085
2018-03,3399.8700486923217
2018-04,3405.4428415827774
2018-05,3548.17234996452
2018-06,3335.708517682142
2018-07,3309.009496070205
2018-08,3216.5682138909624
2018-09,3220.4607265415934
2019-01,3161.1406095171246
2019-02,3396.0030938004807
2019-03,3548.3294156422626
2019-04,3618.6273659473427
2019-05,3265.6669521636936
2019-06,3413.4804619949396
2019-07,3487.6084054618063
2019-08,3374.774463051067
2019-09,3431.8632094280742
2019-10,3506.2578878867325
2019-11,3568.6082819074436
2019-12,3771.4821876531505
2020-01,3678.721109561816
2020-02,3696.3008297999177
2020-03,3385.382976462603
2020-04,3655.896468225081
2020-05,3528.816432191821
2020-06,3824.758602828554
2020-07,4027.7593113481435
2020-08,4156.868988702137
2020-09,4121.794921595465
2020-10,4302.494828844791
2020-11,4417.960390593988
2020-12,4544.630364359251
2021-01,4849.577411885047
2021-02,4871.96442355114
2021-03,4791.378753792104
2021-04,4834.364418436272
2021-05,4851.329101423905
2021-06,4981.943844805009
2021-07,4540.926694660025
2021-08,4605.043505282804
2021-09,4536.90951385972
2021-10,4645.792573285099
2021-11,4646.720226778102
2021-12,4599.440126886255
2022-01,4472.806938774481
2022-02,4391.019216290857
2022-03,4150.318796093401
2022-04,4073.9604058011923
2022-05,4103.691740090561
2022-06,4313.385091963535
2022-07,4168.223211970234
2022-08,4154.033306192597
2022-09,3717.6886923897714
2022-10,3247.93687510277
2022-11,3795.7713255919293
2022-12,3752.9502415139377
2023-01,4082.3631384878577
2023-02,3908.540813551521
2023-03,3912.474506615846
2023-04,3712.449353835925
2023-05,3652.3028011006018
2023-06,3638.2303642752217
2023-07,3840.4535007755526
