Date,WORLD VOTING RIGHTS-ADJUSTED
2021-05,1394.388656709845
2021-06,1455.9772152790608
2021-07,1480.6366736618056
2021-08,1523.53431370796
2021-09,1491.2433118970666
2021-10,1577.2332520232578
2021-11,1587.4865634639866
2021-12,1641.3073308334103
2022-01,1580.135524069004
2022-02,1540.6077281948699
2022-03,1598.758763572139
2022-04,1550.6430329744499
2022-05,1531.011924944087
2022-06,1432.782526356728
2022-07,1587.0648127930929
2022-08,1542.4942028844762
2022-09,1438.103363694267
2022-10,1532.82379231768
2022-11,1572.3149042699895
2022-12,1453.5319065366907
2023-01,1526.5023980998624
2023-02,1525.8863804461876
2023-03,1532.009225225063
2023-04,1533.2877056969267
2023-05,1569.4064417330578
2023-06,1628.2165783368878
2023-07,1662.371919254046
