Date,AC PACIFIC ex JAPAN ex HK
2000-12,100.0
2001-01,114.12981483367103
2001-02,109.15772068849331
2001-03,101.58240690448555
2001-04,105.52230493524412
2001-05,110.1780494886753
2001-06,110.8681794208087
2001-07,101.8805860254236
2001-08,98.58723418733734
2001-09,83.70953334262987
2001-10,90.4209392771403
2001-11,101.56398451579471
2001-12,108.84409612808066
2002-01,116.88560983313151
2002-02,117.61950608114427
2002-03,123.70056929339312
2002-04,119.43733753375241
2002-05,116.86925633075879
2002-06,104.97380546295508
2002-07,100.16368209651108
2002-08,100.32864701326731
2002-09,90.15894918853671
2002-10,95.0678351976072
2002-11,98.15775390205127
2002-12,88.90454717207915
2003-01,88.2976338038898
2003-02,84.79949187022082
2003-03,83.14347703718785
2003-04,86.36226454495863
2003-05,86.98917947689901
2003-06,94.0253705147534
2003-07,100.28711342494358
2003-08,107.2959760906614
2003-09,102.40683927003323
2003-10,111.8148994013718
2003-11,107.32669457731298
2003-12,109.27880252886663
2004-01,114.517704948199
2004-02,119.20630731586341
2004-03,120.6611377997231
2004-04,116.28157987874424
2004-05,112.50403943169344
2004-06,112.19037341920517
2004-07,111.23902769444163
2004-08,113.9023027140602
2004-09,117.17791398129414
2004-10,117.80457081488576
2004-11,122.32339564233686
2004-12,123.70050646738056
2005-01,130.82069447971458
2005-02,136.1528377467219
2005-03,132.55279722116057
2005-04,130.928811579444
2005-05,138.97320879945693
2005-06,146.66100392007303
2005-07,153.34193037608412
2005-08,148.55718525810536
2005-09,160.8162842546507
2005-10,151.88503086415736
2005-11,163.8114183680301
2005-12,171.85362062715768
2006-01,179.03968717813683
2006-02,180.8233863507983
2006-03,179.52665061007582
2006-04,186.39274638936106
2006-05,171.01110538634362
2006-06,171.240180129743
2006-07,172.13728527399402
2006-08,176.47508388399078
2006-09,181.1463388947411
2006-10,188.4284139175584
2006-11,193.52695787740888
2006-12,201.99508996465823
2007-01,202.33907810256704
2007-02,203.25940033475135
2007-03,208.66616826904658
2007-04,213.13431685199873
2007-05,225.69397518775568
2007-06,235.69437188690884
2007-07,242.25138457047996
2007-08,239.30412876931416
2007-09,257.82200592546326
2007-10,276.13641440393565
2007-11,246.83139470762313
2007-12,242.07859564448833
2008-01,209.07199845405538
2008-02,217.5034233220228
2008-03,197.3425505848302
2008-04,216.83115813887434
2008-05,214.8982468496491
2008-06,191.79582008047618
2008-07,186.8607629828314
2008-08,184.80767847295942
2008-09,161.53128233450025
2008-10,135.08187960603362
2008-11,125.95971386546212
2008-12,125.95438946723452
2009-01,124.41012636217417
