Date,EAFE VOTING RIGHTS-ADJUSTED
2021-05,1268.1908667689486
2021-06,1290.9280363321245
2021-07,1299.4050736782885
2021-08,1328.4043369800177
2021-09,1316.0978289798975
2021-10,1348.570323171615
2021-11,1320.8164147607538
2021-12,1373.7058703809753
2022-01,1328.7792486285807
2022-02,1303.4154112595309
2022-03,1323.6248806463798
2022-04,1305.4974051775694
2022-05,1297.8486624344991
2022-06,1204.4109392955195
2022-07,1296.4408410371052
2022-08,1252.8370321149941
2022-09,1164.0619305153475
2022-10,1216.9000436429753
2022-11,1300.876720530951
2022-12,1255.5832930729637
2023-01,1335.350667463442
2023-02,1338.7437629464032
2023-03,1337.291551245406
2023-04,1352.4689693492753
2023-05,1341.6121951569887
2023-06,1372.2976775616498
2023-07,1402.892116686139
