Date,ACWI WITH BRAZIL ADR
2003-05,1000.0
2003-06,1043.4108435517026
2003-07,1087.7947918832951
2003-08,1141.2564274335393
2003-09,1082.5627833125654
2003-10,1149.8039510012522
2003-11,1131.7109050533677
2003-12,1143.379087163383
2004-01,1180.6095340332265
2004-02,1201.77609974695
2004-03,1208.0749027416905
2004-04,1209.436483495283
2004-05,1196.4981975921808
2004-06,1224.680307422251
2004-07,1197.81992500134
2004-08,1193.850366296004
2004-09,1192.3973154879368
2004-10,1192.6916282793622
2004-11,1203.7284767608703
2004-12,1222.5021888195517
2005-01,1247.7147757508787
2005-02,1267.6481068139133
2005-03,1266.1931366233916
2005-04,1246.6589799691662
2005-05,1327.6999676383123
2005-06,1367.8536153581338
2005-07,1413.7044935106978
2005-08,1406.7582059309048
2005-09,1477.8154480670357
2005-10,1447.6760807558278
2005-11,1524.159605788556
2005-12,1561.0209258305074
2006-01,1590.7469090608383
2006-02,1617.392153490577
2006-03,1627.3145925538045
2006-04,1615.2193161930225
2006-05,1521.958667892397
2006-06,1527.9658118304324
2006-07,1541.4289158323163
2006-08,1576.539997170984
2006-09,1611.746682880641
2006-10,1659.5899104669545
2006-11,1643.0745800334805
2006-12,1688.3187605713028
2007-01,1730.4171019631567
2007-02,1693.1763696113655
2007-03,1713.6844565218116
2007-04,1745.7200019767145
2007-05,1823.0079530799944
2007-06,1810.7463832150963
2007-07,1759.2294047991709
2007-08,1761.849325417748
2007-09,1779.3811900272315
2007-10,1817.1752083266101
2007-11,1711.877541811899
2007-12,1699.51486600457
2008-01,1541.371709237989
2008-02,1506.4742209611372
2008-03,1422.481931710934
2008-04,1528.1348500126758
2008-05,1553.9022110927615
2008-06,1406.820536843142
2008-07,1384.026351100956
2008-08,1435.980366443996
2008-09,1318.3790434570426
2008-10,1171.1520530727844
2008-11,1093.4767394110697
2008-12,1034.7669129562655
2009-01,1025.950664405638
2009-02,933.632328944626
2009-03,966.404490670072
2009-04,1082.176568470944
2009-05,1113.6989340980258
2009-06,1117.6024263190288
2009-07,1202.8849764355355
2009-08,1230.7278374554544
2009-09,1263.4786528461684
2009-10,1232.2037437537724
2009-11,1260.963743090597
2009-12,1346.5879618711087
2010-01,1329.9763363204786
2010-02,1371.7750421238538
2010-03,1472.566759655647
2010-04,1500.9008134773255
2010-05,1471.6408885556455
2010-06,1429.1941606020175
2010-07,1452.4860846845097
2010-08,1436.63756682391
