Date,G7 INDEX
1998-12,100.0
1999-01,106.29261428028262
1999-02,106.99676097205389
1999-03,113.82511071716088
1999-04,120.53034027644634
1999-05,118.06248634146249
1999-06,125.25121333592521
1999-07,119.92905843920619
1999-08,121.22500273853859
1999-09,119.08881841552943
1999-10,127.20976560438835
1999-11,136.11313557598504
1999-12,147.46076062459298
2000-01,142.8536003945194
2000-02,144.45599871455184
2000-03,156.52571020905577
2000-04,157.135801031013
2000-05,150.3366715683301
2000-06,150.1195961063372
2000-07,150.90697940008044
2000-08,163.38460135767747
2000-09,155.86730191449058
2000-10,159.86693847778403
2000-11,145.07791302795738
2000-12,135.60749665279482
2001-01,139.88816625665018
2001-02,129.44705650300682
2001-03,126.5064307894311
2001-04,135.5043570918093
2001-05,140.38817291878468
2001-06,136.35144210161607
2001-07,130.0373059553101
2001-08,118.73903622520095
2001-09,108.3117189190203
2001-10,111.29591628811072
2001-11,118.54704127443867
2001-12,119.5660451069797
2002-01,120.21606741549482
2002-02,118.4145730650958
2002-03,122.45598017276085
2002-04,114.04001184749299
2002-05,109.94247074746801
2002-06,97.34594478305037
2002-07,90.31694420500652
2002-08,90.30728840846345
2002-09,79.7465378096511
2002-10,85.28504920088658
2002-11,89.45043278764604
2002-12,80.61931781412925
2003-01,76.35936541245255
2003-02,74.96309881743625
2003-03,73.78499462853699
2003-04,78.22038796680611
2003-05,78.44275932131133
2003-06,81.79673427593352
2003-07,85.05167855582805
2003-08,89.11902869907291
2003-09,84.32711122896605
2003-10,89.48965323219035
2003-11,87.87528166579105
2003-12,88.53377898385459
2004-01,91.17391201171677
2004-02,92.49089571657454
2004-03,93.17895673039749
2004-04,93.62791373211215
2004-05,92.7579539974473
2004-06,95.10481645120284
2004-07,92.8958063017211
2004-08,92.35781391269691
2004-09,91.69485649918887
2004-10,91.48697656219296
2004-11,91.74770104156674
2004-12,93.07742298787393
2005-01,94.81402847278763
2005-02,95.70804471948574
2005-03,96.09411665968514
2005-04,94.58409020507186
2005-05,100.83411570445254
2005-06,103.48475558052981
2005-07,106.66666065461604
2005-08,106.16755338794235
2005-09,110.8923246825476
2005-10,109.05410184353347
2005-11,114.60106486940127
2005-12,116.86379656469097
