Date,EFM EUROPE + CIS (E+C) ex RU
2002-05,272.6814733410696
2002-06,226.6712764265863
2002-07,216.68170338345965
2002-08,228.12819201361845
2002-09,214.36489080277735
2002-10,234.1265010455514
2002-11,265.1954456015215
2002-12,234.72556554292805
2003-01,228.03746796648895
2003-02,227.58892608174503
2003-03,210.15052180022354
2003-04,237.5648593231092
2003-05,243.74585417691003
2003-06,233.8864071953846
2003-07,250.3527296051326
2003-08,282.2591667575531
2003-09,275.6982785695406
2003-10,294.18763541594365
2003-11,275.50181922945234
2003-12,301.83378331748725
2004-01,311.70479324131423
2004-02,332.58288305246293
2004-03,354.9864546831257
2004-04,342.61657342473245
2004-05,333.7306661931131
2004-06,347.6291327764958
2004-07,360.8399401395628
2004-08,369.5128925598765
2004-09,390.03211769232155
2004-10,410.71182277853677
2004-11,435.0598854911886
2004-12,473.8885992021466
2005-01,498.3627268213875
2005-02,568.5044028592592
2005-03,516.8446054246804
2005-04,479.0093232907684
2005-05,512.8101037980846
2005-06,562.5399174535339
2005-07,613.1357283522394
2005-08,644.0159206370175
2005-09,709.0712169302133
2005-10,649.882234363522
2005-11,710.8855207821285
2005-12,731.9805685141537
2006-01,787.8299854841985
2006-02,825.5954315411907
2006-03,771.239608443254
2006-04,810.2848956094912
2006-05,674.8952432456502
2006-06,657.8243528699207
2006-07,720.7334780608982
2006-08,709.3416342888415
2006-09,701.8391878420484
2006-10,768.5396963797818
2006-11,775.9395756998706
2006-12,824.9883934936179
2007-01,848.2820969975138
2007-02,816.2055895175978
2007-03,870.2711440397292
2007-04,904.8582318402454
2007-05,943.5638456505739
2007-06,987.4432474562769
2007-07,1016.1099701721694
2007-08,962.9549167649476
2007-09,1011.8128001997188
2007-10,1072.1058710913985
2007-11,1000.0000000000002
2007-12,1019.4890760879441
2008-01,850.126072703909
2008-02,853.8543423807448
2008-03,787.1423491722667
2008-04,829.2935543500122
2008-05,857.6676717722037
2008-06,781.7598556201802
2008-07,874.8822105927642
2008-08,823.7318086779237
2008-09,726.1516532466006
2008-10,532.0057559868463
2008-11,478.98718297846443
2008-12,456.07079351581285
2009-01,405.74631090568585
2009-02,351.0780958817514
2009-03,377.91570677958515
2009-04,469.68409707708526
2009-05,500.02274133681937
2009-06,520.8634687545301
2009-07,620.2088645990157
2009-08,651.6695011425559
2009-09,656.7618915870155
2009-10,657.3786976733189
2009-11,653.9385822501223
2009-12,714.469817690322
2010-01,746.127678225553
2010-02,703.7731798511744
2010-03,796.7185397506735
2010-04,828.7872432803129
2010-05,768.5476862165456
2010-06,739.3344248081636
2010-07,804.6699553862829
2010-08,801.0759382652151
2010-09,855.7662322177125
2010-10,877.1206578056135
2010-11,839.7736766756854
2010-12,851.7324444392251
2011-01,827.0783582650789
2011-02,820.4998331208723
2011-03,843.5999953843269
2011-04,886.66816784575
2011-05,850.6031709634435
2011-06,828.7840073059779
2011-07,804.5778754628311
2011-08,700.5869911197287
2011-09,655.7053337917482
2011-10,671.3011826091667
2011-11,645.2399294540102
2011-12,617.2583522548365
2012-01,702.317849757513
2012-02,727.2155406091301
2012-03,722.3513033935872
2012-04,707.6123031236721
2012-05,645.1946229342152
2012-06,724.797769860049
2012-07,754.158795295394
2012-08,774.153478656813
2012-09,786.7151170217918
2012-10,810.7536303294779
2012-11,818.5417138882411
2012-12,859.8913254570045
2013-01,837.9518177841758
2013-02,847.0654110463579
2013-03,869.7060132441705
2013-04,861.2578644420345
