Date,ACWI ex SPAIN
2015-12,2160.9435250523247
2016-01,2039.0234704990169
2016-02,2017.2525843940678
2016-03,2065.8613682184746
2016-04,2084.927987759639
2016-05,2148.3920703707513
2016-06,2141.9569699294175
2016-07,2219.2491259748663
2016-08,2235.491867203085
2016-09,2228.8999883654
2016-10,2245.0830387998913
2016-11,2339.935822828432
2016-12,2402.8108124394853
2017-01,2409.2449854826978
2017-02,2519.5926132699087
2017-03,2531.337653163982
2017-04,2524.162989125153
2017-05,2497.6577168633307
2017-06,2474.2455462653584
2017-07,2459.9252198388785
2017-08,2449.2527315475327
2017-09,2511.0369495998316
2017-10,2601.720286472524
2017-11,2591.8753190690327
2017-12,2615.8891559903286
2018-01,2662.8715358148274
2018-02,2606.7654717950013
2018-03,2529.745863387421
2018-04,2599.1710068301322
2018-05,2696.266583199148
2018-06,2680.290650002316
2018-07,2755.0164767241104
2018-08,2794.1199064555135
2018-09,2811.2335089960593
2018-10,2665.6771333314373
2018-11,2706.4777792667264
2018-12,2491.0486589367656
2019-01,2677.9890607266616
2019-02,2770.900895174787
2019-03,2846.1100508006225
2019-04,2947.6370070356925
2019-05,2788.617695010098
2019-06,2907.853719581764
2019-07,2984.1082461801125
2019-08,2945.7451323677765
2019-09,3037.7159096831515
2019-10,3049.7984005075527
2019-11,3161.9916906057906
2019-12,3215.146610444277
2020-01,3221.106433974773
2020-02,2987.017515656499
2020-03,2588.7120772093967
2020-04,2872.9236845549626
2020-05,2951.9290524941503
2020-06,3016.7486096059974
2020-07,3017.8509052187187
2020-08,3167.3999957845094
2020-09,3126.6432796215636
2020-10,3071.3712866886563
2020-11,3356.498802542487
2020-12,3434.2421669170803
2021-01,3443.894447619822
2021-02,3526.2268072572915
2021-03,3739.5134926956894
2021-04,3810.355202850568
2021-05,3808.9952037668218
2021-06,3980.581087717941
2021-07,4008.964759274232
2021-08,4128.152659533526
2021-09,4030.761547378503
2021-10,4243.0349763170625
2021-11,4259.4736064279905
2021-12,4384.1299824678135
2022-01,4228.237106929966
2022-02,4110.7182427940725
2022-03,4240.35272279528
2022-04,4112.960077339008
2022-05,4053.9827304668074
2022-06,3804.345265383097
2022-07,4175.029098474843
2022-08,4077.841226220393
2022-09,3784.797895785202
2022-10,3977.1227851951467
2022-11,4113.310524683092
2022-12,3810.761153867415
2023-01,4012.2733986854123
2023-02,3989.7171270146014
2023-03,4014.9726259000154
2023-04,4007.567580931303
2023-05,4106.874405856161
2023-06,4245.3848074058515
2023-07,4355.120604345529
