Date,EM ex ASIA
2000-12,100.0
2001-01,110.07302030783943
2001-02,100.7698402284805
2001-03,95.35189591459607
2001-04,104.04558747031471
2001-05,110.38763350380897
2001-06,108.1049753942039
2001-07,97.13566550442992
2001-08,91.75068567269724
2001-09,76.92768763115522
2001-10,82.18814239600161
2001-11,88.12459819855047
2001-12,94.50635206151526
2002-01,99.58993263700494
2002-02,99.23602013062334
2002-03,102.94174061703099
2002-04,100.7952134996428
2002-05,95.83379636565498
2002-06,80.4606054936735
2002-07,70.996888100647
2002-08,74.76754427185621
2002-09,67.53793565183022
2002-10,73.31070039574698
2002-11,78.09868235426856
2002-12,74.43108545065898
2003-01,70.52760280283381
2003-02,70.71705103484467
2003-03,69.74244639020549
2003-04,77.79310051514682
2003-05,77.95838670841611
2003-06,82.54279669441249
2003-07,86.62196585916026
2003-08,94.4760905407148
2003-09,91.53080970088463
2003-10,97.63910398815439
2003-11,98.99521650468752
2003-12,100.87126055347315
2004-01,103.95494279180515
2004-02,109.85464922225248
2004-03,115.05707721638915
2004-04,105.48435117946673
2004-05,104.71390698281122
2004-06,107.89020774290437
2004-07,109.2806569548648
2004-08,112.2604201056584
2004-09,118.0225084958417
2004-10,119.83778960491281
2004-11,124.88476112793285
2004-12,130.28368730666264
2005-01,133.87955220183127
2005-02,146.11768609669141
2005-03,137.19788239558045
2005-04,134.63645279749826
2005-05,145.2037232921166
2005-06,154.42094897295885
2005-07,165.80431202407266
2005-08,173.60907558614014
2005-09,199.58262109423865
2005-10,188.46362334335197
2005-11,206.49618369464451
2005-12,215.1211561179788
2006-01,240.63347646839682
2006-02,245.13255499765242
2006-03,240.96808115014954
2006-04,248.30951931141348
2006-05,210.51938592682683
2006-06,212.2856863539465
2006-07,219.72601091230504
2006-08,222.420666135015
2006-09,218.98622872368108
2006-10,232.59754519133028
2006-11,238.9933296646419
2006-12,253.2222844319375
2007-01,257.19481033125334
2007-02,249.3147689938455
2007-03,262.4875199348796
2007-04,267.8417508167122
2007-05,279.98141323384675
2007-06,287.8436421347909
2007-07,290.53196205814066
2007-08,283.03784373171294
2007-09,298.8437125223595
2007-10,326.52157121690726
2007-11,308.461418968328
2007-12,314.11181765399806
2008-01,278.3659013433403
2008-02,291.58443263171813
2008-03,269.21828254171504
2008-04,295.73150414087365
2008-05,321.6803077991867
2008-06,293.48294366889127
2008-07,277.02658098571544
2008-08,267.40480146880554
2008-09,228.58222161927785
2008-10,175.2865714082784
2008-11,161.0295663453918
2008-12,152.56136715097716
2009-01,154.64322798248745
2009-02,148.75576503180739
2009-03,160.00167475771383
2009-04,186.90400971045082
2009-05,209.37756378857023
2009-06,205.54232429895794
2009-07,222.2447881109345
2009-08,226.0927080306466
2009-09,241.82354135345363
2009-10,243.2854919992785
2009-11,253.0832010171801
2009-12,273.2881002818654
2010-01,267.76344773282807
2010-02,274.7667419979545
2010-03,300.6965447458583
2010-04,305.3523480128315
2010-05,300.8442228265227
2010-06,290.41762386116255
2010-07,306.6298376049346
2010-08,306.1452523970401
2010-09,316.1194926557285
2010-10,320.7022048616196
2010-11,330.00322689381625
2010-12,346.8580854090749
2011-01,324.18092728091904
2011-02,332.1255819878578
2011-03,336.9237157083921
2011-04,329.236226784595
2011-05,325.80897631935454
2011-06,321.0200553994287
2011-07,317.13783033221904
2011-08,295.1469031206607
2011-09,262.1830065006891
2011-10,289.9801405590641
2011-11,288.20360514736205
2011-12,287.507481614759
2012-01,320.39251340452324
2012-02,333.41669648180624
2012-03,322.8814544234327
2012-04,316.12976029510514
2012-05,291.9320618232982
2012-06,301.2476769387923
2012-07,316.1950239769012
2012-08,309.65426195137
2012-09,316.050025346813
