Date,ACWI ex NETHERLANDS
2015-12,2168.186895493518
2016-01,2044.7160967264906
2016-02,2022.4057657860294
2016-03,2071.1454838617083
2016-04,2091.3803932052647
2016-05,2154.168192760627
2016-06,2146.910660954711
2016-07,2224.6997470386764
2016-08,2240.5809311837884
2016-09,2234.0174985777808
2016-10,2251.5597343288036
2016-11,2345.450429372105
2016-12,2409.4610291599
2017-01,2416.1632405988175
2017-02,2526.020971191715
2017-03,2539.118792342558
2017-04,2532.005733245723
2017-05,2505.2830539585393
2017-06,2481.850151198152
2017-07,2466.8599435517053
2017-08,2455.846731742339
2017-09,2517.3362608437637
2017-10,2608.0437290304835
2017-11,2598.2741994130497
2017-12,2621.870065295332
2018-01,2669.6361186236595
2018-02,2612.5284020545582
2018-03,2534.7412278396428
2018-04,2604.646671635084
2018-05,2700.3778343516105
2018-06,2684.9845250740564
2018-07,2759.7114378091555
2018-08,2797.9563369590824
2018-09,2816.1710798179806
2018-10,2670.626589833429
2018-11,2711.2326536541527
2018-12,2495.9774460013714
2019-01,2683.138745191478
2019-02,2775.4959845203844
2019-03,2850.112974875875
2019-04,2951.2674753001797
2019-05,2792.0715369149634
2019-06,2911.025898872057
2019-07,2985.9735377582506
2019-08,2946.874018939491
2019-09,3039.1933157586395
2019-10,3051.699542494209
2019-11,3163.239053962514
2019-12,3216.501753155362
2020-01,3222.733868472631
2020-02,2988.681596944365
2020-03,2587.212049909333
2020-04,2870.130029654978
2020-05,2948.073646724278
2020-06,3011.697886507183
2020-07,3012.1582274089274
2020-08,3161.7655944823928
2020-09,3119.8679177442036
2020-10,3064.4006169599397
2020-11,3351.31438681268
2020-12,3427.9511038815135
2021-01,3435.610277167724
2021-02,3517.8265155247514
2021-03,3729.3504013668803
2021-04,3799.9083629032343
2021-05,3799.232787193418
2021-06,3969.32660304637
2021-07,3995.2787464686767
2021-08,4111.725025629389
2021-09,4016.8537468901495
2021-10,4227.282824032978
2021-11,4243.388494801764
2021-12,4368.63473307743
2022-01,4217.74554642484
2022-02,4101.8884051463265
2022-03,4232.2345789625415
2022-04,4107.462509348803
2022-05,4049.455081290383
2022-06,3800.511491584059
2022-07,4167.41888463662
2022-08,4073.1499529342545
2022-09,3780.7858727201024
2022-10,3973.7246467495584
2022-11,4106.590077519895
2022-12,3805.4285779358747
2023-01,4004.5307139979177
2023-02,3983.6170165780163
2023-03,4007.479454935796
2023-04,4001.74764920332
2023-05,4098.717035013515
2023-06,4238.249084567423
2023-07,4347.81855771829
