Date,ACWI FM ex USA
2002-05,644.5470137715203
2002-06,582.9109030067773
2002-07,531.0797883324443
2002-08,531.818364469658
2002-09,471.7212236784635
2002-10,496.3946349360585
2002-11,517.4668999053738
2002-12,474.58507886887895
2003-01,446.95071739291086
2003-02,436.516235315557
2003-03,422.4713340284263
2003-04,452.105267449548
2003-05,455.4657962803844
2003-06,478.7251072494006
2003-07,500.49381194938394
2003-08,527.4174933427037
2003-09,511.05534755016845
2003-10,544.5615635059505
2003-11,539.2205290738476
2003-12,551.3445229169685
2004-01,568.4439132111845
2004-02,582.6508466070313
2004-03,592.5686880080495
2004-04,588.0617665077397
2004-05,579.0718779840286
2004-06,593.1861665025616
2004-07,581.921150014701
2004-08,580.9605368331909
2004-09,586.0472199727948
2004-10,592.4540470827196
2004-11,605.2217623053626
2004-12,616.8621346572033
2005-01,631.3429055384604
2005-02,650.4815806872977
2005-03,647.0285084014786
2005-04,635.6899459486964
2005-05,667.949887705952
2005-06,694.5551631924758
2005-07,717.3333843627844
2005-08,726.7838111613254
2005-09,779.8861549490616
2005-10,757.9014335183632
2005-11,794.8764423460565
2005-12,831.8476121710219
2006-01,862.8482421464366
2006-02,875.6692305044957
2006-03,885.9484880871895
2006-04,893.9774191695019
2006-05,836.6364886530878
2006-06,839.7424334546569
2006-07,850.9260168388968
2006-08,872.296884285377
2006-09,881.4165520721234
2006-10,909.9395209310659
2006-11,905.9676903364285
2006-12,938.5175710529443
2007-01,955.23350665793
2007-02,945.4509053075832
2007-03,963.1054398247405
2007-04,982.0695214869564
2007-05,1022.6229929790863
2007-06,1027.4750460294686
2007-07,1010.9199429969372
2007-08,999.1833036085463
2007-09,1021.0982642986493
2007-10,1060.2207642835888
2007-11,1000.0
2007-12,989.3655719338758
2008-01,882.7876443903983
2008-02,885.8949296297101
2008-03,829.7449925651829
2008-04,895.5999849457291
2008-05,912.3046216288517
2008-06,826.5195647359405
2008-07,804.6416584859197
2008-08,812.4887593081752
2008-09,723.8202463221277
2008-10,624.9996609351292
2008-11,588.0071481977326
2008-12,566.480824342278
2009-01,559.6574614283711
2009-02,512.1159312490897
2009-03,529.2107907265014
2009-04,602.4001453533253
2009-05,640.5083268238893
2009-06,639.4639672332204
2009-07,694.0437055860301
2009-08,711.1689745703123
2009-09,733.9264534565059
2009-10,717.9698697185206
2009-11,725.2667334855951
2009-12,774.7708299207891
2010-01,760.8313504831542
2010-02,775.2511405575775
2010-03,835.152337472483
