Date,EUROPE ex SWITZERLAND
1998-12,100.0
1999-01,102.9462841046388
1999-02,103.88868447842881
1999-03,107.06225791939697
1999-04,112.91602048851512
1999-05,109.08183956707406
1999-06,112.57609542428261
1999-07,109.12992736285972
1999-08,111.83845782397184
1999-09,110.00495688288363
1999-10,115.78838041404855
1999-11,124.57591924477249
1999-12,139.00238413624132
2000-01,132.78289625797032
2000-02,142.8659946199215
2000-03,146.5436862438213
2000-04,146.95594034611935
2000-05,142.41627797730757
2000-06,140.52905510743446
2000-07,142.79016649526415
2000-08,147.22273447967302
2000-09,141.4917796555122
2000-10,145.96814643691016
2000-11,135.48863581849255
2000-12,133.96444614135694
2001-01,135.63439493576467
2001-02,124.79504637968847
2001-03,120.48460842372452
2001-04,129.28085242988092
2001-05,128.12241497808992
2001-06,123.47659724439556
2001-07,119.92073614847277
2001-08,112.2091380305104
2001-09,100.10310003557602
2001-10,104.79979828863395
2001-11,109.87563755655837
2001-12,113.38448671653148
2002-01,111.18510247032809
2002-02,110.27807269049462
2002-03,115.14825606635146
2002-04,110.17660500448193
2002-05,105.41140216659674
2002-06,96.31901592604909
2002-07,86.33946882618955
2002-08,86.30930922850206
2002-09,73.67396090276719
2002-10,81.25467517267205
2002-11,85.11393480154236
2002-12,77.64940350087168
2003-01,72.18704384155002
2003-02,69.74328677153561
2003-03,67.77926692387963
2003-04,75.39251739929296
2003-05,76.20740630967377
2003-06,78.90417544669306
2003-07,81.95761696378247
2003-08,83.93557731343421
2003-09,80.52604242680003
2003-10,86.50061033018474
2003-11,87.35430775898234
2003-12,89.86072674677128
2004-01,92.15232230717314
2004-02,95.09618809890289
2004-03,93.08265391196238
2004-04,94.39879084289849
2004-05,94.26302518403136
2004-06,96.02183146124896
2004-07,94.43724941736563
2004-08,93.74747836328396
2004-09,95.56647715703643
2004-10,96.85682708020931
2004-11,99.5012829604703
2004-12,101.37603922932458
2005-01,103.89023198298538
2005-02,107.05992007347297
2005-03,106.59543098616119
2005-04,104.34667697613914
2005-05,109.5233599758416
2005-06,113.49279831993023
2005-07,117.02682395874122
2005-08,117.38695470866976
2005-09,122.52695154071073
2005-10,118.82761977346519
2005-11,122.50837381772386
2005-12,126.94980688021768
2006-01,131.44400874554955
2006-02,134.2049409869813
2006-03,137.58683237185477
2006-04,138.78095869732192
2006-05,132.39739316220732
2006-06,133.50399827661764
2006-07,135.5640828864494
2006-08,139.49038283025038
2006-09,142.06305253534094
2006-10,147.30421030573095
2006-11,146.93776453801723
2006-12,152.68683403949106
2007-01,155.63829278187936
