Date,EM (EMERGING MARKETS)+CHINA A ONSHORE
2004-12,1018.1464193015689
2005-01,1061.2116603395036
2005-02,1133.1244544919502
2005-03,1078.9363680717904
2005-04,1058.158578693667
2005-05,1137.31592000119
2005-06,1198.7383189991597
2005-07,1276.3190210320467
2005-08,1274.0542225066838
2005-09,1414.0948282223032
2005-10,1331.470649600174
2005-11,1459.3153072893138
2005-12,1545.1437593125181
2006-01,1667.35599823218
2006-02,1699.5525672546955
2006-03,1689.4434095735066
2006-04,1741.5090852399524
2006-05,1549.9530562748141
2006-06,1556.4448406796112
2006-07,1574.3737817707113
2006-08,1610.439089146219
2006-09,1645.1338659385574
2006-10,1710.6076806959488
2006-11,1779.337121632501
2006-12,1886.4722097904696
2007-01,1918.564963309077
2007-02,1889.5295301665908
2007-03,1959.5753896473648
2007-04,2047.4203100576444
2007-05,2194.4322331318353
2007-06,2264.5644065400584
2007-07,2390.523338644892
2007-08,2411.8674999470763
2007-09,2546.374059137179
2007-10,2744.562692202858
2007-11,2477.595855868113
2007-12,2545.549499140982
2008-01,2208.8288309774757
2008-02,2297.6580485033883
2008-03,2041.4941660778197
2008-04,2233.994861909116
2008-05,2250.9801159281055
2008-06,1968.24517117872
2008-07,1926.327805335737
2008-08,1858.9625137652524
2008-09,1633.1957213201936
2008-10,1319.4284904998842
2008-11,1253.5952576299464
2008-12,1218.749630257125
2009-01,1272.3380401575257
2009-02,1237.6584056237305
2009-03,1359.4633937682997
2009-04,1557.5043140083471
2009-05,1675.1008818232172
2009-06,1712.9142325557018
2009-07,1905.0835640529754
2009-08,1789.031104958042
2009-09,1906.4600257724087
2009-10,1920.0861756700988
2009-11,1979.5380106404614
2009-12,2142.3575910855716
2010-01,2071.3519905314324
2010-02,2126.824972815148
2010-03,2291.913279840205
2010-04,2321.0052224133533
2010-05,2290.7323663412303
2010-06,2248.909466389339
2010-07,2307.809084395564
2010-08,2340.6634673254734
2010-09,2386.8301675348016
2010-10,2460.4215120823696
