Date,ACWI ex TURKEY
2015-12,2158.923327109374
2016-01,2036.470948111212
2016-02,2013.9572803035685
2016-03,2062.365658557309
2016-04,2082.1187619294637
2016-05,2145.332143298372
2016-06,2136.675703374511
2016-07,2214.5113543582365
2016-08,2230.90598662771
2016-09,2224.5475333416057
2016-10,2241.8224430643163
2016-11,2334.713943721772
2016-12,2398.8241705223368
2017-01,2405.2173579936
2017-02,2514.733187810415
2017-03,2528.951718463401
2017-04,2522.333810791876
2017-05,2496.507392974653
2017-06,2472.4575252242043
2017-07,2458.5639944933173
2017-08,2447.2917615640845
2017-09,2509.1191008329097
2017-10,2599.2117280230873
2017-11,2588.9574047798883
2017-12,2611.8440114343553
2018-01,2659.6591010075144
2018-02,2602.4099587977994
2018-03,2525.7600917661903
2018-04,2595.934713313948
2018-05,2690.6161408937146
2018-06,2675.5724747643944
2018-07,2750.610772761292
2018-08,2788.4817587042503
2018-09,2805.124203796222
2018-10,2659.9673067519107
2018-11,2700.5563991993745
2018-12,2486.371574097783
2019-01,2672.4532709200334
2019-02,2765.1545682935634
2019-03,2839.8034313172466
2019-04,2941.4525036319124
2019-05,2782.654895940103
2019-06,2901.1893540982587
2019-07,2975.872892319423
2019-08,2937.4995827947564
2019-09,3029.5246921927974
2019-10,3041.6575513280227
2019-11,3152.7049471316973
2019-12,3205.8995915930473
2020-01,3211.3488975437003
2020-02,2978.3057927164755
2020-03,2579.136404813638
2020-04,2860.596059681076
2020-05,2939.2311336001494
2020-06,3003.9164284368444
2020-07,3004.258971674844
2020-08,3152.4862289824923
2020-09,3111.410274640404
2020-10,3056.2461976131044
2020-11,3342.861329464821
2020-12,3419.6539625036726
2021-01,3428.3839028855873
2021-02,3511.055151856373
2021-03,3723.225894361222
2021-04,3794.0525912541652
2021-05,3793.6907720774643
2021-06,3962.8630411394006
2021-07,3990.4287930424234
2021-08,4108.7582811149105
2021-09,4012.2188638452003
2021-10,4223.279698396386
2021-11,4237.615126310021
2021-12,4362.177690824832
2022-01,4207.764290663772
2022-02,4091.0443558687784
2022-03,4219.211387303926
2022-04,4093.6050761770684
2022-05,4036.1274082965624
2022-06,3787.1293728698124
2022-07,4154.215537536369
2022-08,4057.0482980025654
2022-09,3765.572997301193
2022-10,3957.4060140156557
2022-11,4093.040857304141
2022-12,3793.133532222823
2023-01,3995.0766337374635
2023-02,3973.842314854541
2023-03,3998.8061036111553
2023-04,3991.970441099431
2023-05,4089.6225294646465
2023-06,4228.573362518522
2023-07,4337.07355037718
