Date,EM GCC COUNTRIES DOMESTIC
2014-05,1000.0
2014-06,794.19725360259
2014-07,935.0761652900715
2014-08,981.8971972965355
2014-09,1058.2079599771837
2014-10,1005.6045355434188
2014-11,1017.7225114994025
2014-12,935.0790485105126
2015-01,958.169991397335
2015-02,1025.5374254307872
2015-03,1013.8433432291608
2015-04,1063.9665186300695
2015-05,1022.9653988617509
2015-06,1036.0878024329893
2015-07,1030.4272334469497
2015-08,957.6311380309875
2015-09,945.3049090034157
2015-10,940.7336051768841
2015-11,874.6683400627311
2015-12,874.6153501016744
2016-01,775.3680813970857
2016-02,856.5216205292176
2016-03,862.3619019432184
2016-04,868.775063308302
2016-05,833.0989756256702
2016-06,857.9909928999521
2016-07,913.899131716936
2016-08,934.5192581738646
2016-09,896.6399792440618
2016-10,892.6930958987275
2016-11,898.4149711003836
2016-12,965.4986277040555
2017-01,962.8999160397955
2017-02,995.1126824893857
2017-03,978.8285673346403
2017-04,953.9782587287906
2017-05,917.7613081318634
2017-06,873.7447793360184
2017-07,893.2261306588338
2017-08,859.7848144826719
2017-09,844.1355702309268
2017-10,858.2074476147244
2017-11,789.5162951654378
2017-12,817.8320173366046
2018-01,825.3815303482784
2018-02,805.1128497233533
2018-03,802.0386424528206
2018-04,853.582622206201
2018-05,861.6074632939695
2018-06,852.5540421174962
2018-07,913.9764765001171
2018-08,920.7438369468807
2018-09,915.0684751702696
2018-10,961.7134200264068
2018-11,947.806310852009
2018-12,931.0132107772589
2019-01,961.2995548060775
2019-02,958.518968223022
2019-03,980.0811499417387
2019-04,1024.4079593791914
2019-05,950.6694945711131
2019-06,950.2004443026103
2019-07,981.219323753319
2019-08,920.6752948273888
2019-09,927.8749218071104
2019-10,879.1251391495151
2019-11,895.9569734993473
2019-12,922.7405457789754
2020-01,916.923362337505
2020-02,854.2526875070699
2020-03,723.8162548041026
2020-04,798.0889193100239
2020-05,784.5120935526928
2020-06,795.0862093484753
2020-07,768.3101953132018
2020-08,804.1147416539914
2020-09,836.9695168723454
2020-10,825.8638724741073
2020-11,880.6588441391617
2020-12,863.6931512452582
2021-01,893.450409683611
2021-02,925.7570903836576
2021-03,1028.2809114773079
2021-04,1057.4297110579334
2021-05,1057.1562840340505
2021-06,1122.3160256823394
2021-07,1133.415527005252
2021-08,1190.183058943175
2021-09,1240.7723333324736
2021-10,1285.0991224374577
2021-11,1246.8926749156024
2021-12,1287.2205069286495
2022-01,1405.8349561577663
2022-02,1465.701648276715
2022-03,1564.6914407581114
2022-04,1727.916559676735
2022-05,1579.9039022674935
2022-06,1453.2400842626944
2022-07,1578.5201815292257
2022-08,1623.9650969542458
2022-09,1549.9126229755395
2022-10,1577.0777774218388
2022-11,1443.9946143949458
2022-12,1332.4566000939349
2023-01,1318.257589289098
2023-02,1279.2820089551758
2023-03,1287.531715966614
2023-04,1333.1732699202469
2023-05,1328.8767930052754
2023-06,1339.175290611544
2023-07,1373.3009474615587
