Date,ACWI ex JAPAN
2000-12,100.0
2001-01,103.9165356646995
2001-02,95.77862478037656
2001-03,92.4625416136297
2001-04,98.92052382945724
2001-05,102.13809077059113
2001-06,99.44953745035497
2001-07,95.33212519035078
2001-08,87.36637752519688
2001-09,79.17536514257037
2001-10,81.94650989508916
2001-11,87.92515986375746
2001-12,89.867119975109
2002-01,90.79090095935814
2002-02,89.30505120654776
2002-03,92.41798319061665
2002-04,85.89799128219585
2002-05,82.42106015139859
2002-06,73.11108618735989
2002-07,67.34989176856588
2002-08,67.5655974601618
2002-09,59.24138491558073
2002-10,64.35500303263525
2002-11,67.62950050014355
2002-12,60.902695970111594
2003-01,57.84376622372327
2003-02,56.45513091246061
2003-03,55.736006657173505
2003-04,59.79875858438156
2003-05,60.04516170668911
2003-06,62.3774953315238
2003-07,64.93251460773001
2003-08,67.64874716215773
2003-09,63.84199358045468
2003-10,67.90948488353585
2003-11,67.1437110268572
2003-12,67.7977119828631
2004-01,69.99271292164812
2004-02,71.38756696500138
2004-03,70.8268640238617
2004-04,71.14179086720856
2004-05,70.68940423259416
2004-06,72.10457174705273
2004-07,70.74672508644511
2004-08,70.50461279447636
2004-09,70.74157224032936
2004-10,70.74728070866199
2004-11,71.44630393118744
2004-12,72.473448480434
2005-01,73.98308876389126
2005-02,75.27676696626109
2005-03,75.17608908202583
2005-04,74.04072742525834
2005-05,79.07094174660395
2005-06,81.54810610686849
2005-07,84.50034233217501
2005-08,83.59636317511989
2005-09,87.20193099626741
2005-10,85.26835552290505
2005-11,89.72195524237695
2005-12,91.25798130582413
2006-01,92.99729384058276
2006-02,94.65812928032555
2006-03,95.17094190809773
2006-04,94.5218275014219
2006-05,89.30452012640423
2006-06,89.78565559961821
2006-07,90.70733417181899
2006-08,92.8913907293392
2006-09,95.26977737642393
2006-10,98.31592072895016
2006-11,97.56593657580736
2006-12,100.23775817451623
2007-01,102.74752582857371
2007-02,100.037628586686
2007-03,101.64627146378533
2007-04,104.23937900415658
2007-05,109.02009401385028
2007-06,108.30588826659739
2007-07,105.07622464295395
2007-08,105.50912676762779
2007-09,106.88416909919184
2007-10,109.61074909438838
2007-11,102.99249311310571
2007-12,102.54270308401063
2008-01,92.61979647987943
2008-02,90.55090921836788
2008-03,85.70129055876998
2008-04,91.94841167652719
2008-05,93.47107202938096
2008-06,84.49910367008415
2008-07,83.18092004506805
2008-08,86.41194172283487
2008-09,79.13745405546538
2008-10,69.8566160131233
2008-11,64.83166778258811
2008-12,61.02489449953802
2009-01,60.40113053385444
2009-02,55.169451528071406
2009-03,57.50066238182939
2009-04,64.55261323154785
