Date,ACWI ex AUSTRIA
2015-12,2161.1118230150973
2016-01,2038.796518961582
2016-02,2016.3834943169065
2016-03,2065.041622607729
2016-04,2084.873087488666
2016-05,2147.7903665160206
2016-06,2139.2898446638214
2016-07,2216.874563021932
2016-08,2233.29087038279
2016-09,2226.822773608951
2016-10,2244.0616583474707
2016-11,2336.6098391594305
2016-12,2400.7465537315798
2017-01,2407.1257281329436
2017-02,2516.8471706799014
2017-03,2531.0478930590857
2017-04,2524.565686370789
2017-05,2498.6144023059323
2017-06,2474.6350054983204
2017-07,2460.7206039787743
2017-08,2449.5548936027603
2017-09,2511.0308233609007
2017-10,2601.127229964823
2017-11,2590.5356411618773
2017-12,2613.7884574285135
2018-01,2661.505072497971
2018-02,2604.3249688581573
2018-03,2527.44103033186
2018-04,2597.35354977702
2018-05,2691.887826743517
2018-06,2676.7712370964828
2018-07,2751.562687139506
2018-08,2788.9672037058235
2018-09,2805.8756444668297
2018-10,2660.7546509618114
2018-11,2701.6905826113193
2018-12,2487.547086044666
2019-01,2673.886240898358
2019-02,2766.4994531216926
2019-03,2840.925240440949
2019-04,2942.420805434994
2019-05,2783.758099265634
2019-06,2902.3644149861234
2019-07,2977.2985553516573
2019-08,2938.793366499888
2019-09,3031.02669348481
2019-10,3042.8682731967074
2019-11,3154.13314176419
2019-12,3207.3279547453412
2020-01,3212.9380342849568
2020-02,2979.7003853235037
2020-03,2580.5759417917156
2020-04,2862.0523802436164
2020-05,2940.780676249875
2020-06,3005.570398007918
2020-07,3005.7819115188368
2020-08,3153.886853385273
2020-09,3112.9201707727552
2020-10,3057.5662711508685
2020-11,3344.1964358972123
2020-12,3421.131387776255
2021-01,3429.7758842937274
2021-02,3512.372039545692
2021-03,3724.315739239802
2021-04,3795.130873371368
2021-05,3794.56744812163
2021-06,3963.84556381325
2021-07,3991.457194867995
2021-08,4109.839778566153
2021-09,4013.0208217647614
2021-10,4224.143418303624
2021-11,4238.360759089554
2021-12,4362.859444430798
2022-01,4208.470589362722
2022-02,4092.0602369797657
2022-03,4220.458727848432
2022-04,4094.971477343948
2022-05,4037.293945935384
2022-06,3788.3355327652143
2022-07,4155.530081246861
2022-08,4058.7685972495624
2022-09,3767.230245427829
2022-10,3959.3345714397333
2022-11,4095.1438014139294
2022-12,3795.3196079004165
2023-01,3996.9060931297977
2023-02,3975.757859887826
2023-03,4000.7135028764783
2023-04,3993.626791648902
2023-05,4091.455523390586
2023-06,4230.1667761512235
2023-07,4339.060491240431
