Date,ACFM ASIA
2002-05,754.0880892978336
2002-06,676.4269877387596
2002-07,639.4094041798393
2002-08,631.4289993055578
2002-09,587.9985783366659
2002-10,563.672722014977
2002-11,585.9111557430446
2002-12,535.6715518275267
2003-01,508.5051858034431
2003-02,502.16170727591094
2003-03,472.9995675547244
2003-04,464.01539545207646
2003-05,465.3878969828114
2003-06,509.55435052768206
2003-07,547.2753089410802
2003-08,614.0289369496313
2003-09,605.4041199670775
2003-10,638.6124191426343
2003-11,603.8819644858689
2003-12,610.8275876317683
2004-01,638.9725096202309
2004-02,645.1282220312526
2004-03,711.431453891861
2004-04,690.1537431979799
2004-05,654.6035320733448
2004-06,681.1555637975015
2004-07,653.8916616508711
2004-08,658.5469736777894
2004-09,639.3439396263169
2004-10,637.2784152811284
2004-11,645.7835469811777
2004-12,660.3360111270762
2005-01,677.2194214164416
2005-02,685.4094367313178
2005-03,680.3012660835578
2005-04,669.2178819218914
2005-05,701.6243631522243
2005-06,720.900998332252
2005-07,738.5389227099631
2005-08,756.4324421625951
2005-09,840.1384985911354
2005-10,821.8360365626606
2005-11,877.1601400376184
2005-12,945.9752364785897
2006-01,968.9419519635759
2006-02,981.0016351038043
2006-03,987.3645529693061
2006-04,988.2103790743666
2006-05,906.3733351077165
2006-06,903.1882019304088
2006-07,903.2845485426047
2006-08,919.5588831307781
2006-09,928.3309958946817
2006-10,941.4713157259845
2006-11,933.9866437272076
2006-12,968.0529223211114
2007-01,982.6518367820902
2007-02,989.9123849943259
2007-03,980.4652810756123
2007-04,958.4355495527387
2007-05,1003.7028352808629
2007-06,1018.0462573968537
2007-07,1032.7696619102157
2007-08,1013.4969219518721
2007-09,1035.5758856057212
2007-10,1065.7720117911877
2007-11,1000.0000000000005
2007-12,980.3443732988222
2008-01,881.1662149070678
2008-02,884.9451089163563
2008-03,805.4655432187678
2008-04,882.7597686735402
2008-05,883.6407908237665
2008-06,792.2282199890959
2008-07,781.4666758668455
2008-08,784.65430843942
2008-09,711.17714702181
2008-10,640.6288140361444
2008-11,620.4912112460522
2008-12,616.2263766347706
2009-01,626.4429609312426
2009-02,568.03263244753
2009-03,580.4408524433303
2009-04,655.4173576720424
2009-05,692.6178270699216
2009-06,703.9563947777607
2009-07,754.1632390965167
2009-08,748.9215886218361
2009-09,758.5066336580035
2009-10,739.8947816992974
2009-11,732.8819251088865
2009-12,786.5422185931093
2010-01,794.4043618128654
2010-02,815.7043960060574
2010-03,872.7675442284533
2010-04,896.6001989566101
2010-05,891.6102378319308
2010-06,891.9276266424977
2010-07,877.978558605345
2010-08,884.6729589035596
2010-09,889.9235764633349
2010-10,894.7024978663376
2010-11,957.0089945432643
2010-12,988.8615695794242
2011-01,963.0734133815871
2011-02,956.4952307877213
2011-03,918.9076546602411
2011-04,898.5988918611686
2011-05,913.6440635093913
2011-06,899.9851217943384
2011-07,928.1215495721892
2011-08,842.2204170112295
2011-09,832.7099817701131
2011-10,849.0263563838275
2011-11,822.3218029210336
2011-12,858.5345219994513
2012-01,917.966955606512
2012-02,948.3642537803416
2012-03,942.0489058020858
2012-04,934.2102462455056
2012-05,907.2678805860801
2012-06,918.9972965299271
2012-07,950.006214596944
2012-08,922.6010058982449
2012-09,948.5932506936293
2012-10,932.6525159067478
2012-11,953.2496328080733
2012-12,978.5407228700253
2013-01,974.5268305993757
2013-02,1022.9601923849876
2013-03,1052.4367301071918
2013-04,1075.8559363939282
2013-05,1058.0269846178112
2013-06,1030.920370295871
2013-07,1021.634201104938
2013-08,1010.004188578725
2013-09,1050.9265331533204
2013-10,1069.924708948028
2013-11,1076.8556465667132
2013-12,1062.0993403880993
2014-01,1037.1993536993862
2014-02,1027.996517493028
2014-03,1029.3066787231617
2014-04,1014.727564591191
2014-05,1072.6890138585034
2014-06,1108.162363523202
2014-07,1159.7467857263953
2014-08,1170.515794317684
2014-09,1177.6544630607434
2014-10,1192.4687327606473
2014-11,1202.0496702301014
2014-12,1216.358423777198
2015-01,1335.9422850950039
2015-02,1395.0330069735435
2015-03,1470.2888166477844
2015-04,1486.700529538605
2015-05,1507.2199156245786
2015-06,1442.0399723177586
2015-07,1408.988271599043
2015-08,1280.1059870131328
2015-09,1229.8769118093367
2015-10,1354.3995332668096
2015-11,1385.1189730332894
2015-12,1345.5724909059734
2016-01,1243.8428233235854
2016-02,1216.3138278101765
2016-03,1253.6103218018827
2016-04,1268.3394651527612
2016-05,1289.4913938712198
2016-06,1295.3870189370195
2016-07,1358.9759560591658
2016-08,1391.3910714302488
2016-09,1401.1492842216278
2016-10,1433.1659581764584
2016-11,1441.6692160113064
2016-12,1440.7295294805667
2017-01,1476.7180564633688
2017-02,1536.8166155608264
2017-03,1551.330917471873
2017-04,1549.148120916612
2017-05,1556.3160235860912
2017-06,1555.2923225094564
2017-07,1562.8277977543132
2017-08,1561.1676662961431
2017-09,1582.3165782998449
2017-10,1680.7716026545104
2017-11,1669.8695421553152
2017-12,1688.470187359221
2018-01,1729.6833665179945
2018-02,1705.113187716245
2018-03,1661.3576624686834
2018-04,1702.4206393419927
