Date,EMU ex GERMANY
1998-12,100.00000000000001
1999-01,101.8885651085526
1999-02,101.68887146736016
1999-03,104.74127541309926
1999-04,108.44353453339724
1999-05,105.68645767272191
1999-06,108.72955527660453
1999-07,104.91737595757655
1999-08,108.76247732508088
1999-09,107.67157709104238
1999-10,113.12587670381578
1999-11,122.74385686880967
1999-12,138.52526002412404
2000-01,131.85580136835867
2000-02,145.30592318636394
2000-03,146.46993643001431
2000-04,148.25538496177526
2000-05,146.76429385393826
2000-06,147.43466655084035
2000-07,146.80433626612262
2000-08,150.29096819967762
2000-09,143.97618883299427
2000-10,147.14127992879557
2000-11,139.76340200797583
2000-12,137.87977580493757
2001-01,138.68009519117194
2001-02,125.68409291955014
2001-03,122.02368015496126
2001-04,131.94667241379753
2001-05,128.99095757783613
2001-06,122.89120957811417
2001-07,119.42793724741156
2001-08,111.85642341324052
2001-09,98.63319669046673
2001-10,104.14829392948033
2001-11,108.91555538760332
2001-12,112.53329476357013
2002-01,109.55151060590298
2002-02,108.6959739395447
2002-03,113.4768417764913
2002-04,108.51671496681114
2002-05,104.55060591388266
2002-06,96.0400130299445
2002-07,83.63808980363741
2002-08,84.41786102219739
2002-09,71.22540623722847
2002-10,80.0819387245567
2002-11,85.12604548227853
2002-12,77.3961558779457
2003-01,73.04347079376232
2003-02,70.17983681733877
2003-03,67.27376196453521
2003-04,75.45024698491548
2003-05,76.6260859319641
2003-06,78.88730715760592
2003-07,81.84841521158503
2003-08,84.26535790211592
2003-09,79.84799546003302
2003-10,85.08308591347289
2003-11,86.782595747287
2003-12,89.25277928379383
2004-01,92.34022525009426
2004-02,94.75519574489103
2004-03,92.23560211736034
2004-04,92.82496646108113
2004-05,92.59095647246008
2004-06,95.0217516113057
2004-07,92.58821778086431
2004-08,91.86809527524191
2004-09,93.74614303339304
2004-10,96.54049215556192
2004-11,98.9921696098668
2004-12,101.71921966008621
2005-01,104.22463746301811
2005-02,107.33449626325735
2005-03,106.92617560808635
2005-04,103.53221682383008
2005-05,109.21550492203995
2005-06,113.43617456357225
2005-07,117.80343412392807
2005-08,116.72517341654621
2005-09,122.38990743923911
2005-10,118.08736530081391
2005-11,122.35771257261462
2005-12,127.12757279227391
2006-01,131.883289651018
2006-02,135.77823814776207
2006-03,139.63313510131692
2006-04,139.57517073152744
2006-05,133.31811874589422
2006-06,134.40501294308808
2006-07,136.25884633001138
2006-08,141.1115664688704
2006-09,144.9537748985018
2006-10,148.9889871560973
2006-11,149.31378610170432
2006-12,155.06652695213336
2007-01,158.05395403728198
2007-02,155.20799805792063
2007-03,159.5890314710185
2007-04,166.0948876888875
2007-05,172.01507543574422
2007-06,169.55193974611393
2007-07,164.06201370577148
2007-08,162.43964689823937
2007-09,164.01877397081026
2007-10,169.20867943982142
2007-11,163.1140565114812
2007-12,160.99689428730366
2008-01,141.32397750460433
2008-02,139.71967769680975
2008-03,136.23892451154387
2008-04,144.404067879805
2008-05,145.31057262000016
2008-06,127.08246390481541
2008-07,124.50065835572452
2008-08,126.7623242900403
2008-09,111.92422558675068
2008-10,93.8737722412162
2008-11,88.46015086745268
2008-12,87.82832629567393
2009-01,82.76993209346041
2009-02,73.99154351786301
2009-03,76.50061911700018
2009-04,88.38732165891957
2009-05,93.03899552465464
2009-06,91.60907237304919
2009-07,100.03479842508962
2009-08,106.46919766374903
2009-09,111.24714311052867
2009-10,106.51661390911671
2009-11,107.60927016753404
2009-12,113.64938574701837
2010-01,108.7025195145961
2010-02,106.23086810995844
2010-03,113.85908907749962
2010-04,110.21721352647101
2010-05,102.81419315348809
2010-06,101.25349950084508
2010-07,108.81919895235082
2010-08,104.61121954458532
2010-09,110.07001287833559
2010-10,113.28981980179772
2010-11,105.18919416098703
2010-12,111.40234919865388
2011-01,117.55374356832345
2011-02,119.49489426461828
2011-03,116.57469389525991
2011-04,119.63910529182058
2011-05,117.30218781854337
2011-06,115.31150635527901
2011-07,107.54981481227992
2011-08,96.20241334729646
2011-09,90.46667600367374
2011-10,97.15012092841329
2011-11,94.18082130986556
2011-12,95.00417773326878
2012-01,98.49271119648154
2012-02,101.90527253978846
2012-03,101.17317790053808
2012-04,94.86578327893807
2012-05,88.43366336599406
2012-06,95.6272757508324
2012-07,97.32559683629648
2012-08,101.79573014906464
2012-09,102.08703884030697
2012-10,104.12036258884311
2012-11,107.29267548572287
2012-12,109.72856465146602
2013-01,113.35871888245003
2013-02,112.15540795053468
2013-03,111.95393160247887
2013-04,116.10193957431905
2013-05,119.03684636275379
2013-06,111.98630118204368
2013-07,120.12934113390425
2013-08,119.27563036931221
2013-09,126.49596328645403
2013-10,133.4391350171306
2013-11,133.61147884837544
2013-12,134.26357096457377
2014-01,131.6708773202523
2014-02,138.3140446216543
2014-03,139.84199983034853
2014-04,141.81911121209563
2014-05,145.06391262830704
2014-06,143.9600976269789
2014-07,139.6440331878914
2014-08,142.45873204662914
2014-09,144.16158346038654
2014-10,139.73217225932544
2014-11,145.16857384727092
2014-12,141.39487814546683
2015-01,150.77351190240176
2015-02,162.1202168869373
2015-03,165.7548836447263
2015-04,165.52148219159972
2015-05,167.02350341051985
2015-06,160.6080358759331
2015-07,168.91268229959994
2015-08,154.93604346291758
2015-09,148.52591484206235
2015-10,161.67305329265577
2015-11,165.32055498287176
2015-12,155.5712349060547
2016-01,147.21696980721623
2016-02,142.71115641266292
2016-03,145.4761240087079
2016-04,147.59923663283854
2016-05,150.93150418305143
2016-06,141.52884426393007
2016-07,147.81495106170064
2016-08,149.15001760097354
2016-09,149.50476352058314
2016-10,151.7138864202085
2016-11,151.3562508901267
2016-12,161.45277903924992
2017-01,158.71559329722533
2017-02,163.09161281938722
2017-03,173.09487629279477
2017-04,177.8812223016611
2017-05,181.00580620230534
2017-06,176.34728492246575
2017-07,178.25945045477803
2017-08,177.53236935562205
2017-09,184.17630665209637
2017-10,188.18194839246488
2017-11,183.6243919217976
2017-12,181.83041031861148
2018-01,188.42498631243973
2018-02,182.51885174216406
2018-03,179.12729586568986
2018-04,188.67701458013462
