Date,ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1073.1156621355874
2010-04,1093.7297328388445
2010-05,1072.2778419528952
2010-06,1040.6467525656012
2010-07,1058.3525013429164
2010-08,1046.6714284053435
2010-09,1067.370387350438
2010-10,1086.3902383266723
2010-11,1135.1749577961932
2010-12,1182.4322516368602
2011-01,1177.043040115539
2011-02,1202.8154623278942
2011-03,1168.1591347853728
2011-04,1163.8557440666348
2011-05,1175.3296045381928
2011-06,1146.6111408639192
2011-07,1138.2028014228304
2011-08,1053.3387232268449
2011-09,1024.1937630251828
2011-10,1090.139285969255
2011-11,1097.3265359225588
2011-12,1136.2078022796065
2012-01,1190.2554702849927
2012-02,1223.0747352356598
2012-03,1237.9824716369194
2012-04,1231.9813115893635
2012-05,1201.064071723901
2012-06,1228.2072796998739
2012-07,1282.7900816589988
2012-08,1280.9148241904106
2012-09,1293.863938938314
2012-10,1276.1868968632007
2012-11,1287.6507641819708
2012-12,1299.1814449871374
2013-01,1319.8271195969844
2013-02,1370.8666947777745
2013-03,1421.7615473121093
2013-04,1424.2469393189276
2013-05,1445.5078782608184
2013-06,1400.1570664461535
2013-07,1437.4592869830246
2013-08,1418.1120934883652
2013-09,1452.1022690638038
2013-10,1503.3610203300332
2013-11,1523.6276076128559
2013-12,1531.943268778629
2014-01,1502.908345273134
2014-02,1538.7635816880577
2014-03,1547.2084369939425
2014-04,1552.874724959962
2014-05,1610.9532120606007
2014-06,1635.171651803902
2014-07,1652.7322867842292
2014-08,1715.3291856372252
2014-09,1731.9259501659935
2014-10,1758.0537181909685
2014-11,1797.032747106154
2014-12,1817.1322865713994
2015-01,1916.7687637032916
2015-02,2036.5332957618546
2015-03,2094.5475624940495
2015-04,2066.4084211460536
2015-05,2109.668563469863
2015-06,2025.8728126654348
2015-07,2061.4768281258384
2015-08,1894.1242104778273
2015-09,1832.1041764782588
2015-10,1997.6511421640928
2015-11,2072.8676011134003
2015-12,1978.204042399042
2016-01,1866.4009390571423
2016-02,1846.259608650068
2016-03,1889.4168965212086
2016-04,1907.5222046627002
2016-05,1965.4177258230775
2016-06,1956.1330052774101
2016-07,2026.3254948243398
2016-08,2041.3820627253522
2016-09,2035.8363165584692
2016-10,2050.6577261992174
2016-11,2137.7482892304997
2016-12,2196.459747822014
2017-01,2201.676819466038
2017-02,2301.2406135395095
2017-03,2313.8853921294694
2017-04,2307.6899178296744
2017-05,2284.933983224483
2017-06,2263.530232615761
2017-07,2249.380409880357
2017-08,2238.9442492797925
2017-09,2295.953994866036
2017-10,2377.865401623577
2017-11,2369.053713140391
2017-12,2389.7967964214245
2018-01,2433.3607844826065
2018-02,2381.5998314841977
2018-03,2311.596431519787
2018-04,2375.180426417875
2018-05,2463.445013380519
2018-06,2450.175582644323
2018-07,2517.497462490781
2018-08,2552.715306111776
2018-09,2570.0829418587555
2018-10,2435.454223032071
2018-11,2471.1679517177813
2018-12,2273.068802587809
2019-01,2444.8043544342354
2019-02,2530.579615580176
2019-03,2597.4840050324574
2019-04,2691.4506161629633
2019-05,2543.429333587577
2019-06,2653.681434961039
2019-07,2722.9403148568776
2019-08,2688.335254260685
2019-09,2772.439691934203
2019-10,2782.161182335405
2019-11,2885.3903494377896
2019-12,2933.85884562143
2020-01,2939.057732906348
2020-02,2726.0510501093554
2020-03,2366.101929360321
2020-04,2623.275323713133
2020-05,2696.670001842404
2020-06,2755.057046845668
2020-07,2753.2184314026886
2020-08,2891.0486587648293
2020-09,2853.1404496908585
2020-10,2801.840721145903
2020-11,3065.452379877587
2020-12,3133.8459578567395
2021-01,3143.4478737192867
2021-02,3219.086891450584
2021-03,3413.9317230840147
2021-04,3480.7932721498705
2021-05,3477.506330019874
2021-06,3633.414576612974
2021-07,3659.493169524582
2021-08,3764.7442983890755
2021-09,3674.5763819125896
2021-10,3872.332195119187
2021-11,3885.4232117293755
2021-12,4001.346144083392
2022-01,3857.0662877040786
2022-02,3748.4251064115747
2022-03,3867.6723382466594
2022-04,3749.4733254091952
2022-05,3699.4316620056366
2022-06,3471.6201279568195
2022-07,3806.999710108406
2022-08,3712.912977847991
2022-09,3444.0482806540144
2022-10,3621.2730374282496
2022-11,3748.9680938023575
2022-12,3474.7263330940295
2023-01,3664.6299035909105
2023-02,3646.924615516735
2023-03,3670.55798830448
2023-04,3662.019667702323
2023-05,3749.2897408213353
2023-06,3875.934597893488
2023-07,3976.1322698419676
