Date,HONG KONG-LISTED SOUTHBOUND
1999-05,1000.0
1999-06,1114.1244008950096
1999-07,1035.9412306364009
1999-08,1073.5956787446496
1999-09,1008.5159578054837
1999-10,1071.3639766287135
1999-11,1253.2398872513702
1999-12,1352.7550910570442
2000-01,1243.7938452021365
2000-02,1296.1760219823102
2000-03,1336.9581982961442
2000-04,1296.2895518529344
2000-05,1173.2460520754855
2000-06,1224.165681640089
2000-07,1354.0376837949516
2000-08,1442.1256606134698
2000-09,1351.626804034245
2000-10,1346.8704510710825
2000-11,1240.8293500420396
2000-12,1247.9414237568487
2001-01,1331.0242970241106
2001-02,1246.078377903089
2001-03,1147.4525956781051
2001-04,1191.8255799048861
2001-05,1237.4389966178255
2001-06,1194.4357511534834
2001-07,1110.0886727620834
2001-08,1006.30147162234
2001-09,885.1041386580857
2001-10,924.2811165033687
2001-11,1042.501451237989
2001-12,1057.75972276344
2002-01,1049.2416384825453
2002-02,1025.396195599606
2002-03,1078.8089986296472
2002-04,1091.067575905354
2002-05,1043.4739612507112
2002-06,933.657702703826
2002-07,913.8861452304417
2002-08,900.4636281371768
2002-09,819.7967628091491
2002-10,852.2763222965671
2002-11,904.3171060217393
2002-12,800.4287271252718
2003-01,777.1501853812833
2003-02,772.5820522931168
2003-03,740.085129039185
2003-04,745.6779264482436
2003-05,774.3803335970965
2003-06,802.4462767737728
2003-07,863.8564119458863
2003-08,967.9007716929281
2003-09,945.9990511333096
2003-10,1040.1794256124244
2003-11,1020.8591687185432
2003-12,1016.1545980860736
2004-01,1058.3590830894889
2004-02,1108.0823280019054
2004-03,1036.1754736689381
2004-04,1002.0140458958451
2004-05,1015.848031201333
2004-06,1017.9064532550007
2004-07,1024.157325607161
2004-08,1063.7787186169878
2004-09,1074.415532059667
2004-10,1050.9267023523125
2004-11,1087.3305908192385
2004-12,1068.394350953271
2005-01,1076.1692203960174
2005-02,1101.6262037685578
2005-03,1064.627090896582
2005-04,1092.6543721164585
2005-05,1146.9562778081838
2005-06,1200.432445656692
2005-07,1246.5956691013253
2005-08,1224.9445182185966
2005-09,1289.486817319422
2005-10,1216.5250639778155
2005-11,1287.003335525608
2005-12,1301.6079267122605
2006-01,1355.5198236297636
2006-02,1409.0702021196462
2006-03,1402.5996864705369
2006-04,1402.8930287443875
2006-05,1344.7527490913233
2006-06,1362.0153380260506
2006-07,1398.0516409695636
2006-08,1427.2983634100094
2006-09,1465.9582203851662
2006-10,1513.6582231586524
2006-11,1534.3128705549154
2006-12,1648.575718948815
2007-01,1649.8171545433213
2007-02,1579.2080034964013
2007-03,1604.301015771442
2007-04,1625.9787975535423
2007-05,1713.6002372557023
2007-06,1791.387954992128
2007-07,1891.033531372357
2007-08,1957.5611692448283
2007-09,2151.2557781751075
2007-10,2391.4106653767285
2007-11,2108.83237791211
2007-12,2066.1667454190056
2008-01,1695.8948954740438
2008-02,1744.2794142850516
2008-03,1559.9302624137417
2008-04,1770.4001271785776
2008-05,1720.5630410938143
2008-06,1511.184356911539
2008-07,1558.4426964618842
2008-08,1548.9827072710282
2008-09,1375.0791057434958
2008-10,1177.628814871111
2008-11,1177.5603236804727
2008-12,1113.4354230405647
2009-01,1112.5251013769641
2009-02,1074.5416347637197
2009-03,1090.5860036235183
2009-04,1262.1932606074045
2009-05,1408.1054167419638
2009-06,1435.2571185539102
2009-07,1600.7630272722827
2009-08,1513.943803324753
2009-09,1582.6625770729847
2009-10,1622.7221574637344
2009-11,1625.6834035529694
2009-12,1708.1941401108922
2010-01,1626.027279215512
2010-02,1700.9237056338375
2010-03,1766.9772267255687
2010-04,1791.0564383976248
2010-05,1810.5199903564849
2010-06,1845.4677710957237
2010-07,1832.3348021943834
2010-08,1837.6900485971064
2010-09,1875.6193977962218
2010-10,1896.3704260638306
