Date,FM LATIN AMERICA & CARIBBEAN INDEX
2009-05,1000.0
2009-06,1175.371771177435
2009-07,1223.3598107555144
2009-08,1322.148077409082
2009-09,1342.4405340155797
2009-10,1401.275052846389
2009-11,1333.1755936069658
2009-12,1449.9297301641125
2010-01,1458.495512420318
2010-02,1429.6926702192814
2010-03,1603.8640492525162
2010-04,1639.607496441585
2010-05,1621.6108809841555
2010-06,1692.4440365158448
2010-07,1794.4160982689848
2010-08,1898.0774739899175
2010-09,2002.483142789148
2010-10,2224.320038969901
2010-11,2445.913248256062
2010-12,2488.596881730831
2011-01,2439.9476772778125
2011-02,2258.5560472209977
2011-03,2134.347769572587
2011-04,2014.8204252659143
2011-05,2117.928726087864
2011-06,2201.488166621895
2011-07,2142.088071065169
2011-08,1884.2996088237237
2011-09,1624.0725675252643
2011-10,1590.3718108786838
2011-11,1640.0789401243705
2011-12,1634.0516056053339
2012-01,1834.6974512555644
2012-02,1482.113057709175
2012-03,1492.7533136476213
2012-04,1055.4336065622547
2012-05,957.3520074875925
2012-06,898.6193447370696
2012-07,914.3034835085768
2012-08,893.3721880070926
2012-09,893.8128799483427
2012-10,821.7907192043261
2012-11,863.9495266986742
2012-12,1012.8007474269228
2013-01,1148.013914747665
2013-02,943.9450925159315
2013-03,1068.1654978628878
2013-04,1091.4675059291617
2013-05,1071.2364089195062
2013-06,1032.6614160420143
2013-07,1104.6494576586083
2013-08,1249.4455259953484
2013-09,1371.7712344905756
2013-10,1473.092263424711
2013-11,1771.9965719049205
2013-12,1608.3123095788524
2014-01,1251.3655227101895
2014-02,1459.0779139391702
2014-03,1702.2922248501432
2014-04,1728.3850223724098
2014-05,1824.5144171683157
2014-06,2031.7037104724423
2014-07,2209.8239160951925
2014-08,1950.177351823696
2014-09,2271.336888887628
2014-10,2362.6872329557987
2014-11,2346.1229321593637
2014-12,2179.5526658642516
2015-01,2215.561671416263
2015-02,2679.8660417147685
2015-03,3068.9406933472387
2015-04,2904.5692759181275
2015-05,2714.8017198708944
2015-06,2555.6952603253753
2015-07,2318.2992300816845
2015-08,2256.2073885268173
2015-09,1870.983446413205
2015-10,2740.3420090399018
2015-11,2582.848318881438
2015-12,2415.8025547200814
2016-01,2512.9547115704218
2016-02,2711.294245021956
2016-03,2495.3425127876144
2016-04,2581.0954889538716
2016-05,2662.838184268251
2016-06,2749.373103304403
2016-07,2723.496304591018
2016-08,2673.2357953035867
2016-09,2790.7397495829596
2016-10,2837.5970685307125
2016-11,2666.938564612664
2016-12,2610.2600337403182
2017-01,3016.9603662814748
2017-02,3095.7497920674573
2017-03,3469.79250034025
2017-04,3497.353981
2017-05,3589.138649
2017-06,3416.158179
2017-07,3078.444293
2017-08,3392.507184
2017-09,3764.37604
2017-10,4033.617144
2017-11,3755.518583
2017-12,3977.104782
2018-01,3916.479747
2018-02,3795.182948
2018-03,3664.362712
2018-04,3555.618521921817
2018-05,2873.281805705993
2018-06,2241.8398908165263
2018-07,2552.3248607201404
2018-08,1960.261826712909
2018-09,2048.22285399105
2018-10,2060.009585619089
2018-11,2177.233712869631
2018-12,2053.830469368966
2019-01,2449.645030331651
2019-02,2207.4061471790274
2019-03,2048.972307148538
2019-04,1891.0618041557998
