Date,ACWI ex HUNGARY
2015-12,2158.541140320905
2016-01,2036.2798542604335
2016-02,2013.903401700364
2016-03,2062.484602589026
2016-04,2082.3190318743286
2016-05,2145.101896376115
2016-06,2136.5369237566156
2016-07,2214.042211031625
2016-08,2230.447335577194
2016-09,2224.0542276971223
2016-10,2241.295873829452
2016-11,2333.733036829353
2016-12,2397.7811805668102
2017-01,2404.1811001590436
2017-02,2513.767807260117
2017-03,2528.0072994142724
2017-04,2521.645744782297
2017-05,2495.7804913489167
2017-06,2471.823361882291
2017-07,2457.99626542344
2017-08,2446.799784144647
2017-09,2508.2799003568334
2017-10,2598.2492655968936
2017-11,2587.7297938367374
2017-12,2610.914407946006
2018-01,2658.668662640681
2018-02,2601.5515345878944
2018-03,2524.7301682234975
2018-04,2594.531526950194
2018-05,2688.936011843492
2018-06,2673.794555452585
2018-07,2748.5464246797646
2018-08,2785.7278890001207
2018-09,2802.6690045246205
2018-10,2657.694219129544
2018-11,2698.403831678314
2018-12,2484.3594592119707
2019-01,2670.5003344582924
2019-02,2763.0347137769672
2019-03,2837.275484794015
2019-04,2938.727168927426
2019-05,2780.1415981484847
2019-06,2898.6602875055237
2019-07,2973.475916880425
2019-08,2934.9925916403668
2019-09,3027.1358125913675
2019-10,3038.969038537742
2019-11,3150.013670875251
2019-12,3203.06468318505
2020-01,3208.6742488011037
2020-02,2975.679445781384
2020-03,2576.900096950182
2020-04,2858.0602381460885
2020-05,2936.627102927278
2020-06,3001.3432124358624
2020-07,3001.479876622972
2020-08,3149.4340240991824
2020-09,3108.5030101419256
2020-10,3053.239164674903
2020-11,3339.6069011773784
2020-12,3416.491097532788
2021-01,3425.1211091551695
2021-02,3507.665957809722
2021-03,3719.383834390238
2021-04,3790.127519295282
2021-05,3789.62653717258
2021-06,3958.597782324937
2021-07,3986.202575661659
2021-08,4104.404160851126
2021-09,4007.8364052785414
2021-10,4218.631892046131
2021-11,4232.898291889442
2021-12,4357.393084318044
2022-01,4203.104250485358
2022-02,4086.830480521739
2022-03,4214.956076666663
2022-04,4089.708437913957
2022-05,4032.310401986626
2022-06,3783.48018678232
2022-07,4150.149674335818
2022-08,4053.3916082302935
2022-09,3762.312947741016
2022-10,3954.184771744058
2022-11,4089.9044078192637
2022-12,3790.5074616730894
2023-01,3991.8748255231344
2023-02,3970.8631251600013
2023-03,3995.5896991445366
2023-04,3988.5185838120733
2023-05,4086.0329921412085
2023-06,4224.5617844891085
2023-07,4333.348394060974
