Date,NEXT 11 ex IRAN
2002-05,1000.0
2002-06,895.1920912870461
2002-07,865.1001404636255
2002-08,871.484396133159
2002-09,753.012652258634
2002-10,785.919511894423
2002-11,869.6359484486586
2002-12,738.5283185996462
2003-01,690.3008077591435
2003-02,661.563627619049
2003-03,606.364743198386
2003-04,680.1606734207468
2003-05,678.3855766881287
2003-06,742.1679400946346
2003-07,816.3758441510893
2003-08,871.1584982985232
2003-09,798.1270618622867
2003-10,869.227652407264
2003-11,842.9418168115084
2003-12,831.8476727406836
2004-01,929.5320969151985
2004-02,967.6357029153852
2004-03,1013.5216296433965
2004-04,984.3556927582465
2004-05,922.2725945119965
2004-06,919.1845443505085
2004-07,880.9016281676821
2004-08,925.2458756263364
2004-09,948.6149933195567
2004-10,957.2275128260663
2004-11,999.3818771677046
2004-12,1023.3965774435759
2005-01,1129.9610894851216
2005-02,1208.4374222595031
2005-03,1151.4436916843115
2005-04,1113.0308844769356
2005-05,1235.1809418959278
2005-06,1283.6418698644343
2005-07,1417.0650018167657
2005-08,1355.948600498022
2005-09,1540.0730978100096
2005-10,1475.455014373097
2005-11,1655.2617029366734
2005-12,1803.1483025001635
2006-01,1915.0625557791545
2006-02,1907.4359380812898
2006-03,1860.3389320213662
2006-04,1906.4873125883928
2006-05,1687.8156603474865
2006-06,1677.4266386513575
2006-07,1724.2180134624682
2006-08,1780.273984441828
2006-09,1854.255446572008
2006-10,1873.8353380055885
2006-11,1884.6791942928905
2006-12,1932.3986082375754
2007-01,1927.2961942452212
2007-02,1926.0431638443793
2007-03,1991.999916269942
2007-04,2037.5631329756604
2007-05,2243.2566756329497
2007-06,2279.2729507449476
2007-07,2404.651527624405
2007-08,2311.0048097941603
2007-09,2373.786435441334
2007-10,2506.0131016269006
2007-11,2300.3322341420417
2007-12,2300.6149699366683
2008-01,2035.3452919836914
2008-02,2070.9853349663686
2008-03,1912.4280026817305
2008-04,2023.6337909960928
2008-05,2027.2844223829059
2008-06,1789.784476597704
2008-07,1799.4932048262872
2008-08,1709.9879880220028
2008-09,1580.108971799115
2008-10,1246.5483896811133
2008-11,1091.1707989661786
2008-12,1126.3137332222434
2009-01,1125.0698027152964
2009-02,971.8282600805582
2009-03,1118.2769597057106
2009-04,1350.7958894853234
2009-05,1378.227578244652
2009-06,1393.0587841285526
2009-07,1606.3057192307836
2009-08,1622.9110731452704
2009-09,1731.2585938912816
2009-10,1646.0511454977534
2009-11,1646.6493053050544
2009-12,1848.5922772524211
2010-01,1844.7839793087464
2010-02,1867.8058536812775
2010-03,2070.7777987354243
2010-04,2205.3899395096173
2010-05,2127.697004995645
2010-06,2142.978296654862
2010-07,2164.2433742182675
2010-08,2156.2705627435225
2010-09,2244.3950789625387
2010-10,2276.39300161673
2010-11,2397.1918476269843
2010-12,2511.4430580190997
2011-01,2426.019760213875
2011-02,2321.079075290181
2011-03,2462.1052134062934
2011-04,2482.731069294404
2011-05,2475.87444869741
2011-06,2434.3684218965036
2011-07,2492.8429512662156
2011-08,2217.3414040106118
2011-09,2096.721577979652
2011-10,2268.8001621908475
2011-11,2223.6084455176524
2011-12,2270.2521626981734
2012-01,2464.8191640250316
2012-02,2511.6829766081137
2012-03,2542.5696739537434
2012-04,2557.575144631607
2012-05,2436.7243667970815
2012-06,2509.04435122074
2012-07,2679.0326369905133
2012-08,2594.1184003495105
2012-09,2699.2377628938
2012-10,2660.3613199523943
2012-11,2690.0897860157625
2012-12,2779.5734468481437
2013-01,2691.388951799442
2013-02,2886.729625730116
2013-03,2908.513958393166
2013-04,2797.573963096854
2013-05,2803.3102749078694
2013-06,2587.5384642443973
2013-07,2572.499771997267
2013-08,2528.0551626777637
2013-09,2591.495844551877
2013-10,2710.035018780559
2013-11,2699.3429444187514
2013-12,2616.9983656158547
2014-01,2539.5479233854026
2014-02,2544.2103473335055
2014-03,2614.210810399539
2014-04,2648.275779517931
2014-05,2788.296489829455
2014-06,2803.6563890252846
2014-07,2939.8138537444042
2014-08,2994.4236021637225
2014-09,2921.56673735286
2014-10,2899.702214482771
2014-11,2858.3611643977774
2014-12,2846.5008263615778
2015-01,3059.0420900061563
2015-02,3114.3098232279963
2015-03,3252.5736513426227
2015-04,3212.1168209044467
2015-05,3179.7433304331184
2015-06,3020.6232961241963
2015-07,2860.8095645034437
2015-08,2636.2577176785085
2015-09,2614.9372609121547
2015-10,2905.6061995946543
2015-11,2933.2314976933953
2015-12,2805.6040637249675
2016-01,2694.0142132113515
2016-02,2673.260079812628
2016-03,2855.5597762471675
2016-04,2836.6287957430454
2016-05,2776.3870661354727
2016-06,2882.3920921695485
2016-07,2978.8321105104187
2016-08,3057.9069985270608
2016-09,3035.5493596114784
2016-10,3060.419788095287
2016-11,2954.353027621766
2016-12,3010.8633762873287
2017-01,3100.1723473599945
2017-02,3243.0762716543136
2017-03,3393.431263080482
2017-04,3395.222023766758
2017-05,3476.2650724471832
2017-06,3492.3259362183353
2017-07,3482.7945002572615
2017-08,3403.1957961700987
2017-09,3434.910270496449
2017-10,3636.1016751965535
2017-11,3544.520024094375
2017-12,3642.6253359455063
2018-01,3655.037517957325
2018-02,3520.553150471013
2018-03,3510.424166148463
2018-04,3611.2214103959964
2018-05,3498.677484613875
2018-06,3338.9158488652693
2018-07,3344.043039956994
2018-08,3362.3818901477443
2018-09,3380.1701332569173
2018-10,3027.816651864842
2018-11,3132.194744128716
2018-12,3073.788656381883
2019-01,3367.37137467555
2019-02,3314.9985808184824
2019-03,3285.9201849668234
2019-04,3325.3703759296054
2019-05,3098.9198489455216
2019-06,3242.1652905021992
2019-07,3183.265400508425
2019-08,3084.692178784097
2019-09,3264.2191054038803
2019-10,3306.660879828241
2019-11,3294.11751570529
2019-12,3494.2702829134982
2020-01,3398.692328323557
2020-02,3142.3739689710756
2020-03,2613.459249584177
2020-04,2832.4490682476976
2020-05,2874.7732569347713
2020-06,3037.2105179833475
2020-07,3038.580718336616
2020-08,3060.1433946925763
2020-09,3159.4439883258133
2020-10,3230.6124518634674
2020-11,3682.583485942287
2020-12,4102.185895292895
2021-01,4126.926470771913
2021-02,4146.4613210854395
2021-03,4279.320912004231
2021-04,4289.415918140164
2021-05,4285.723056154931
2021-06,4442.105083809659
2021-07,4238.229641323945
2021-08,4278.349295322471
2021-09,4116.4602285024
2021-10,4092.0487978926067
2021-11,4025.4951880129925
2021-12,4222.245116477285
2022-01,3952.7460751245744
2022-02,4002.6654005066875
2022-03,4091.9909390330176
2022-04,4065.961421456042
2022-05,4057.077282395099
2022-06,3540.323502144503
2022-07,3782.032894723184
2022-08,3769.4226764280274
2022-09,3343.2598058185476
2022-10,3568.354559968177
2022-11,3828.819040775754
2022-12,3522.910839831549
2023-01,3832.7550137118465
2023-02,3732.1594886990974
2023-03,3783.251933743947
2023-04,3733.931359218525
2023-05,3951.8335894325874
2023-06,3902.1496570398876
2023-07,4090.789643296235
