Date,FM CENTRAL & EASTERN EUROPE + CIS
2002-05,347.77455533327594
2002-06,345.36469477473963
2002-07,314.5588242156239
2002-08,331.5207178692675
2002-09,320.19908029222756
2002-10,322.6112406597711
2002-11,347.1791078347783
2002-12,338.3218739415756
2003-01,328.48474974110275
2003-02,316.3997536181303
2003-03,312.72277210237536
2003-04,330.6626482735514
2003-05,330.5861147608409
2003-06,329.74055904181154
2003-07,344.3080697205525
2003-08,352.7932682513852
2003-09,359.1013958874712
2003-10,366.50772539962986
2003-11,373.9400734022455
2003-12,382.4708782143258
2004-01,402.02367849596885
2004-02,399.1267820954628
2004-03,418.9925841646232
2004-04,442.08883019368125
2004-05,424.9327215201906
2004-06,426.7710805543126
2004-07,436.5263303260328
2004-08,452.0620020409793
2004-09,453.05599825761203
2004-10,468.71770670648687
2004-11,483.0561199696746
2004-12,490.2546605511789
2005-01,507.18209039569405
2005-02,532.5810644629366
2005-03,495.36786948816535
2005-04,482.0563490803505
2005-05,498.14553935956746
2005-06,492.35081973774277
2005-07,506.62638870540604
2005-08,507.1626181244323
2005-09,523.6809314371066
2005-10,527.0092077107021
2005-11,543.2066084647427
2005-12,577.5011555692321
2006-01,609.486095231525
2006-02,669.5304535521398
2006-03,691.9372470009777
2006-04,728.7107277896379
2006-05,689.1517560226312
2006-06,660.9371658431346
2006-07,698.3732548919404
2006-08,717.0726698976345
2006-09,764.0566638471271
2006-10,825.1441395742136
2006-11,864.8200193587762
2006-12,981.0811257629138
2007-01,988.9662054677472
2007-02,980.4407421175209
2007-03,1016.6375721012195
2007-04,1023.6823364323097
2007-05,1030.4080418561323
2007-06,1091.9021676782295
2007-07,1104.983223946103
2007-08,1057.8042414588826
2007-09,1064.3386854059934
2007-10,1043.482233164977
2007-11,999.9999999999999
2007-12,1059.3973431707514
2008-01,937.2512084115855
2008-02,924.8805122437219
2008-03,846.3592862529721
2008-04,853.5600314856642
2008-05,900.5255831859014
2008-06,833.8489606011151
2008-07,799.0971500079318
2008-08,744.1250493297038
2008-09,598.5258355198289
2008-10,482.36475916539655
2008-11,439.82251463999904
2008-12,402.9506875677694
2009-01,381.9105568807973
2009-02,357.16616999346917
2009-03,372.77396481954173
2009-04,416.87985261420357
2009-05,501.13273122847994
2009-06,481.7239658392844
2009-07,510.18320785795646
2009-08,531.4513874714729
2009-09,562.642697999263
2009-10,574.1492719596628
2009-11,574.9105072623347
2009-12,587.8564538563749
2010-01,629.0884104033734
2010-02,621.59298928299
2010-03,666.7525149182461
2010-04,656.8713753746717
2010-05,607.402868636883
2010-06,586.5285533417261
2010-07,582.6278720891781
2010-08,573.479830797772
2010-09,570.3680498271075
2010-10,564.8999898359162
2010-11,587.975374336583
2010-12,616.3796734449065
2011-01,646.591408277164
2011-02,657.034833292659
2011-03,653.8425989045929
2011-04,635.2367688890382
2011-05,631.7535320234755
2011-06,606.9996032086912
2011-07,594.3958652225585
2011-08,548.5132197601662
2011-09,501.96885307778695
2011-10,519.973445930908
2011-11,502.63777161200886
2011-12,493.1611659322184
2012-01,503.42197534371394
2012-02,520.2225950570729
2012-03,540.7347059683201
2012-04,536.8171358162043
2012-05,502.4257284472815
2012-06,492.7837644176145
2012-07,518.7795523746098
2012-08,522.178385705017
2012-09,536.0604216130404
2012-10,527.4263624454377
2012-11,536.4258364557616
2012-12,542.5770057171234
2013-01,566.4468675414292
2013-02,587.4130458336374
2013-03,579.5259343367146
2013-04,568.0432538701752
2013-05,568.5472158323961
2013-06,557.3121581576447
2013-07,563.0115439392123
2013-08,558.4736166084357
2013-09,559.5869735362077
2013-10,556.2479184938874
2013-11,582.7199869579663
2013-12,590.4064340312145
2014-01,575.96432764952
2014-02,575.2816969620447
2014-03,552.4279433838065
2014-04,575.0717743545893
2014-05,619.136354851745
2014-06,645.1444045872129
2014-07,657.7253789228687
2014-08,667.7419035567082
2014-09,675.2914509166305
2014-10,642.1804385664816
2014-11,610.8939179704661
2014-12,608.1743580227742
2015-01,586.2125457484524
2015-02,598.2154609191551
2015-03,619.2947378195747
2015-04,630.523057820439
