Date,ACWI WITH PARTIAL A SHARES
2008-11,1060.6956665901432
2008-12,1003.3276431924277
2009-01,995.3935664516163
2009-02,906.0826013482722
2009-03,938.1509963054441
2009-04,1050.9062825125166
2009-05,1081.8160618273657
2009-06,1085.7012833135984
2009-07,1168.7654587137897
2009-08,1195.6867077763113
2009-09,1227.7689893241604
2009-10,1197.619220974358
2009-11,1225.3915360938902
2009-12,1308.827852523378
2010-01,1292.5953409409258
2010-02,1333.335136538198
2010-03,1431.2578511687698
2010-04,1458.921595280378
2010-05,1430.9888738013528
2010-06,1389.3576553421224
2010-07,1412.6189894193092
2010-08,1397.413015297578
2010-09,1425.337441189805
2010-10,1450.7064123107057
2010-11,1514.5115293638994
2010-12,1577.101713262042
2011-01,1567.3994303103407
2011-02,1601.1098975682685
2011-03,1556.7799666954386
2011-04,1550.0114372798137
2011-05,1565.2682216754392
2011-06,1527.6224614142795
2011-07,1516.2093876369538
2011-08,1402.7406138226352
2011-09,1363.180462251396
2011-10,1451.725046226242
2011-11,1459.1308459016968
2011-12,1510.0154044426042
2012-01,1584.4611427882696
2012-02,1628.5324661158058
2012-03,1646.671987128219
2012-04,1637.9360823861803
2012-05,1596.1879534133939
2012-06,1631.9043013785933
2012-07,1704.5499328317433
2012-08,1701.531246556618
2012-09,1719.681919532518
2012-10,1695.9690563476934
2012-11,1711.2666633008287
2012-12,1726.6618917732164
2013-01,1754.3328873966366
2013-02,1821.1761234545606
2013-03,1887.8817485427057
2013-04,1891.2453529115535
2013-05,1918.8311864439988
2013-06,1856.9519007570257
2013-07,1904.7318878034137
2013-08,1878.3004066029523
2013-09,1924.1445703448833
2013-10,1992.8058881298355
2013-11,2018.0612719070446
2013-12,2028.3821201374856
2014-01,1989.7172126502967
2014-02,2036.4432842960014
2014-03,2049.6820165180193
2014-04,2056.7136452705427
2014-05,2134.3162795224202
2014-06,2167.244844191188
2014-07,2191.0696774901194
2014-08,2274.8154536506627
2014-09,2295.15508514874
2014-10,2330.476431748325
2014-11,2381.504566904088
2014-12,2406.689623884636
2015-01,2540.3828738661186
2015-02,2697.8927836994676
2015-03,2774.756137044938
2015-04,2738.0999369711794
2015-05,2795.067937538324
2015-06,2684.977417471565
2015-07,2730.1667125524914
2015-08,2507.028551842307
2015-09,2425.477095710225
2015-10,2643.4822386506708
2015-11,2742.0062413103983
2015-12,2617.8530830184827
2016-01,2468.113291348271
2016-02,2441.01243923509
2016-03,2500.485506220272
2016-04,2524.3607293769132
2016-05,2600.4382733369794
2016-06,2590.0895773844863
2016-07,2683.9866146419345
2016-08,2704.3348445854385
2016-09,2696.514898958023
2016-10,2717.553064345295
2018-03,3061.897012762843
2018-04,3146.3562206691663
2018-05,3260.869586484876
