Date,EM VOTING RIGHTS-ADJUSTED
2021-05,1356.25386972386
2021-06,1397.19612972909
2021-07,1312.4537021432966
2021-08,1353.8060221124863
2021-09,1326.658282924953
2021-10,1339.5630639343033
2021-11,1321.11226637892
2021-12,1337.1616930542714
2022-01,1330.6915168973997
2022-02,1290.73244184806
2022-03,1274.219208835072
2022-04,1268.416735971832
2022-05,1251.7796216662396
2022-06,1192.2754887917258
2022-07,1222.3340508572307
2022-08,1243.5522063675396
2022-09,1127.365215797383
2022-10,1088.0079974725986
2022-11,1196.3087444356358
2022-12,1137.0208313532726
2023-01,1204.4388750840212
2023-02,1156.0949955161745
2023-03,1163.0895926137532
2023-04,1134.5321436762247
2023-05,1157.0400966539564
2023-06,1169.7274633147538
2023-07,1226.081312772418
