Date,ACWI ex BELGIUM
2015-12,2163.1033073794215
2016-01,2040.2521889542593
2016-02,2018.4940525365507
2016-03,2067.2098486635264
2016-04,2087.119489359852
2016-05,2149.8173551427913
2016-06,2141.2610686805883
2016-07,2219.2535120180337
2016-08,2235.8156376315947
2016-09,2229.0605778425893
2016-10,2247.1165902830458
2016-11,2340.366261730203
2016-12,2404.6488879238727
2017-01,2411.3189571113976
2017-02,2521.265858881727
2017-03,2535.3545672550945
2017-04,2528.8339878736388
2017-05,2502.7118008375865
2017-06,2479.0679454022707
2017-07,2464.726167971308
2017-08,2453.7224351505174
2017-09,2515.303991565459
2017-10,2605.598478719193
2017-11,2595.419308314799
2017-12,2618.9422523457965
2018-01,2666.884824071474
2018-02,2609.5477884128536
2018-03,2532.3540803013752
2018-04,2602.7678699893754
2018-05,2697.8567628024325
2018-06,2682.3569900125453
2018-07,2757.4220553894143
2018-08,2795.2536187402816
2018-09,2812.528486405451
2018-10,2667.473177148419
2018-11,2708.3646433644058
2018-12,2493.778674721115
2019-01,2680.4616493602825
2019-02,2773.3135303124536
2019-03,2847.6705030188073
2019-04,2949.467526874397
2019-05,2790.5124432195107
2019-06,2909.405953532487
2019-07,2983.99529335123
2019-08,2945.6028872208767
2019-09,3038.008621776613
2019-10,3050.648244045134
2019-11,3162.2073832455962
2019-12,3215.598695422288
2020-01,3221.343100135602
2020-02,2988.2311939636943
2020-03,2587.833657704216
2020-04,2870.4242174372885
2020-05,2949.5955980043095
2020-06,3014.436610156331
2020-07,3014.5732075066358
2020-08,3163.4522244925333
2020-09,3122.386668646553
2020-10,3067.1763577589704
2020-11,3354.1542456207976
2020-12,3431.6337168800987
2021-01,3440.5243068249342
2021-02,3523.712594836648
2021-03,3736.4977849952265
2021-04,3807.3106417457266
2021-05,3806.694704317629
2021-06,3976.71047944608
2021-07,4004.700811145984
2021-08,4123.703055898503
2021-09,4026.72930586002
2021-10,4238.667895239711
2021-11,4253.384915500862
2021-12,4378.194375047862
2022-01,4223.344866062232
2022-02,4106.03935278595
2022-03,4234.876637014207
2022-04,4108.733250046246
2022-05,4051.228123616419
2022-06,3801.008414892285
2022-07,4170.008989586599
2022-08,4073.172157394662
2022-09,3780.3168266166217
2022-10,3972.981014426017
2022-11,4109.252718501752
2022-12,3807.7657967195373
2023-01,4010.33888299467
2023-02,3989.0040999628272
2023-03,4013.8475612445595
2023-04,4006.8272779303647
2023-05,4105.866291941149
2023-06,4245.285806175584
2023-07,4354.2195110457815
