Date,EM ASIA
2000-12,99.99999999999999
2001-01,120.67398395142472
2001-02,114.68750062516217
2001-03,106.46752358054
2001-04,106.21602379127481
2001-05,112.01427683850903
2001-06,109.94415084535942
2001-07,100.50248833187455
2001-08,96.8013229616241
2001-09,82.03193888966211
2001-10,88.5356855790832
2001-11,101.7760808225821
2001-12,111.6315443437573
2002-01,120.84881808432958
2002-02,123.75167210253262
2002-03,131.4165681095159
2002-04,127.54296167963382
2002-05,120.8351162929457
2002-06,109.19389531216852
2002-07,105.55611389579823
2002-08,104.35844900130876
2002-09,91.04309256833868
2002-10,95.23580693368703
2002-11,101.24130673579488
2002-12,89.99072940154649
2003-01,89.4384036383472
2003-02,84.20654870638974
2003-03,78.97172208356538
2003-04,80.68141810704988
2003-05,83.12437371501835
2003-06,91.76277997880207
2003-07,102.24167972581579
2003-08,112.0978652195876
2003-09,104.69379215234885
2003-10,115.58928118128217
2003-11,110.43075467447235
2003-12,112.56156715687061
2004-01,120.19070625895488
2004-02,124.59163466663912
2004-03,125.09698494952305
2004-04,120.34811405224023
2004-05,112.82499221073786
2004-06,111.63118348035758
2004-07,108.73953954369239
2004-08,112.62796454149264
2004-09,114.91620345613256
2004-10,113.23274091048057
2004-11,118.79322164016989
2004-12,119.92360457993829
2005-01,127.17571279108202
2005-02,133.3102914902665
2005-03,128.8582631948287
2005-04,126.07292580094158
2005-05,136.7592307702668
2005-06,143.28044816094547
2005-07,151.97216622406097
2005-08,145.2900628586204
2005-09,157.72060579886957
2005-10,147.89676776528134
2005-11,163.26525139218018
2005-12,175.27557143540835
2006-01,183.42038807707166
2006-02,186.35380888045415
2006-03,187.07011164068834
2006-04,192.28872283286944
2006-05,173.99598227142013
2006-06,173.43783689213666
2006-07,173.44053120376427
2006-08,178.89613751456488
2006-09,188.00282966791323
2006-10,191.7482177597997
2006-11,199.55281921351278
2006-12,208.04125773171555
2007-01,206.64336182802657
2007-02,203.68087349843967
2007-03,206.29638416619505
2007-04,211.00385247196826
2007-05,227.9637411514764
2007-06,240.77502925952365
2007-07,256.16437427221473
2007-08,253.54582936434468
2007-09,271.62142569612615
2007-10,296.7787687552617
2007-11,265.0609430846447
2007-12,264.7084814655803
2008-01,223.9381608365265
2008-02,234.48546530202233
2008-03,209.5332995413433
2008-04,230.90378777377876
2008-05,221.8444090116553
2008-06,191.53431318025767
2008-07,191.76285406589292
2008-08,188.88255822579146
2008-09,165.16834647986764
2008-10,138.92691842763298
2008-11,129.01163810975555
2008-12,130.98152024515886
2009-01,133.00515879175072
2009-02,125.59527559728278
2009-03,139.26036927774715
2009-04,162.80642292877874
2009-05,175.42934214496705
2009-06,176.4985796169797
2009-07,196.79263380383523
2009-08,189.03144627681016
2009-09,202.617177539523
2009-10,198.80896614914818
2009-11,201.38695645219897
2009-12,220.34490073686587
2010-01,213.86502185670912
2010-02,217.89180355902127
2010-03,236.74030392144897
2010-04,246.57576644174554
2010-05,244.2018149123724
2010-06,247.93929759824536
2010-07,246.16830055642973
2010-08,248.64803205372735
2010-09,257.5239274394794
2010-10,259.58177912555
2010-11,271.86122384102185
2010-12,280.3789206729909
2011-01,270.46067371138133
2011-02,258.1047440803444
2011-03,269.12358691562173
2011-04,267.18783633942405
2011-05,271.4708308568461
2011-06,263.33409487848184
2011-07,267.5982972051243
2011-08,239.16880614826704
2011-09,224.1458925997302
2011-10,241.60976703751663
2011-11,229.15051028887098
2011-12,239.21686845615943
2012-01,262.44259789883637
2012-02,271.5713097911116
2012-03,264.1778879905732
2012-04,265.42256275657587
2012-05,257.1258020444182
2012-06,256.8652579381945
2012-07,270.0127488805518
2012-08,261.9298173493404
2012-09,275.3439913511929
2012-10,272.2291636750075
2012-11,278.78989901125146
2012-12,284.5953165261722
2013-01,279.36255507674804
2013-02,289.89837176874914
2013-03,288.2507879379063
2013-04,284.90326881296164
2013-05,287.28860407284503
2013-06,269.6537832633863
2013-07,267.41431027204237
2013-08,266.04177932732074
2013-09,272.72411808257283
2013-10,284.62770135317294
2013-11,284.65167922720326
2013-12,277.6936689343372
2014-01,270.1742925499414
2014-02,272.41978117225545
2014-03,276.7814148744375
2014-04,275.5909487609319
2014-05,291.53640447216935
2014-06,298.63370204587295
2014-07,315.9267455247205
2014-08,324.35938239126716
2014-09,318.6321668236653
2014-10,325.971596365507
2014-11,328.1928965814932
2014-12,331.7038424708017
2015-01,364.2134238229811
2015-02,375.2325968537728
2015-03,393.2690030176783
2015-04,403.16258238964224
2015-05,400.7421132922461
2015-06,378.49285552120455
2015-07,354.28826247224396
2015-08,317.1824217230332
2015-09,313.52211509119684
2015-10,341.42480718614013
2015-11,345.3757771573973
2015-12,333.31457211586724
2016-01,310.1987263610026
2016-02,304.86327555975487
2016-03,323.9104129606022
2016-04,318.1655478551875
2016-05,323.3855727713765
2016-06,333.24843341917466
2016-07,347.0764536406619
2016-08,362.5029757828926
2016-09,364.05383552294415
2016-10,367.8621707141465
2016-11,367.4780693489988
2016-12,364.3623468555262
2017-01,376.4674196337712
2017-02,396.8035684438929
2017-03,407.39492822247024
2017-04,408.7296048878979
2017-05,413.72982097995674
2017-06,415.04348226322384
2017-07,423.91576816455745
2017-08,426.19799088680605
2017-09,428.5154007848196
2017-10,457.8934161957208
2017-11,447.88891536390105
2017-12,457.13652355302594
2018-01,475.9485489174071
2018-02,460.10701796948223
2018-03,450.07235894051183
2018-04,458.556770209397
2018-05,468.25529560298685
2018-06,446.368702667504
2018-07,448.51148502680365
2018-08,447.3172722216378
2018-09,440.50288539683396
2018-10,402.2465075183614
2018-11,423.29063389042113
2018-12,405.9861183090037
2019-01,434.0821127147947
2019-02,444.73931982168665
2019-03,459.2322907278303
2019-04,468.43789346878424
2019-05,429.675482579361
2019-06,447.15132221684354
2019-07,450.1071830949795
2019-08,437.92996392648007
2019-09,451.165524614604
2019-10,460.66075663564465
2019-11,468.5834201449937
2019-12,493.0111955266623
2020-01,476.96328006629545
2020-02,467.4291744374081
2020-03,413.10067715915847
2020-04,451.7984031987349
2020-05,443.55864355888747
2020-06,475.50364848567466
2020-07,495.3021013359996
2020-08,505.4596773065476
2020-09,509.7188181892934
2020-10,530.0402573473044
2020-11,554.7893942744723
2020-12,580.6355688596199
2021-01,610.1142703938797
2021-02,616.3524401003964
2021-03,617.5588759098322
2021-04,617.4548140541377
2021-05,615.4810803865155
2021-06,635.1080587474307
2021-07,583.671522852459
2021-08,601.8023496100001
2021-09,587.5779904500682
2021-10,595.9144389403365
2021-11,590.4099656161761
2021-12,592.9693732858709
2022-01,580.5610273493653
2022-02,565.8072609050027
2022-03,553.364810699746
2022-04,553.9709283454628
2022-05,547.7071844892645
2022-06,534.0424346047923
2022-07,540.5703942977876
2022-08,550.1451697555535
2022-09,489.96956846490025
2022-10,457.20827575787246
2022-11,520.9618425743286
2022-12,498.48150155196436
2023-01,532.1165170143336
2023-02,507.50713479169406
2023-03,513.2122563667618
2023-04,493.1583763113686
2023-05,505.3069364987899
2023-06,507.1445713994975
2023-07,533.1257153053075
