Date,EFM AFRICA
2002-05,398.488152754974
2002-06,339.0006682192655
2002-07,288.9954981183753
2002-08,301.85439023315945
2002-09,299.96765755870223
2002-10,308.30384572742315
2002-11,334.37491519761977
2002-12,335.3519743254497
2003-01,319.2648573676206
2003-02,320.6656808495794
2003-03,299.39597558377625
2003-04,309.32486921305764
2003-05,305.81884660916893
2003-06,326.0593352134754
2003-07,351.8882408729059
2003-08,382.50154668387586
2003-09,366.0107238884781
2003-10,404.99273019866206
2003-11,420.72628889010247
2003-12,405.8904249608401
2004-01,411.7608288011064
2004-02,436.5446855998856
2004-03,456.4867665341704
2004-04,411.6072379913959
2004-05,434.7186333592011
2004-06,441.59959642002826
2004-07,450.0766038824372
2004-08,461.45818842430515
2004-09,487.06445131816247
2004-10,490.9702559461984
2004-11,527.9287243465278
2004-12,540.4994789545992
2005-01,540.3054592670243
2005-02,569.0561085682335
2005-03,532.842158250854
2005-04,534.0704243859877
2005-05,544.7499048772314
2005-06,585.315911408918
2005-07,630.8963145524468
2005-08,649.5284013663417
2005-09,732.3022758589944
2005-10,678.1515326399732
2005-11,737.7788552288666
2005-12,817.5968689264578
2006-01,915.1717729600848
2006-02,880.6241030018227
2006-03,921.7265466348408
2006-04,912.2635862600363
2006-05,770.4033414140306
2006-06,748.4101039304489
2006-07,762.0581026806483
2006-08,771.2773643433466
2006-09,740.1386289511314
2006-10,801.0280779599561
2006-11,817.9379478777087
2006-12,885.3870950616446
2007-01,902.180423105584
2007-02,896.7190495006358
2007-03,938.6366089078567
2007-04,983.998613692206
2007-05,971.7586476157525
2007-06,960.4280106543494
2007-07,951.8799944854259
2007-08,944.8895496040741
2007-09,965.3321542871248
2007-10,1066.321533950315
2007-11,1000.0000000000009
2007-12,982.8497295843262
2008-01,869.1635723986682
2008-02,904.1350800043897
2008-03,817.3952730285173
2008-04,911.9605447110665
2008-05,924.5355995410191
2008-06,835.4391993400924
2008-07,854.4528502745321
2008-08,856.391540449065
2008-09,768.9668799946213
2008-10,627.0522819459558
2008-11,613.4824980853524
2008-12,620.71881329297
2009-01,575.0222069563441
2009-02,552.9751913537128
2009-03,605.3850802806611
2009-04,679.643203501256
2009-05,742.0839524675167
2009-06,755.7174661090314
2009-07,778.2652012579242
2009-08,808.0228661476929
2009-09,815.403868435904
2009-10,801.4733955793902
2009-11,811.9031816578433
2009-12,889.7340673824128
2010-01,884.7910096863872
2010-02,899.7191122958405
2010-03,998.6468001753498
2010-04,1034.389329256721
2010-05,1036.0934404503691
2010-06,1000.4235550484655
2010-07,1049.0217042577062
2010-08,1044.9604797646634
2010-09,1100.5876718472487
2010-10,1101.1457707736802
2010-11,1141.2558670841988
2010-12,1258.272450979945
2011-01,1086.5206894949401
2011-02,1138.5151777769715
2011-03,1154.293003787608
2011-04,1155.2003581809304
2011-05,1141.5021550968343
2011-06,1110.2628843680716
2011-07,1107.5687512706675
2011-08,1085.2107902118541
2011-09,996.0690394051362
2011-10,1041.8846174027685
2011-11,1074.4903802278868
2011-12,1090.3732031090196
2012-01,1169.0285506074993
2012-02,1225.4573616592365
2012-03,1189.272728556559
2012-04,1206.2738372334577
2012-05,1161.978847405607
2012-06,1182.691025912919
2012-07,1259.1911849334986
2012-08,1229.3595769867177
2012-09,1258.5341994715964
2012-10,1220.2506569001039
2012-11,1199.4841463620703
2012-12,1297.6077691251037
2013-01,1204.242868297575
2013-02,1228.8648632314137
2013-03,1233.2733634408478
2013-04,1199.114547272387
2013-05,1172.5858218101903
2013-06,1133.3092725373183
2013-07,1141.4211922104428
2013-08,1129.2090966478343
2013-09,1181.0882364295255
2013-10,1237.7788499693884
2013-11,1195.1868150576756
2013-12,1195.8105479749856
2014-01,1109.888873811093
2014-02,1169.010696814992
2014-03,1239.1240222253784
2014-04,1236.2523099263453
2014-05,1282.2491853049025
2014-06,1309.7318841197812
2014-07,1355.9390521298922
2014-08,1402.873125118262
2014-09,1347.941454975265
2014-10,1422.17975836047
2014-11,1425.182340339238
2014-12,1413.3711551213637
2015-01,1566.7297782346773
2015-02,1583.7782488547311
2015-03,1630.5590196347625
2015-04,1641.335316326327
2015-05,1548.2261126754713
2015-06,1558.5246394417532
2015-07,1477.816077406359
2015-08,1352.3263463061787
