Date,KOKUSAI INDEX (WORLD ex JP)
1998-12,100.0
1999-01,105.81349948560128
1999-02,106.48222517561331
1999-03,111.61712352673703
1999-04,118.34185149336346
1999-05,115.93886171567812
1999-06,122.02804731398365
1999-07,115.71260423246092
1999-08,117.10441556414249
1999-09,113.80328351577971
1999-10,121.45102202518922
1999-11,130.02976833703684
1999-12,141.56428405283776
2000-01,136.3992528535565
2000-02,139.59121464536645
2000-03,149.84544674742935
2000-04,151.4824647598306
2000-05,145.62600039506933
2000-06,144.9152109936018
2000-07,147.595015657203
2000-08,158.15436097065313
2000-09,150.7677428156736
2000-10,155.18348768164302
2000-11,141.535651591838
2000-12,134.65076067346254
2001-01,139.06228639785635
2001-02,128.08682933850653
2001-03,123.88653793423563
2001-04,132.7257365449033
2001-05,136.83239368961694
2001-06,133.17467444725253
2001-07,128.09068636899002
2001-08,117.11633307337182
2001-09,106.57507179051576
2001-10,110.07957076313554
2001-11,117.87341657977599
2001-12,120.13004545049947
2002-01,121.01391183936134
2002-02,118.8564160831939
2002-03,122.89644004518497
2002-04,113.92250779069916
2002-05,109.3808558617246
2002-06,97.08432980358894
2002-07,89.3961409907845
2002-08,89.63665620895206
2002-09,78.55977805685518
2002-10,85.42310575592256
2002-11,89.72067948957466
2002-12,80.73317708280364
2003-01,76.59227165112183
2003-02,74.78196790662207
2003-03,73.9251386231083
2003-04,79.34068694851334
2003-05,79.62334173157845
2003-06,82.56477018535978
2003-07,85.78548775453946
2003-08,89.16171157553798
2003-09,84.1178625219844
2003-10,89.37779704696659
2003-11,88.40306565101031
2003-12,89.22122207894047
2004-01,92.0245566904973
2004-02,93.73121719538346
2004-03,92.83103670778809
2004-04,93.58021869596286
2004-05,93.14432141216807
2004-06,95.06871499261518
2004-07,93.22398594363263
2004-08,92.7302865921581
2004-09,92.87941414501408
2004-10,92.88883687282839
2004-11,93.615558311633
2004-12,94.90277776751049
2005-01,96.73759257863115
2005-02,98.12494094558716
2005-03,98.28392128688907
2005-04,96.8315294237629
2005-05,103.32593678348776
2005-06,106.40181280921959
2005-07,110.03265017324674
2005-08,108.80277272649631
2005-09,112.92866517676171
2005-10,110.75018804706858
2005-11,116.13872737743931
2005-12,117.74514186952986
2006-01,119.39595534161639
2006-02,121.53459196500899
2006-03,122.31687775326102
2006-04,121.09818733362404
2006-05,115.15431417236333
2006-06,115.80549360785076
2006-07,116.93273841937842
2006-08,119.7664997399385
2006-09,122.90645235028377
2006-10,126.75083687037825
2006-11,125.29236749730423
2006-12,128.44035958264863
2007-01,131.92955355415125
2007-02,128.39515978033467
2007-03,130.25594262458233
2007-04,133.64713767498674
2007-05,139.52182683688366
2007-06,137.86906401106503
2007-07,132.6943185961229
2007-08,133.58470012528005
2007-09,134.4994797355967
2007-10,136.7761480815994
2007-11,128.97015324275395
2007-12,128.19364519690066
2008-01,116.49675807255005
2008-02,112.80038730962508
2008-03,107.41182361483287
2008-04,114.82531951495511
2008-05,116.6625441635531
2008-06,105.74244169156331
2008-07,104.28813429856302
2008-08,109.29146371651682
2008-09,100.84001379715765
2008-10,90.00590313223987
2008-11,83.57196208888466
2008-12,78.26420098128207
2009-01,77.23452115575017
2009-02,70.18158109395922
2009-03,72.67967333060804
2009-04,81.13680621638375
2009-05,82.72346903494594
2009-06,82.87437272913182
2009-07,89.37251450979211
2009-08,91.95814515120786
2009-09,94.50598689898737
2009-10,92.03461174090218
2009-11,94.66732377618456
2009-12,100.95144852234716
2010-01,99.22333746995751
2010-02,102.51825865433601
2010-03,109.94423295469177
2010-04,111.9188292481166
2010-05,109.45320337440555
2010-06,105.70524345382022
2010-07,107.9729804644731
2010-08,106.36464420422658
2010-09,108.79500731782792
2010-10,111.04038413177503
2010-11,115.46137048396082
2010-12,120.24040420071276
2011-01,120.59663985652176
2011-02,123.75788506697369
2011-03,120.36448561717206
2011-04,120.47122431578035
2011-05,121.69414684456879
2011-06,118.40326687622424
2011-07,116.65861506066457
2011-08,108.36279268691487
2011-09,105.39200358475424
2011-10,113.07811448340857
2011-11,114.53825748844646
2011-12,118.60363303165721
2012-01,123.57676607868675
2012-02,126.81784251783878
2012-03,129.01919221593735
2012-04,128.60646154221223
2012-05,125.82117852131184
2012-06,128.83007929454618
2012-07,134.93539427559188
2012-08,135.5828550415432
2012-09,136.54217559214553
2012-10,134.7910392108928
2012-11,135.8832454906448
2012-12,136.15750311286035
2013-01,139.1571644756893
2013-02,144.3898532764301
2013-03,150.0899399928722
2013-04,149.98921505647394
2013-05,153.53978895186518
2013-06,148.68575467196416
2013-07,153.90794641429787
2013-08,151.69277220362102
2013-09,154.67047820630387
2013-10,160.64086424031666
2013-11,163.29427854897125
2013-12,164.97043001036428
2014-01,162.3481641040712
2014-02,167.28718456367724
2014-03,168.09827564794736
2014-04,169.33615687872114
2014-05,175.14771045765116
2014-06,177.16079917031695
2014-07,178.03605542216923
2014-08,185.56445313757578
2014-09,187.89454209684595
2014-10,191.00512126795596
2014-11,196.09776794578133
2014-12,198.74010222958094
2015-01,208.48268301346508
2015-02,221.99505487718903
2015-03,227.5561453960609
2015-04,222.972187236239
2015-05,228.46887695427222
2015-06,219.44843117279703
2015-07,225.5636238324976
2015-08,207.5225944592708
2015-09,201.25992637814184
2015-10,219.07495083875736
2015-11,228.10750857435568
2015-12,217.43405384318217
2016-01,205.71173101706466
2016-02,203.7280066937972
2016-03,207.80804223393343
2016-04,209.44491630156799
2016-05,217.02157063813328
2016-06,215.30984982559048
2016-07,222.4915625480564
2016-08,223.51183745828305
2016-09,222.46037006313247
