Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11,1101.4496399092882
2008-12,1086.1913628128873
2009-01,1116.6474183454336
2009-02,1085.9046460520929
2009-03,1150.6524380683802
2009-04,1299.5221151861656
2009-05,1426.7561949188728
2009-06,1476.7089206936319
2009-07,1633.7106752441393
2009-08,1494.7152333024462
2009-09,1552.2483370513612
2009-10,1620.2432068417131
2009-11,1615.9077336256014
2009-12,1707.2257868487238
2010-01,1619.9464461758091
2010-02,1696.3916313134278
2010-03,1803.781715272796
2010-04,1816.6027775594453
2010-05,1853.8665946061833
2010-06,1888.4046238365097
2010-07,1863.4704682527713
2010-08,1878.3213299743413
2010-09,1929.7859575288426
2010-10,1963.598766926052
2010-11,2075.1391892677416
2010-12,2008.2661433540427
2011-01,1967.8808370547936
2011-02,1910.0038164708817
2011-03,1932.0120133530763
2011-04,1883.1150730781958
2011-05,1951.265928291727
2011-06,1863.7399047153322
2011-07,1881.5270243192547
2011-08,1723.4397131010141
2011-09,1543.4532493919853
2011-10,1693.9343865540125
2011-11,1614.7800163710137
2011-12,1711.952982084278
2012-01,1871.2053525640745
2012-02,1961.4762982942698
2012-03,1848.9590501044593
2012-04,1911.3142488293338
2012-05,1838.1514488446783
2012-06,1839.3526597338396
2012-07,1932.7715398041712
2012-08,1851.7920357180046
2012-09,1940.6174431507557
2012-10,2007.4219839698933
2012-11,2044.0275039071894
2012-12,2094.656356517982
2013-01,2130.5015871618634
2013-02,2150.672258781531
2013-03,2110.2282647071047
2013-04,2088.2575481571757
2013-05,2105.6015567149925
2013-06,1958.8546068435128
2013-07,1993.735487202574
2013-08,2033.2650806653128
2013-09,2087.695435520713
2013-10,2127.5840913380434
2013-11,2200.988186184283
2013-12,2126.786704752044
2014-01,2038.2448578285255
2014-02,2052.299658216722
2014-03,2016.206497542634
2014-04,1989.7251192654062
2014-05,2115.038585589082
2014-06,2158.080488624917
2014-07,2375.2568970856714
2014-08,2409.7223185554885
2014-09,2351.0696736485825
2014-10,2490.173406581532
2014-11,2539.543165676636
2014-12,2614.7145048150137
2015-01,2887.9563396786402
2015-02,2965.2804396368165
2015-03,3175.5392576534055
2015-04,3499.8183952295512
2015-05,3490.8306592717713
2015-06,3259.279132421874
2015-07,3010.0564821409284
2015-08,2605.6414738169706
2015-09,2562.8668916321967
2015-10,2824.4915293360427
2015-11,2860.051943668999
2015-12,2758.1165730913103
2016-01,2425.7906352255814
2016-02,2376.3905658660333
2016-03,2523.006525748203
2016-04,2513.479350001203
2016-05,2568.5311784608225
2016-06,2598.987743685033
2016-07,2694.536469347065
2016-08,2857.8137240877554
2016-09,2907.5531578950336
2016-10,2931.3650619863843
2018-03,3691.01361674635
2018-04,3783.0028416604127
2018-05,3977.0817221205084
