Date,ACWI ex THAILAND
2015-12,2157.3404735832914
2016-01,2034.7647534601856
2016-02,2012.1648866875746
2016-03,2060.7605115903684
2016-04,2080.628572853544
2016-05,2143.323222361254
2016-06,2134.6242226071404
2016-07,2211.933574269079
2016-08,2228.1620780450426
2016-09,2221.999991642453
2016-10,2239.3149558938444
2016-11,2331.754551489431
2016-12,2395.7935827798933
2017-01,2402.143071903697
2017-02,2511.7215027977686
2017-03,2525.760033157474
2017-04,2519.5185330756526
2017-05,2493.804423889872
2017-06,2469.8500636946424
2017-07,2456.078113860466
2017-08,2444.713828841034
2017-09,2506.003730731388
2017-10,2595.894258018287
2017-11,2585.3474361128037
2017-12,2608.3172406283156
2018-01,2655.8511122759905
2018-02,2598.266808771583
2018-03,2521.5354591113614
2018-04,2591.32550242613
2018-05,2685.8647058039646
2018-06,2671.482751823014
2018-07,2745.8439968136267
2018-08,2782.891636683492
2018-09,2799.614499764298
2018-10,2654.8257556808953
2018-11,2695.686263518294
2018-12,2481.6188179695805
2019-01,2667.403375744097
2019-02,2760.040276376831
2019-03,2834.4310126012774
2019-04,2935.868557656078
2019-05,2777.132176081681
2019-06,2895.165090615381
2019-07,2970.189975982116
2019-08,2931.741219663995
2019-09,3024.084264435011
2019-10,3036.3990002810942
2019-11,3147.603040850297
2019-12,3200.940279839714
2020-01,3207.1927244896215
2020-02,2974.7074642857765
2020-03,2576.252572542412
2020-04,2856.9496558396986
2020-05,2935.501136371354
2020-06,3000.260331217523
2020-07,3001.029766793368
2020-08,3149.5238170572225
2020-09,3109.0090637157527
2020-10,3053.7381281606326
2020-11,3339.4315047119685
2020-12,3416.5109986879784
2021-01,3425.1430289970644
2021-02,3507.6978292074814
2021-03,3719.3832743357884
2021-04,3790.5759390043268
2021-05,3790.4029256825033
2021-06,3959.7638314043584
2021-07,3988.0036575266963
2021-08,4105.667456746843
2021-09,4009.33326083734
2021-10,4220.34127885639
2021-11,4234.823587691996
2021-12,4359.10413510565
2022-01,4204.493916635829
2022-02,4087.2212541122085
2022-03,4215.647827026534
2022-04,4090.0331302615286
2022-05,4032.3182435712806
2022-06,3783.5276041539864
2022-07,4150.929251860698
2022-08,4053.3772613427445
2022-09,3761.9408216094953
2022-10,3954.280173031918
2022-11,4089.831339088423
2022-12,3789.770032941113
2023-01,3991.422907668936
2023-02,3971.067281489633
2023-03,3995.616931317947
2023-04,3989.059474718124
2023-05,4086.8089803235425
2023-06,4226.088871808457
2023-07,4334.53211957864
