Date,ACWI ex PHILIPPINES
2015-12,2158.4581001068273
2016-01,2036.214252180831
2016-02,2013.8153968230943
2016-03,2062.3048109353876
2016-04,2082.2917591601413
2016-05,2144.908924906818
2016-06,2136.152763530299
2016-07,2213.7441330503907
2016-08,2230.237037831841
2016-09,2224.053150118202
2016-10,2241.387001480148
2016-11,2334.1838578234224
2016-12,2398.323952592429
2017-01,2404.6487504455085
2017-02,2514.3364235692857
2017-03,2528.5503664978132
2017-04,2522.077421520801
2017-05,2496.267089792338
2017-06,2472.3863394441396
2017-07,2458.615365398089
2017-08,2447.5737514913794
2017-09,2508.9569448990605
2017-10,2599.0167025673873
2017-11,2588.497482496925
2017-12,2611.6063013708176
2018-01,2659.630309895901
2018-02,2602.471092156198
2018-03,2525.7633990400773
2018-04,2595.6415978071786
2018-05,2690.097364378264
2018-06,2675.116879380602
2018-07,2749.77110634395
2018-08,2786.9211154940067
2018-09,2804.1565702258167
2018-10,2658.9522535524916
2018-11,2699.6438922983825
2018-12,2485.292004553008
2019-01,2671.4569394682144
2019-02,2764.1828539233593
2019-03,2838.4229815333574
2019-04,2939.9670448625156
2019-05,2781.0782355265433
2019-06,2899.725940730322
2019-07,2974.5550977168596
2019-08,2936.0696575563165
2019-09,3028.3924742501363
2019-10,3040.226870732076
2019-11,3151.534013975632
2019-12,3204.746357158027
2020-01,3210.5032272206913
2020-02,2977.310346720686
2020-03,2578.448737320951
2020-04,2859.7921630811693
2020-05,2938.502399240798
2020-06,3003.097885392914
2020-07,3003.461692045462
2020-08,3151.587578518433
2020-09,3110.5005755988577
2020-10,3054.9133354568094
2020-11,3341.6816051120163
2020-12,3418.6508866846807
2021-01,3427.587344470069
2021-02,3510.173857614557
2021-03,3722.225719191719
2021-04,3793.132474248912
2021-05,3792.651733771954
2021-06,3961.6929503906913
2021-07,3989.710725933765
2021-08,4107.858435099986
2021-09,4011.1530634791447
2021-10,4222.144691473054
2021-11,4236.172109165178
2021-12,4360.898262846322
2022-01,4206.335038212486
2022-02,4089.574701675593
2022-03,4217.916351662817
2022-04,4092.538707235455
2022-05,4034.941996097617
2022-06,3786.184326061811
2022-07,4153.231414351808
2022-08,4056.20950584421
2022-09,3765.171561312834
2022-10,3957.15557310369
2022-11,4092.8793554849103
2022-12,3793.2393642341967
2023-01,3994.811560025995
2023-02,3973.8830313220938
2023-03,3998.584117753604
2023-04,3991.5843846290154
2023-05,4089.315842503103
2023-06,4228.104717165738
2023-07,4336.988947471301
