Date,ACWI ex ITALY
2015-12,2181.8265302538207
2016-01,2059.657971024889
2016-02,2037.7208845556884
2016-03,2086.8832670601496
2016-04,2106.764622188115
2016-05,2170.926982945307
2016-06,2163.562623045031
2016-07,2242.076723904755
2016-08,2258.6492849161327
2016-09,2252.651137744866
2016-10,2269.67520963631
2016-11,2363.9122968315846
2016-12,2427.2482305845306
2017-01,2434.5892346236337
2017-02,2546.030615351845
2017-03,2559.085129803937
2017-04,2552.5478195769215
2017-05,2525.874100742769
2017-06,2501.5175405638524
2017-07,2486.6890032850692
2017-08,2475.144376427556
2017-09,2536.882724225254
2017-10,2628.647379790885
2017-11,2618.234233897059
2017-12,2642.375415862803
2018-01,2689.5431523599727
2018-02,2632.109129185988
2018-03,2553.8895488469907
2018-04,2623.4875139972787
2018-05,2721.5414289787573
2018-06,2706.256913354224
2018-07,2781.881109908671
2018-08,2821.7498539350695
2018-09,2838.5365022654623
2018-10,2692.1416773110536
2018-11,2733.577173561861
2018-12,2516.1554367568096
2019-01,2704.5422530802634
2019-02,2798.0747518652447
2019-03,2873.0993289659814
2019-04,2976.0764857473355
2019-05,2815.964077685285
2019-06,2935.326095998643
2019-07,3011.44373411959
2019-08,2972.2371906913254
2019-09,3065.393628158675
2019-10,3077.0631825293385
2019-11,3189.895054472874
2019-12,3243.8570995144414
2020-01,3249.663904686281
2020-02,3013.3981981286292
2020-03,2611.3166264338
2020-04,2897.6431907016313
2020-05,2977.096045536183
2020-06,3041.8554753545604
2020-07,3042.2738219644834
2020-08,3192.6465236118693
2020-09,3151.5836507014765
2020-10,3096.4150735612375
2020-11,3384.427138065373
2020-12,3462.6082907823284
2021-01,3472.1953163608955
2021-02,3555.095350725971
2021-03,3769.124526088228
2021-04,3841.733212560314
2021-05,3840.1911523722088
2021-06,4012.5332830811494
2021-07,4040.5136575319575
2021-08,4160.72266956566
2021-09,4062.5559330282404
2021-10,4276.178491126567
2021-11,4291.678833336917
2021-12,4416.9764510725745
2022-01,4260.104941095543
2022-02,4142.550862898157
2022-03,4273.719046085418
2022-04,4146.412186041876
2022-05,4087.315687912363
2022-06,3836.6360082572382
2022-07,4209.404844968024
2022-08,4111.509182542779
2022-09,3815.5042537351324
2022-10,4009.0676047748193
2022-11,4145.460225800209
2022-12,3841.135218376738
2023-01,4043.8603420029426
2023-02,4021.6941334969224
2023-03,4047.2640848567976
2023-04,4039.3910337478405
2023-05,4139.725863063252
2023-06,4278.847690577303
2023-07,4388.336904262068
