Date,ACWI ex INDIA
2015-12,2151.7913978483584
2016-01,2030.1129719593387
2016-02,2008.9291217428986
2016-03,2056.5909313394545
2016-04,2076.551401799512
2016-05,2138.815943092316
2016-06,2129.9012081521614
2016-07,2206.932971490119
2016-08,2223.1374240367854
2016-09,2217.0794213605695
2016-10,2234.0679152313232
2016-11,2327.969015023452
2016-12,2392.3695057542495
2017-01,2398.434893806959
2017-02,2507.0380451552555
2017-03,2520.1088154939043
2017-04,2513.698139424225
2017-05,2488.0935166187996
2017-06,2464.543744478221
2017-07,2449.623675182042
2017-08,2438.8216611132675
2017-09,2501.4607563935238
2017-10,2589.8942953839623
2017-11,2580.0524351566683
2017-12,2602.3472843472505
2018-01,2650.5450407051026
2018-02,2594.2613263121098
2018-03,2518.0480264029115
2018-04,2586.838604824841
2018-05,2681.844839761859
2018-06,2666.867364892908
2018-07,2740.483746110035
2018-08,2777.511799551209
2018-09,2797.197042216994
2018-10,2652.4093295958673
2018-11,2690.8406422072667
2018-12,2475.538761009365
2019-01,2663.722864577048
2019-02,2756.7105148068435
2019-03,2828.5398139531067
2019-04,2930.524318209196
2019-05,2770.4482462995143
2019-06,2890.5937649759885
2019-07,2966.9403347173525
2019-08,2928.68897357715
2019-09,3020.3289912146324
2019-10,3031.7136933780084
2019-11,3143.4534832033296
2019-12,3197.1318239097745
2020-01,3202.505689195295
2020-02,2969.690377930282
2020-03,2575.3401909061654
2020-04,2854.9592516352086
2020-05,2935.4664230543076
2020-06,2999.138290879213
2020-07,2997.8369488802396
2020-08,3146.348559013797
2020-09,3104.174787425876
2020-10,3047.8497935400037
2020-11,3334.9883952376385
2020-12,3409.683009651429
2021-01,3419.1461732955377
2021-02,3500.2949133087163
2021-03,3711.695877893127
2021-04,3784.7037585955263
2021-05,3781.126999564086
2021-06,3950.7164558927557
2021-07,3978.1803369405065
2021-08,4091.844075648268
2021-09,3992.8038754385584
2021-10,4206.267386592049
2021-11,4220.784904090686
2021-12,4344.997254303998
2022-01,4189.105247981983
2022-02,4073.7896807667853
2022-03,4200.603327604392
2022-04,4071.622326153523
2022-05,4018.105253926003
2022-06,3769.167316644671
2022-07,4133.043748434657
2022-08,4031.6684218730443
2022-09,3739.92542299842
2022-10,3932.9457903172424
2022-11,4069.633613591137
2022-12,3772.7681193853073
2023-01,3979.4107876817657
2023-02,3959.5209114891377
2023-03,3985.2040045024437
2023-04,3976.6779775602768
2023-05,4071.5125839900643
2023-06,4210.28823878163
2023-07,4319.136213781322
