Date,ACWI ex SOUTH AFRICA
2015-12,2147.273590421632
2016-01,2025.3696204756086
2016-02,2002.9528156971164
2016-03,2049.955514793844
2016-04,2069.266023868334
2016-05,2133.19596874706
2016-06,2123.402060904833
2016-07,2199.713293252982
2016-08,2217.4685857573036
2016-09,2210.2574285825253
2016-10,2227.3256487821377
2016-11,2320.7580235323953
2016-12,2383.942520675157
2017-01,2390.3042172554415
2017-02,2499.3993942430816
2017-03,2513.81058968856
2017-04,2506.8007149282153
2017-05,2481.195579189863
2017-06,2458.2098946085207
2017-07,2443.783626308901
2017-08,2432.0526268936396
2017-09,2494.753223904504
2017-10,2584.206396544118
2017-11,2572.382656366275
2017-12,2594.002275618283
2018-01,2642.0793094303494
2018-02,2584.399166673367
2018-03,2509.0713021457937
2018-04,2578.886311208481
2018-05,2674.0637779655485
2018-06,2659.7701390859384
2018-07,2733.708216886892
2018-08,2773.009709621961
2018-09,2790.3705479018063
2018-10,2646.7426730765014
2018-11,2686.083619868741
2018-12,2471.9039032920527
2019-01,2656.291514001101
2019-02,2749.960453606279
2019-03,2824.4472206783744
2019-04,2924.5229179318017
2019-05,2766.98407911122
2019-06,2884.9135383006133
2019-07,2960.0071077160123
2019-08,2922.9989155807743
2019-09,3015.1621222365056
2019-10,3026.95229867214
2019-11,3137.958169114878
2019-12,3189.8295572004054
2020-01,3196.756249216283
2020-02,2965.480369876727
2020-03,2569.6599368478146
2020-04,2849.7480665223957
2020-05,2928.4049227907035
2020-06,2992.0172611454072
2020-07,2992.0566693860865
2020-08,3140.484553830146
2020-09,3099.2975289356664
2020-10,3043.7976341662525
2020-11,3329.6075895277536
2020-12,3405.576023313773
2021-01,3413.7209895194474
2021-02,3495.8619870059274
2021-03,3706.2157767539547
2021-04,3777.501736026502
2021-05,3776.1505088440367
2021-06,3946.283268298644
2021-07,3974.2375132531047
2021-08,4092.5518811364154
2021-09,3996.3883142604454
2021-10,4207.342385773544
2021-11,4221.807416107829
2021-12,4345.849105918919
2022-01,4190.297041866493
2022-02,4072.8682336366974
2022-03,4199.578165713137
2022-04,4075.687708107433
2022-05,4018.192853106107
2022-06,3771.0450842519913
2022-07,4137.5332032569395
2022-08,4041.155164373463
2022-09,3750.8009656248737
2022-10,3942.575625004539
2022-11,4076.2928055003595
2022-12,3777.92697505158
2023-01,3979.0163122955396
2023-02,3958.955133632728
2023-03,3983.514656808507
2023-04,3976.6132022641605
2023-05,4075.9070476790694
2023-06,4213.644400335129
2023-07,4320.867585639562
