Date,FM (FRONTIER MARKETS)
2002-05,380.21456227031473
2002-06,367.89831047687454
2002-07,364.935249812453
2002-08,377.21429071412956
2002-09,361.57778058060757
2002-10,363.85632885933995
2002-11,382.6876796167347
2002-12,376.60642781692803
2003-01,376.5191515589143
2003-02,365.85331642405276
2003-03,372.4815770842161
2003-04,400.3624163392388
2003-05,392.32449320514814
2003-06,397.1384440955027
2003-07,421.5082257903882
2003-08,438.6043250199335
2003-09,443.03666810643523
2003-10,453.73423822566485
2003-11,453.655411983007
2003-12,449.4737962054395
2004-01,469.6192999392083
2004-02,474.5835683618135
2004-03,457.10849884505717
2004-04,474.88187415789594
2004-05,471.3718691648784
2004-06,479.7469395443344
2004-07,495.9218942143896
2004-08,491.46384883717036
2004-09,494.50565603006976
2004-10,488.66504824039714
2004-11,501.5814709306729
2004-12,511.282400358068
2005-01,569.5811320627673
2005-02,638.9002074989252
2005-03,703.9396641841521
2005-04,761.7796071768922
2005-05,755.8111381219317
2005-06,906.3049293485308
2005-07,858.3758699947441
2005-08,937.1474052630308
2005-09,1035.0580579387888
2005-10,1055.3262668198336
2005-11,1058.630855113976
2005-12,1017.40860794197
2006-01,978.9529898055536
2006-02,938.3040157468876
2006-03,895.4362713517813
2006-04,846.7960024133699
2006-05,780.0496262025678
2006-06,764.7229816000802
2006-07,760.782668093817
2006-08,813.7709498348723
2006-09,827.9908093130557
2006-10,858.738812984119
2006-11,770.0733655679142
2006-12,828.9538850778654
2007-01,860.3339455719671
2007-02,872.5007787620476
2007-03,888.8428593038132
2007-04,899.0361093366889
2007-05,994.5349293313386
2007-06,1019.688842081729
2007-07,1022.7348459462871
2007-08,1010.1275267832198
2007-09,1003.9444533762105
2007-10,1030.7016100288993
2007-11,1000.0
2007-12,1061.232146884927
2008-01,1037.203209137545
2008-02,1056.129859075088
2008-03,962.0013690009811
2008-04,1012.5716313956182
2008-05,1016.8885217089158
2008-06,988.3791207040069
2008-07,969.7175229245678
2008-08,942.4633500833583
2008-09,855.2887443370914
2008-10,712.0527391179537
2008-11,623.0138930365665
2008-12,511.7974850971415
2009-01,453.6283292393646
2009-02,427.2422133316703
2009-03,442.338851923087
2009-04,492.08953781739706
2009-05,545.061862681289
2009-06,565.3992640363157
