Date,EFM (EMERGING + FRONTIER MARKETS)
2002-05,394.0070876379812
2002-06,345.1215703617933
2002-07,319.51399119105
2002-08,325.61633589493664
2002-09,289.3386578250978
2002-10,306.6553829940865
2002-11,325.7288707864426
2002-12,298.7480450013153
2003-01,290.33042645278283
2003-02,280.7623199777282
2003-03,269.3274694529614
2003-04,286.55145711770075
2003-05,289.93234004391763
2003-06,313.3031296936351
2003-07,338.39726992044916
2003-08,370.01955299001713
2003-09,351.04327695821013
2003-10,379.37660126868116
2003-11,372.70098750738794
2003-12,377.6509077844222
2004-01,398.3608106544905
2004-02,417.2750248711111
2004-03,427.2496173500478
2004-04,403.654473821696
2004-05,391.3048830572868
2004-06,394.3771400620369
2004-07,390.4231437754139
2004-08,402.52074785691804
2004-09,415.58503462692687
2004-10,415.90411611762335
2004-11,433.498063143626
2004-12,444.5482173923689
2005-01,465.7230475146104
2005-02,499.1958158247214
2005-03,479.83692352536576
2005-04,472.99341120182015
2005-05,510.29492991114967
2005-06,542.6230993846879
2005-07,574.6633806745374
2005-08,575.2023718365832
2005-09,640.2920582060407
2005-10,605.1207654066973
2005-11,660.9864883328836
2005-12,697.5016695308497
2006-01,747.7206273861505
2006-02,757.1301871804503
2006-03,748.4870005400376
2006-04,768.2181686595421
2006-05,677.5801428493547
2006-06,679.1016165546872
2006-07,689.2597300303014
2006-08,705.9320952574101
2006-09,717.6563240415297
2006-10,744.4843282102668
2006-11,765.2449126158352
2006-12,805.0184554391453
2007-01,808.1092152245102
2007-02,790.6924610596454
2007-03,814.0758331246888
2007-04,829.268143554333
2007-05,881.0052798484929
2007-06,918.7884024237637
2007-07,953.0458304526918
2007-08,937.0147840470528
2007-09,995.1627053599065
2007-10,1085.6009287180063
2007-11,1000.0000000000001
2007-12,1008.9935282539371
2008-01,876.924272389854
2008-02,917.3767306268815
2008-03,832.7034315117091
2008-04,914.8636786034527
2008-05,934.4289270132928
2008-06,833.5940135742931
2008-07,810.4361207405933
2008-08,790.1373141210033
2008-09,685.0531964208362
2008-10,552.2253701765922
2008-11,508.6806996616431
2008-12,495.7865620665027
2009-01,499.95701719301803
2009-02,475.7881417665144
2009-03,519.3603850845617
2009-04,605.821641173235
2009-05,664.3216268648866
2009-06,662.5124202535505
2009-07,726.483981469595
2009-08,716.8803481628214
2009-09,765.8523027335713
2009-10,758.7100602131562
2009-11,774.6653788506852
2009-12,841.2134707646597
2010-01,820.9032339374735
2010-02,840.5492167544294
2010-03,916.1097425547482
2010-04,943.1719440379576
2010-05,932.0656469392214
2010-06,926.7862646808013
2010-07,943.213177405431
2010-08,948.8132377022365
2010-09,980.4011708889341
2010-10,991.2944099664899
2010-11,1031.0845946031664
2010-12,1071.0954107902135
2011-01,1020.5644132037318
2011-02,1001.6772898713799
2011-03,1030.867080530057
2011-04,1017.0833295401911
2011-05,1021.7179948686262
2011-06,997.6850484943719
2011-07,1001.5468522840772
2011-08,911.3326695617831
2011-09,838.1063549539399
2011-10,910.1346998908313
2011-11,881.1927090229711
2011-12,902.7853159384655
2012-01,993.8854050453493
2012-02,1029.9230452951508
2012-03,1001.5955750795914
2012-04,995.7887855095285
2012-05,948.1110824595872
2012-06,958.2444890622794
2012-07,1006.4281471703847
2012-08,980.6779028136976
2012-09,1018.3283359139112
2012-10,1004.8600482270349
2012-11,1013.9692785007697
2012-12,1048.4114206587549
2013-01,1034.0077176950904
2013-02,1060.47739212179
2013-03,1061.8312245410016
2013-04,1042.8630040780956
2013-05,1036.0464127504933
2013-06,967.4738715009394
2013-07,958.2609251903723
2013-08,948.222312964971
2013-09,982.7619764208491
2013-10,1025.2888872671456
2013-11,1009.857958657083
2013-12,984.6647920612709
2014-01,943.4463549059593
2014-02,951.7395415434939
2014-03,982.9775979618134
2014-04,982.3434738054126
2014-05,1034.0293775977898
2014-06,1057.1628186261332
2014-07,1102.6368475163106
2014-08,1144.3660021899454
2014-09,1107.239148440389
2014-10,1127.836102658631
2014-11,1120.4621870523963
2014-12,1101.3200932038515
2015-01,1186.666411329109
2015-02,1230.7789817213654
2015-03,1266.9814817154154
2015-04,1306.6435321834206
2015-05,1282.1336906252945
2015-06,1229.5615279795243
2015-07,1155.1978857462595
2015-08,1036.9765202031915
2015-09,1009.8063417955982
2015-10,1092.290796019932
2015-11,1097.7348599092645
2015-12,1043.9764526163099
2016-01,979.991559443006
2016-02,975.216330955033
2016-03,1050.4016896426726
2016-04,1051.3673471048546
2016-05,1042.5435429020376
2016-06,1084.4956993370076
2016-07,1130.6743164760583
2016-08,1162.5222061407103
2016-09,1167.2773093768972
2016-10,1199.342899050973
2016-11,1183.1253536014763
2016-12,1193.2691366625538
2017-01,1228.6963368407153
2017-02,1286.7834652036602
2017-03,1310.6752263818955
2017-04,1315.183384933642
2017-05,1311.667391902088
2017-06,1306.1097757714751
2017-07,1337.7119257905242
2017-08,1356.5922243480031
2017-09,1359.6110323058663
2017-10,1427.3787601564643
2017-11,1397.6931378081692
2017-12,1437.5224574778788
2018-01,1500.2897041951167
2018-02,1462.807025725291
2018-03,1424.633553208205
2018-04,1442.8174308312464
2018-05,1438.5071386487655
2018-06,1378.6346014312255
2018-07,1406.3504313253757
2018-08,1375.1820217970328
2018-09,1370.3791663854647
2018-10,1284.0220139267954
2018-11,1337.3100444945248
2018-12,1289.3867314327572
2019-01,1395.8714955601845
2019-02,1409.9352823352249
2019-03,1441.9559591899554
2019-04,1474.5250744198534
2019-05,1378.3714857525133
2019-06,1431.958816745443
2019-07,1447.7099476713865
2019-08,1393.2293740613836
2019-09,1433.1732985636636
2019-10,1458.6377105180945
2019-11,1474.2909522433397
2019-12,1555.3284876733892
2020-01,1503.3122379692504
2020-02,1436.4977937106155
2020-03,1214.7614302043867
2020-04,1327.8461052545454
2020-05,1318.6470146286467
2020-06,1400.6687990556336
2020-07,1447.1180327271222
2020-08,1463.779318348573
2020-09,1469.4759466483763
2020-10,1509.5522660441545
2020-11,1604.722945876202
2020-12,1683.9489821799748
2021-01,1747.521283285169
2021-02,1762.3847986066646
2021-03,1792.9238153582721
2021-04,1794.7534590548696
2021-05,1808.3370822064385
2021-06,1868.062820827444
2021-07,1743.7399517743754
2021-08,1797.463666211514
2021-09,1759.1263988197009
2021-10,1779.7272797420712
2021-11,1755.083612560444
2021-12,1769.6873246173993
2022-01,1760.899867849454
2022-02,1704.604727671325
2022-03,1682.3615918843186
2022-04,1676.3273145870044
2022-05,1656.6004846584028
2022-06,1584.9698515481048
2022-07,1621.397374787365
2022-08,1651.2993878374978
2022-09,1496.8081513592467
2022-10,1437.272000593719
2022-11,1582.601630414816
2022-12,1505.3731797357439
2023-01,1595.5611458644387
2023-02,1528.760130000691
2023-03,1537.1288265671872
2023-04,1495.8229571161291
2023-05,1523.1592035477577
2023-06,1544.6530950296735
2023-07,1623.7475376474968
