Date,AC FAR EAST ex JP ESG UNIVERSAL ex TC
2013-05,1000.0
2013-06,944.103660619261
2013-07,946.9962721264673
2013-08,942.2343687694535
2013-09,967.2260466698605
2013-10,998.8878880609952
2013-11,999.1356020373746
2013-12,974.668530131508
2014-01,946.090424973074
2014-02,955.8667207337617
2014-03,962.3569084669331
2014-04,968.0470515770779
2014-05,1017.5566162997867
2014-06,1035.9173289098671
2014-07,1102.525243391979
2014-08,1124.7667406910098
2014-09,1103.7439302020018
2014-10,1135.115819109447
2014-11,1144.6866324192715
2014-12,1156.823416108621
2015-01,1270.9071802763285
2015-02,1303.3077684748105
2015-03,1374.7642260974335
2015-04,1416.8300436105058
2015-05,1404.2318054257153
2015-06,1331.8785478215962
2015-07,1253.8629967828708
2015-08,1116.5215615349775
2015-09,1099.3791489270307
2015-10,1208.101186865067
2015-11,1228.264505859787
2015-12,1189.0326369663603
2016-01,1110.6697790511898
2016-02,1104.8044670560942
2016-03,1168.5845935020773
2016-04,1149.3923688229033
2016-05,1165.9054765197973
2016-06,1206.080438882734
2016-07,1256.6242878527567
2016-08,1303.3504024119711
2016-09,1313.6833372475885
2016-10,1324.0886101362528
2016-11,1335.764640591094
2016-12,1318.8044527889715
2017-01,1366.8663592329005
2017-02,1434.8984651219114
2017-03,1470.8364164024554
2017-04,1471.156308975896
2017-05,1491.6164172995936
2017-06,1496.5381434621377
2017-07,1514.8877291810027
2017-08,1524.718316377327
2017-09,1533.7907404638097
2017-10,1625.6036634213951
2017-11,1611.3604676356988
2017-12,1645.0274463296323
2018-01,1706.1254449691623
2018-02,1666.8221514016184
2018-03,1632.4264097276466
2018-04,1670.7466916374342
2018-05,1697.3882334433201
2018-06,1607.7544710290965
2018-07,1616.4323716294493
2018-08,1611.2739696364567
2018-09,1611.0204939220546
2018-10,1473.370218471808
2018-11,1536.6656973136419
2018-12,1479.775421448957
2019-01,1594.8658116450413
2019-02,1647.4608228017228
2019-03,1685.9394555213444
2019-04,1727.9106175828026
2019-05,1582.7909139681694
2019-06,1665.9175035328838
2019-07,1681.51593660573
2019-08,1621.0430702792885
2019-09,1663.4069709937814
2019-11,1727.587183031893
2019-12,1812.9839344837717
2020-01,1747.468393079803
2020-02,1716.3407724582296
2020-03,1527.332909532169
2020-04,1660.7109921479123
2020-05,1616.092678771423
2020-06,1733.8943983194647
2020-07,1764.0366103033123
2020-08,1795.1934136679906
2020-09,1792.360855016139
2020-10,1852.0152539899057
2020-11,1978.9785659674765
2020-12,2071.803854446099
2021-01,2172.7871205521865
2021-02,2202.596756267514
2021-03,2224.467354849975
2021-04,2235.6845097621704
2021-05,2214.2751140016
2021-06,2281.2198901328074
2021-07,2108.0507172858647
2021-08,2140.8976942929903
2021-09,2076.786660147755
2021-10,2118.0387720086555
2021-11,2093.817609100554
2021-12,2092.361136503256
2022-01,2061.412226206671
2022-02,2010.0725942275851
2022-03,1965.2331829277327
2022-04,1964.5513402645938
2022-05,1960.6535075094207
2022-06,1942.8191452463493
2022-07,1922.9251908294436
2022-08,1936.024936894238
2022-09,1717.0446515071994
2022-10,1566.5208110023823
2022-11,1832.635057965279
2022-12,1794.7957091698745
2023-01,1935.4395050100711
2023-02,1835.3807188680103
2023-03,1856.116301313983
2023-04,1772.3314284813464
2023-05,1778.9402292448776
2023-06,1778.6635596025305
2023-07,1886.788975306852
