Date,ACWI ex PORTUGAL
2015-12,2161.916542869237
2016-01,2039.4704946130691
2016-02,2017.1164371404977
2016-03,2065.765844179361
2016-04,2085.6222175093435
2016-05,2148.518014623926
2016-06,2139.941450769595
2016-07,2217.5784423864475
2016-08,2234.02699918985
2016-09,2227.6214559589466
2016-10,2244.9429032741373
2016-11,2337.57947890146
2016-12,2401.732267434018
2017-01,2408.1943038004188
2017-02,2517.933469103376
2017-03,2532.1019137410876
2017-04,2525.7679026616815
2017-05,2499.8455275765673
2017-06,2475.956140084387
2017-07,2462.1167349308953
2017-08,2450.91166473468
2017-09,2512.418340563449
2017-10,2602.6176474071863
2017-11,2592.0361516628755
2017-12,2615.334968290415
2018-01,2663.2054309277682
2018-02,2605.9569423919834
2018-03,2528.9536506082377
2018-04,2598.8515830002525
2018-05,2693.2752216535355
2018-06,2678.103423369827
2018-07,2752.9446527901287
2018-08,2790.235261693839
2018-09,2807.2562003439007
2018-10,2662.1218695129987
2018-11,2703.0240786898257
2018-12,2488.6165074802843
2019-01,2675.089459757452
2019-02,2767.740795376354
2019-03,2842.1005127013864
2019-04,2943.7254317980537
2019-05,2784.8616966275
2019-06,2903.536940539858
2019-07,2978.4878408923587
2019-08,2939.9034617374587
2019-09,3032.1646732651175
2019-10,3044.062793156646
2019-11,3155.329598733128
2019-12,3208.518550596916
2020-01,3213.934166245051
2020-02,2980.5475256037653
2020-03,2580.9460825023225
2020-04,2862.641827300435
2020-05,2941.27967509719
2020-06,3006.112104632244
2020-07,3006.2860940211503
2020-08,3154.492792211823
2020-09,3113.4688341804035
2020-10,3058.1301309774212
2020-11,3345.0481131514266
2020-12,3422.029928808929
2021-01,3430.7439309412543
2021-02,3513.4897434134423
2021-03,3725.5165567709682
2021-04,3796.393915786165
2021-05,3795.978346462004
2021-06,3965.3629845733108
2021-07,3993.0442607620776
2021-08,4111.453382023494
2021-09,4014.6972410122544
2021-10,4225.7872657677735
2021-11,4240.070144704833
2021-12,4364.741666424373
2022-01,4210.337710481608
2022-02,4093.5127846396
2022-03,4221.734950305561
2022-04,4096.201481025972
2022-05,4038.4885356309505
2022-06,3789.2388892556687
2022-07,4156.47517280227
2022-08,4059.588342486179
2022-09,3768.0747206979536
2022-10,3960.3436020978434
2022-11,4096.327905520398
2022-12,3796.327567992944
2023-01,3998.1674110684467
2023-02,3977.147952356718
2023-03,4001.773461375176
2023-04,3994.700355501076
2023-05,4092.6112436218627
2023-06,4231.414672662627
2023-07,4340.450887092977
