Date,ACWI VOTING RIGHTS-ADJUSTED
2021-05,1390.6369296556643
2021-06,1449.5295399555944
2021-07,1459.6447610797604
2021-08,1502.3733022939923
2021-09,1470.733483914525
2021-10,1547.0799095693658
2021-11,1553.5221013958908
2021-12,1602.3159892900671
2022-01,1548.4373334765623
2022-02,1508.7951073514953
2022-03,1556.8862831621616
2022-04,1514.4397410403517
2022-05,1495.1887406200203
2022-06,1402.11882509836
2022-07,1539.6766525310907
2022-08,1503.99686298526
2022-09,1397.8249187712884
2022-10,1474.3158280656169
2022-11,1523.3174398235751
2022-12,1412.5523058669648
2023-01,1484.8963334672515
2023-02,1477.6576497979686
2023-03,1483.9179240688738
2023-04,1481.0433911322152
2023-05,1515.3426352039237
2023-06,1567.79728018156
2023-07,1605.1678369643446
