Date,EM LATIN AMERICA WITH BRAZIL ADR
2003-05,1000.0
2003-06,1066.265672098622
2003-07,1135.9000498495852
2003-08,1163.155048953055
2003-09,1145.1467800801283
2003-10,1206.839371538571
2003-11,1191.2433300985742
2003-12,1192.4548012445778
2004-01,1274.0868386326024
2004-02,1345.5386202500185
2004-03,1396.7442984143122
2004-04,1332.765927874737
2004-05,1309.7569063091205
2004-06,1342.2112998824089
2004-07,1352.6496381888162
2004-08,1378.4860533567753
2004-09,1436.4172310065871
2004-10,1464.9640941151035
2004-11,1497.254986237077
2004-12,1560.6426595484188
2005-01,1608.8369890524789
2005-02,1718.5672598744954
2005-03,1627.6083789648885
2005-04,1608.3887387178718
2005-05,1795.8059645543015
2005-06,1934.9066915683002
2005-07,2108.9111094256837
2005-08,2137.4358961177622
2005-09,2496.750499553995
2005-10,2399.8288440630176
2005-11,2623.5034322652805
2005-12,2669.009318876584
2006-01,3035.2019093302642
2006-02,3068.0518407031236
2006-03,2982.072529291806
2006-04,3080.3977449063614
2006-05,2624.089145292294
2006-06,2727.1491703562824
2006-07,2826.1204066509663
2006-08,2836.7045425221654
2006-09,2900.2373751495397
2006-10,3111.7641951956552
2006-11,3164.646593574301
2006-12,3392.145082971086
2007-01,3518.6204958805283
2007-02,3344.0255827857673
2007-03,3543.385279899491
2007-04,3650.593404807312
2007-05,4103.555342220582
2007-06,4169.04105498367
2007-07,4181.099933647083
2007-08,4101.849976066285
2007-09,4427.228779025898
2007-10,4879.675321202381
2007-11,4529.442757219188
2007-12,4612.618910257677
2008-01,4375.250326330896
2008-02,4557.223145055551
2008-03,4251.714709215155
2008-04,4733.467127621733
2008-05,5120.332209894201
2008-06,4666.301346448144
2008-07,4290.769224630592
2008-08,4226.608405449955
2008-09,3687.906230162971
2008-10,2739.303069693807
2008-11,2559.1433546710223
2008-12,2461.054982919075
2009-01,2615.814676193917
2009-02,2492.874684251816
2009-03,2621.7332882976157
2009-04,3053.5339611346308
2009-05,3457.646002573462
2009-06,3405.575066847642
2009-07,3655.343122728787
2009-08,3656.3986501472714
2009-09,4043.8837824060556
2009-10,4074.82993654574
2009-11,4406.842605151025
2009-12,4672.510538982212
2010-01,4352.815910679093
2010-02,4641.282573642763
2010-03,5022.377028209865
2010-04,5062.740796335529
2010-05,4947.682295277331
2010-06,4839.2593213621385
2010-07,5054.346824132719
2010-08,5056.315336617729
2010-09,5249.952585021457
2010-10,5325.0867027677095
2010-11,5545.422823895139
2010-12,5786.487078102034
2011-01,5442.041539717921
2011-02,5479.1236461937115
2011-03,5492.649382838816
2011-04,5293.257927520176
2011-05,5308.518720648274
2011-06,5239.888720811407
2011-07,5137.262233290868
2011-08,4828.389178875947
2011-09,4274.685015599808
2011-10,4787.190570004626
2011-11,4734.518484702008
2011-12,4844.707487165179
2012-01,5325.402355730371
2012-02,5420.981234598409
2012-03,5339.569776149604
2012-04,5184.531323886875
2012-05,4862.204727838042
2012-06,4959.559682853377
2012-07,5154.160248799808
2012-08,4984.28260940279
2012-09,5089.623203698544
2012-10,5024.014214969186
2012-11,4913.335637669827
2012-12,5192.632410420144
2013-01,5201.918649127151
2013-02,5203.429957200474
2013-03,5346.726043928782
2013-04,5184.870920509771
2013-05,4889.9539281678935
2013-06,4466.413460030016
2013-07,4351.474452371681
2013-08,4250.970133303781
2013-09,4465.306724894165
2013-10,4618.298070180272
2013-11,4451.914777687049
2013-12,4330.295376424964
2014-01,3975.060194215652
2014-02,3930.833234360251
2014-03,4234.799388318181
2014-04,4349.586167733431
2014-05,4424.1678811713355
2014-06,4553.578119722034
2014-07,4758.185178472413
2014-08,5163.631009298093
2014-09,4765.029749076521
2014-10,4714.201546641055
2014-11,4515.829931868025
2014-12,4212.513046168288
2015-01,4200.049835175879
2015-02,4461.359027325597
