Date,ACWI ex COLOMBIA
1998-12,1000.0
1999-01,1054.4735129973024
1999-02,1062.88222460506
1999-03,1129.9439285608564
1999-04,1202.3974796300934
1999-05,1177.1628829476208
1999-06,1249.8905674164264
1999-07,1198.6574903365704
1999-08,1213.0779090036428
1999-09,1189.8803701283778
1999-10,1265.76910370607
1999-11,1361.7880819924112
1999-12,1481.2740483911296
2000-01,1434.6993481999027
2000-02,1462.4755893691815
2000-03,1568.4187224712412
2000-04,1572.77728124564
2000-05,1505.9420867597337
2000-06,1505.9388162387893
2000-07,1511.1766472139825
2000-08,1624.221431027384
2000-09,1545.9345709391089
2000-10,1577.0911780142349
2000-11,1440.0015284943106
2000-12,1356.7471387425014
2001-01,1404.206133818776
2001-02,1300.3465419112804
2001-03,1261.2345531865758
2001-04,1348.677495222643
2001-05,1394.0596319035806
2001-06,1352.241181637324
2001-07,1287.8358965609114
2001-08,1183.0664152438292
2001-09,1071.9479728228737
2001-10,1106.697795851616
2001-11,1181.435788017804
2001-12,1198.8753042077935
2002-01,1205.7163620650226
2002-02,1190.8299310287866
2002-03,1233.6189378075067
2002-04,1156.0318746169423
2002-05,1115.8827526359205
2002-06,990.7874078514847
2002-07,914.1455942695793
2002-08,915.8969322725341
2002-09,808.9102093612173
2002-10,866.4359103585998
2002-11,909.4320244582885
2002-12,820.7034428965969
2003-01,778.6387289684291
2003-02,761.6444877829721
2003-03,749.0424551897153
2003-04,797.310425235243
2003-05,800.0367186183371
2003-06,834.7388398020512
2003-07,870.2831768054238
2003-08,913.0634196812766
2003-09,866.0572136828048
2003-10,919.9636449715467
2003-11,905.5159531575503
2003-12,914.8790584130955
2004-01,944.5927627900247
2004-02,961.5315904492877
2004-03,966.586456343706
2004-04,967.6132841474728
2004-05,957.2489507190581
2004-06,979.7985948277292
2004-07,958.4642393813436
2004-08,955.2950144407424
2004-09,954.1555367616207
2004-10,954.3793736889033
2004-11,963.2240157437537
2004-12,978.2566723985605
2005-01,998.4249026949816
2005-02,1014.488479647886
2005-03,1013.2890504772455
2005-04,997.606826961711
2005-05,1062.4972466468241
2005-06,1094.5768864692127
2005-07,1131.3041870040204
2005-08,1125.7950192540718
2005-09,1182.946185263919
2005-10,1158.6620330630174
2005-11,1219.9705055023585
2005-12,1249.3051778522952
2006-01,1273.270272803028
2006-02,1294.8998243362541
2006-03,1302.5879643221092
2006-04,1293.073571700421
2006-05,1218.1716441831095
2006-06,1223.208711789781
2006-07,1233.91640896983
2006-08,1262.0295176157017
2006-09,1290.1512854304794
2006-10,1328.4643360312068
2006-11,1315.3372901846583
2006-12,1351.6933689237853
2007-01,1385.3324361184686
2007-02,1355.624956584259
2007-03,1372.2100935702304
2007-04,1397.839274467812
2007-05,1459.812973251714
2007-06,1450.2235034917967
2007-07,1408.9496060041458
2007-08,1410.8709318612193
2007-09,1425.043123903625
2007-10,1455.4571430051687
2007-11,1371.0807474406274
2007-12,1361.2918204789435
2008-01,1234.1311709998997
2008-02,1207.0460584610494
2008-03,1139.442399563141
2008-04,1224.2989509098109
2008-05,1245.6982671710969
2008-06,1127.8623689676676
2008-07,1109.2883462013965
2008-08,1150.2568514453592
2008-09,1054.9387345564357
2008-10,937.0778734498288
2008-11,874.873980164432
2008-12,827.5521556602845
2009-01,820.9389603378116
2009-02,747.2136482398512
2009-03,773.6713438387054
2009-04,866.6625063608557
2009-05,892.1320494523073
2009-06,895.1851725444375
2009-07,963.5927138279819
2009-08,986.0128077551158
2009-09,1012.3569818716799
2009-10,987.4926180700811
2009-11,1010.3576845687566
2009-12,1079.1388070398473
2010-01,1065.7275171299107
2010-02,1099.2379454007591
2010-03,1180.0122155954245
2010-04,1202.8464850128503
2010-05,1179.753486691193
2010-06,1145.3276414527788
2010-07,1164.4013280807867
2010-08,1151.6879413187878
2010-09,1174.7840042908547
2010-10,1195.5764348220546
2010-11,1248.3106348598862
2010-12,1300.033285470377
2011-01,1292.1227677713127
2011-02,1320.0085667127391
2011-03,1283.4009539299313
2011-04,1277.8218686492855
2011-05,1290.3066034129267
2011-06,1259.2326520465679
2011-07,1249.8279573978657
2011-08,1156.167398096518
2011-09,1123.5715233508645
2011-10,1196.6515611042732
2011-11,1202.8365180683015
2011-12,1244.7425387330077
2012-01,1306.095449621213
2012-02,1342.3892578425514
2012-03,1357.3946459891092
2012-04,1349.9590709891636
2012-05,1315.4594221756306
2012-06,1345.082175599607
2012-07,1404.9990214362274
2012-08,1402.6887611270465
2012-09,1417.6305233579124
2012-10,1397.9248639204934
2012-11,1410.6413598478084
2012-12,1422.9945480805484
2013-01,1445.8404046374956
2013-02,1501.0863328040905
2013-03,1556.3265291425853
2013-04,1559.2849744410307
2013-05,1582.0373042087228
2013-06,1531.2474795981757
2013-07,1570.6994180772485
2013-08,1548.710848252313
2013-09,1586.5762468426274
2013-10,1643.316941484978
2013-11,1664.3102864103344
2013-12,1672.951351953488
2014-01,1641.2040469941153
2014-02,1679.8960060209135
2014-03,1690.650915992655
2014-04,1696.4861833293828
2014-05,1760.5467881545594
2014-06,1787.6138584481678
2014-07,1807.0180155699536
2014-08,1876.1044602230622
2014-09,1892.9428522466856
2014-10,1922.1144825713548
2014-11,1964.36570971306
2014-12,1984.823659220375
2015-01,2095.215961432564
2015-02,2225.413495247034
2015-03,2288.2321080873517
2015-04,2256.6207621884487
2015-05,2303.630016060468
2015-06,2213.3084636232034
2015-07,2251.5717604817387
2015-08,2067.999828968886
2015-09,2000.6607378028154
2015-10,2180.332378004197
2015-11,2261.8168143596977
2015-12,2159.367120811481
2016-01,2037.0717666372718
2016-02,2014.6239615248862
2016-03,2063.1831087210726
2016-04,2082.989441391856
2016-05,2145.885926089
2016-06,2137.20219752842
2016-07,2214.8645514230134
2016-08,2231.197480815649
2016-09,2224.8074893966436
2016-10,2242.1068571574656
2016-11,2334.641703516816
2016-12,2398.6925756057317
2017-01,2405.098226341092
2017-02,2514.7478985421376
2017-03,2528.9274987735344
2017-04,2522.6168304471835
2017-05,2496.7731090242073
2017-06,2472.86155992128
2017-07,2459.0665688632544
2017-08,2447.905465866396
2017-09,2509.3555967726047
2017-10,2599.5361817483667
2017-11,2588.956524298133
2017-12,2612.1095346243856
2018-01,2659.8369172085177
2018-02,2602.6984240931447
2018-03,2525.813268124831
2018-04,2595.5038664250715
2018-05,2689.8655813914334
2018-06,2674.7007872302306
2018-07,2749.545065531787
2018-08,2786.8106780912403
2018-09,2803.722301643876
2018-10,2658.8391669049347
2018-11,2699.673661382379
2018-12,2485.5537358359948
2019-01,2671.6952082095036
2019-02,2764.1939406631022
2019-03,2838.424378209039
2019-04,2939.984164671226
2019-05,2781.395331106641
2019-06,2899.8446738228477
2019-07,2974.7214415734893
2019-08,2936.217147087222
2019-09,3028.423914672821
2019-10,3040.270416494416
2019-11,3151.463952767736
2019-12,3204.4907849042743
2020-01,3210.077857220967
2020-02,2976.9926348894687
2020-03,2578.2487875252414
2020-04,2859.5480923151376
2020-05,2938.1912902045583
2020-06,3002.9414087020223
2020-07,3003.0678662864757
2020-08,3151.0503165281657
2020-09,3110.083719135449
2020-10,3054.792952376609
2020-11,3341.356140124905
2020-12,3418.191213539499
2021-01,3426.9942068662094
2021-02,3509.55696182826
2021-03,3721.396594991398
2021-04,3792.2347282239093
2021-05,3791.893947488126
2021-06,3960.8934997183774
2021-07,3988.546544913731
2021-08,4106.84869741396
2021-09,4010.17698360076
2021-10,4221.081742530664
2021-11,4235.320172482938
2021-12,4359.810031326336
2022-01,4205.477213934713
2022-02,4088.7680171720144
2022-03,4216.819681270032
2022-04,4091.5010550509032
2022-05,4033.8354688055665
2022-06,3785.163696840153
2022-07,4152.013872465634
2022-08,4055.254877962902
2022-09,3764.0130962699327
2022-10,3956.0156391798455
2022-11,4091.899822327479
2022-12,3792.339627382617
2023-01,3993.8250735756706
2023-02,3972.8944863182783
2023-03,3997.5862078631762
2023-04,3990.5637066606246
2023-05,4088.1930763289115
2023-06,4226.803770284027
2023-07,4335.594086828725
