Date,EM EASTERN EUROPE
2000-12,100.0
2001-01,110.16954455603607
2001-02,98.8612118962087
2001-03,97.42901042458331
2001-04,103.21257014991399
2001-05,118.74387659113462
2001-06,113.38839444996562
2001-07,100.35442068206194
2001-08,97.59334734200962
2001-09,86.28894015192019
2001-10,100.55934599052927
2001-11,109.81186332841708
2001-12,117.68921258046117
2002-01,133.40173696554902
2002-02,124.17915054730437
2002-03,136.38559028070907
2002-04,143.39405540628994
2002-05,140.3168572910283
2002-06,119.37680432797482
2002-07,110.14989047237135
2002-08,115.34210356214116
2002-09,111.62773289693541
2002-10,120.66452632249393
2002-11,123.18735865238659
2002-12,115.98725525507862
2003-01,108.53081235686348
2003-02,113.92335122428035
2003-03,107.85806181709489
2003-04,123.94635914946954
2003-05,131.6004338005734
2003-06,137.8657456374821
2003-07,137.12418828822783
2003-08,158.79877493682977
2003-09,155.54771830672792
2003-10,151.4457303621935
2003-11,150.48562468625377
2003-12,155.04087320011882
2004-01,165.03532968592037
2004-02,178.31263794805957
2004-03,198.08715694944567
2004-04,180.141458124723
2004-05,173.36421739863482
2004-06,175.55120830623272
2004-07,169.2569817298648
2004-08,179.13719255368233
2004-09,189.31345430711323
2004-10,195.70568101972657
2004-11,191.64955598464869
2004-12,193.55818102532015
2005-01,202.84446470273522
2005-02,230.71324859653026
2005-03,214.2904528668428
2005-04,206.82495045835904
2005-05,217.75562850178324
2005-06,235.13362023123503
2005-07,257.7366872019185
2005-08,282.63593954006785
2005-09,324.86545140112383
2005-10,297.969041010428
2005-11,320.36020469262536
2005-12,332.7492403583974
2006-01,370.81939363766355
2006-02,394.8414004652735
2006-03,388.6436569873535
2006-04,416.3622986235557
2006-05,365.89611412373205
2006-06,372.8102995987813
2006-07,394.0881074715454
2006-08,399.4189455455304
2006-09,381.14234808449936
2006-10,393.9413209000999
2006-11,419.32042859125227
2006-12,435.49199451881276
2007-01,424.3020223808325
2007-02,407.9258560207321
2007-03,426.8021494664448
2007-04,419.8830316688745
2007-05,406.5546207508893
2007-06,439.28988373517194
2007-07,448.2910617678904
2007-08,431.6052651236009
2007-09,447.34272220631976
2007-10,482.93470977910545
2007-11,475.75794691417775
2007-12,493.5649635262416
2008-01,412.6902181706873
2008-02,429.56632434945374
2008-03,409.6406659868766
2008-04,425.45430088273673
2008-05,483.3734603869425
2008-06,444.36979022847
2008-07,401.3003589576266
2008-08,366.53484840779583
2008-09,302.4438665591985
2008-10,217.24966044351373
2008-11,182.85306920867927
2008-12,160.43686221763625
2009-01,147.12525609185278
2009-02,139.10460143608773
2009-03,158.5134408973735
2009-04,194.4249754006192
2009-05,229.00549820761745
2009-06,207.45229157746397
2009-07,229.4141905583401
2009-08,234.88627054869082
2009-09,256.11320595623243
2009-10,264.0085334174213
2009-11,268.0360963734923
2009-12,285.27064948085587
2010-01,299.6103376455811
2010-02,289.39470604482676
2010-03,321.9359488200423
2010-04,325.8883654416642
2010-05,308.57993280636555
2010-06,293.62190197985194
2010-07,311.68199117099414
2010-08,307.24472026152705
2010-09,310.2161626612624
2010-10,318.8839110607122
2010-11,329.0715206829768
2010-12,353.52238848915954
2011-01,359.9173477977064
2011-02,374.66504136466943
2011-03,383.38185478798266
2011-04,377.78493058623695
2011-05,366.9160951828068
2011-06,362.9671469480452
2011-07,368.16547287135154
2011-08,319.09872072851795
2011-09,268.3364390733221
2011-10,302.9650454756342
2011-11,306.5019226553898
2011-12,286.49412212659536
2012-01,325.75203809253935
2012-02,345.94660661286554
2012-03,330.0440123536598
2012-04,322.7902798888056
2012-05,280.40593874899804
2012-06,302.6101147235853
2012-07,317.0220954945401
2012-08,316.4721852758518
2012-09,328.01425466766636
2012-10,316.6865192740578
2012-11,317.08143709985086
2012-12,332.4126217329038
2013-01,336.37865127161194
2013-02,330.9653886819526
2013-03,323.3152157330898
2013-04,310.9412866638202
2013-05,312.80739841015304
2013-06,295.97438953756404
2013-07,302.08017334888666
2013-08,304.5796795030714
2013-09,323.24576686820535
2013-10,337.5046960375982
2013-11,324.1156724391275
2013-12,320.32587207763453
2014-01,298.32232967209586
2014-02,293.81800169416744
2014-03,288.32453516367013
2014-04,273.60513543721066
2014-05,302.31938097915594
2014-06,311.6758376164773
2014-07,293.19137665199634
2014-08,296.277670292342
2014-09,297.8907165166727
2014-10,291.9568489152974
2014-11,270.7103084792391
2014-12,227.66238788324674
2015-01,238.93189421867856
2015-02,277.66906261106675
2015-03,284.5697548136245
2015-04,314.2556100638457
2015-05,301.7572043753332
2015-06,288.499231630199
2015-07,278.5140450382865
2015-08,260.95429075172956
2015-09,250.37601819082633
2015-10,262.52142799928333
2015-11,268.2273185251526
2015-12,241.70835008268156
2016-01,237.2056890744073
2016-02,240.20925442528346
2016-03,264.91849748772324
2016-04,272.8507053554576
2016-05,263.39438270670206
2016-06,266.03831586537797
2016-07,271.24567722306637
2016-08,277.6469218694187
2016-09,281.7691506653829
2016-10,293.5776895665195
2016-11,307.01357735637737
2016-12,343.0206795735201
