Date,ACWI ex MEXICO
2015-12,2147.1015250822234
2016-01,2025.28854284854
2016-02,2002.8725123767417
2016-03,2050.920419438643
2016-04,2070.81644639322
2016-05,2133.9989327652547
2016-06,2125.304269693391
2016-07,2202.8411785487806
2016-08,2219.083500217259
2016-09,2213.080513156444
2016-10,2229.6834289655394
2016-11,2322.9422677072907
2016-12,2386.873088970973
2017-01,2393.302169387634
2017-02,2502.294722290224
2017-03,2515.6500823737915
2017-04,2509.4102398730224
2017-05,2483.920242789505
2017-06,2459.576058276883
2017-07,2445.7160995176914
2017-08,2434.583887955908
2017-09,2496.2573411540457
2017-10,2586.8064714390357
2017-11,2576.5115445509123
2017-12,2599.7771517468964
2018-01,2647.155136397564
2018-02,2590.5318537225107
2018-03,2513.794246788345
2018-04,2583.1590982351727
2018-05,2678.339017922937
2018-06,2662.453129174046
2018-07,2736.372737765121
2018-08,2773.787462640391
2018-09,2790.544632615556
2018-10,2647.2349354089197
2018-11,2688.371253951735
2018-12,2474.373469278353
2019-01,2659.5911403182654
2019-02,2752.329154204097
2019-03,2826.365439547786
2019-04,2927.2421665538204
2019-05,2769.4026033623704
2019-06,2887.64893820254
2019-07,2962.5442321465907
2019-08,2924.0084112344716
2019-09,3015.750355078991
2019-10,3027.5422423706586
2019-11,3138.5585367528165
2019-12,3191.3773810017574
2020-01,3196.6283390700783
2020-02,2964.697200746938
2020-03,2568.5721651490985
2020-04,2849.171599436601
2020-05,2927.384664443029
2020-06,2992.081390938672
2020-07,2992.3544668947548
2020-08,3140.1262621875103
2020-09,3098.9906758014245
2020-10,3043.604104694852
2020-11,3328.6720345977537
2020-12,3405.2207359913737
2021-01,3414.1685320702272
2021-02,3496.5629312697356
2021-03,3707.108962666569
2021-04,3777.7159285108373
2021-05,3776.815381478733
2021-06,3945.4590432888886
2021-07,3972.8316370133275
2021-08,4090.4452366977935
2021-09,3994.4091808184994
2021-10,4204.950619037024
2021-11,4219.414027961597
2021-12,4342.626856577632
2022-01,4189.058766413918
2022-02,4072.1572267604834
2022-03,4199.102264926536
2022-04,4074.630686037821
2022-05,4016.767439770688
2022-06,3769.0802942001364
2022-07,4134.986475238382
2022-08,4038.731807907942
2022-09,3747.7993105817995
2022-10,3938.2598664421316
2022-11,4073.683786467545
2022-12,3775.8078413532417
2023-01,3975.459154984622
2023-02,3954.2499030851895
2023-03,3978.8152801315273
2023-04,3971.7155085376107
2023-05,4069.037188597104
2023-06,4207.044290374801
2023-07,4315.253149940154
