Date,EM LATIN AMERICA ex BRAZIL
1998-12,1000.0
1999-01,998.4862150309111
1999-02,1095.7318065959983
1999-03,1279.8064923291463
1999-04,1506.540741240171
1999-05,1483.1135702752326
1999-06,1574.3204488191614
1999-07,1413.3811846899318
1999-08,1393.9365469562267
1999-09,1385.2623639160277
1999-10,1428.0778699447694
1999-11,1639.9758849863254
1999-12,1829.4889027998545
2000-01,1793.4370473643996
2000-02,1995.908590973567
2000-03,1995.4801212913349
2000-04,1899.2805648076235
2000-05,1739.368824779461
2000-06,1802.9653512004816
2000-07,1814.5881593408324
2000-08,1943.8398279291193
2000-09,1840.4229029202968
2000-10,1904.2327658809793
2000-11,1707.2930545204833
2000-12,1569.488043065793
2001-01,1827.8140920519782
2001-02,1701.3246357312676
2001-03,1717.9891303487955
2001-04,1835.472846708826
2001-05,2067.2629332451274
2001-06,2053.128409489537
2001-07,1889.7701531988032
2001-08,1804.5123038462589
2001-09,1518.9453161879353
2001-10,1584.5262352863776
2001-11,1656.9082941082095
2001-12,1821.9243121440315
2002-01,1956.301165577302
2002-02,1894.6635970517455
2002-03,2022.1407814487277
2002-04,1924.8764977208707
2002-05,1711.2738799622973
2002-06,1462.5043328217773
2002-07,1384.1876077572404
2002-08,1410.4998425462993
2002-09,1253.6508601546034
2002-10,1333.6373425321065
2002-11,1394.0934926620184
2002-12,1296.129379530625
2003-01,1218.6344207769625
2003-02,1201.292209672974
2003-03,1203.054438592314
2003-04,1351.3582173948137
2003-05,1328.7318286862337
2003-06,1416.7811363529581
2003-07,1509.3065504414242
2003-08,1545.5211352410188
2003-09,1521.5929752100215
2003-10,1603.5658850749894
2003-11,1582.8429284121569
2003-12,1584.4526486833868
2004-01,1692.9197350013599
2004-02,1787.8599914527583
2004-03,1855.8986058391188
2004-04,1770.8885085557035
2004-05,1740.3156892545408
2004-06,1783.4388749760785
2004-07,1797.308627322396
2004-08,1831.638294495215
2004-09,1908.6132941117964
2004-10,1946.544419733231
2004-11,1989.4503558723702
2004-12,2073.6755749475165
2005-01,2137.7129145217536
2005-02,2283.5150179333273
2005-03,2162.6550577670514
2005-04,2137.117310034941
2005-05,2386.1445432478818
2005-06,2570.9721066247766
2005-07,2802.1773149639007
2005-08,2775.8729652327097
2005-09,3173.257407914939
2005-10,3052.3639445960757
2005-11,3325.211656457925
2005-12,3432.8898109396014
2006-01,3638.8795170626563
2006-02,3692.1764639187736
2006-03,3660.7436605416287
2006-04,3728.2808987403323
2006-05,3249.335078804803
2006-06,3327.5736395639933
2006-07,3509.707799086862
2006-08,3597.148963049175
2006-09,3775.162648565319
2006-10,4011.720111096088
2006-11,4073.749124229685
2006-12,4326.897773259172
2007-01,4501.639027606221
2007-02,4313.866253851904
2007-03,4539.844031095448
2007-04,4623.08088395212
2007-05,5122.79119748418
2007-06,5150.203452135256
2007-07,4982.376390208237
2007-08,4897.548745564888
2007-09,4817.274747760564
2007-10,5035.96162711384
2007-11,4611.90567725728
2007-12,4559.768037346068
2008-01,4398.052074579731
2008-02,4417.522132411769
2008-03,4440.562373152519
2008-04,4529.984378235706
2008-05,4768.848494931188
2008-06,4371.001061042484
2008-07,4211.429594284794
2008-08,4245.210512783952
2008-09,3890.972136054112
2008-10,2983.185312858539
2008-11,2931.891907287873
2008-12,2821.9055264126655
2009-01,2815.3615232014636
2009-02,2570.790445649377
2009-03,2739.3831029134267
2009-04,3076.1564986854432
2009-05,3389.479096740461
2009-06,3474.036387218761
2009-07,3761.8751355554255
2009-08,3829.5525234912825
2009-09,3964.9099994820385
2009-10,3896.1213367944315
2009-11,4169.766961449117
2009-12,4498.383696366191
2010-01,4465.151667541835
2010-02,4702.123815451506
2010-03,5052.4963812666165
2010-04,5188.2043219869975
2010-05,5375.759518626113
2010-06,5329.525945844715
2010-07,5419.016246516818
2010-08,5557.928212194215
2010-09,5707.32035700495
2010-10,6005.224934165115
2010-11,6376.877419288457
2010-12,6480.823792422802
2011-01,6025.758905088042
2011-02,5971.91662264774
2011-03,5966.983253201157
2011-04,5882.423674002437
2011-05,5964.222475676287
2011-06,5892.37008320004
2011-07,5856.115947961519
2011-08,5663.619527372468
2011-09,5127.763249727818
2011-10,5623.3343529218655
2011-11,5594.961030854281
2011-12,5752.088696908012
2012-01,6154.155055703856
2012-02,6297.170802385545
2012-03,6508.932696277341
2012-04,6588.677760052807
2012-05,6278.69549801883
2012-06,6618.853840775377
2012-07,6900.86231906735
2012-08,6610.549622842098
2012-09,6828.475136942259
2012-10,6803.687539783974
2012-11,6794.627514173453
2012-12,7024.211479114924
2013-01,7160.32340325953
2013-02,7202.332496746594
2013-03,7449.456052380478
2013-04,7028.270984697589
2013-05,6677.711360445875
2013-06,6383.944898046892
2013-07,6227.106371858057
