Date,ACWI ex BRAZIL
2015-12,2163.045460080871
2016-01,2040.7231228348282
2016-02,2017.5501392324
2016-03,2063.810191931513
2016-04,2082.4260527460156
2016-05,2147.365558887966
2016-06,2136.032707346017
2016-07,2212.6234956574294
2016-08,2228.937382668768
2016-09,2222.592587893341
2016-10,2236.980412228009
2016-11,2331.806757322521
2016-12,2396.102154664575
2017-01,2400.9896154001513
2017-02,2510.052246309825
2017-03,2525.5241148938776
2017-04,2519.5245600365115
2017-05,2495.212110809967
2017-06,2471.692317738836
2017-07,2456.4410832502012
2017-08,2444.1453685944616
2017-09,2504.998437409949
2017-10,2596.0839982501443
2017-11,2586.6023867329372
2017-12,2609.202912171931
2018-01,2654.660330388067
2018-02,2597.05948210804
2018-03,2520.3178995875096
2018-04,2591.1444391199525
2018-05,2689.1483438303962
2018-06,2675.5556339330888
2018-07,2748.7533436749013
2018-08,2788.4092042059006
2018-09,2804.181675223958
2018-10,2654.152727149388
2018-11,2695.675268619574
2018-12,2480.7282283684444
2019-01,2664.392024407284
2019-02,2758.540344722531
2019-03,2833.9467187705945
2019-04,2936.2608019000545
2019-05,2775.9395537530813
2019-06,2894.299013171987
2019-07,2968.3930824986373
2019-08,2931.8861617022308
2019-09,3023.8159701288505
2019-10,3034.777363420284
2019-11,3147.5534434320234
2019-12,3198.3141616140892
2020-01,3205.7120245003516
2020-02,2974.3255310437257
2020-03,2581.689125451277
2020-04,2864.1532834148497
2020-05,2942.2397455293417
2020-06,3006.3167706287936
2020-07,3004.8339415758387
2020-08,3155.943390748473
2020-09,3115.6072267837812
2020-10,3060.246573730042
2020-11,3345.4226125708797
2020-12,3420.649098252834
2021-01,3431.073763878294
2021-02,3515.6073395490585
2021-03,3727.4123130651374
2021-04,3797.840504761454
2021-05,3795.677691614681
2021-06,3963.8456364462663
2021-07,3993.331200677507
2021-08,4113.04442670174
2021-09,4018.5089611704984
2021-10,4232.8365460592495
2021-11,4246.877054719859
2021-12,4371.6233182411315
2022-01,4213.429536997964
2022-02,4094.9288340404487
2022-03,4220.254756687528
2022-04,4096.429492943027
2022-05,4036.8171101371872
2022-06,3790.6071310187144
2022-07,4158.24895294385
2022-08,4058.9384284983335
2022-09,3765.8478661806353
2022-10,3957.3332898383796
2022-11,4095.9240747014264
2022-12,3795.899098847485
2023-01,3997.6118161039826
2023-02,3978.1307824839887
2023-03,4003.5608408508356
2023-04,3996.1303111476373
2023-05,4093.4885764762867
2023-06,4230.127573074429
2023-07,4338.744726090375
