Date,ACWI ex PERU
2015-12,2157.7853259795447
2016-01,2035.5580255874827
2016-02,2013.109195043719
2016-03,2061.6749674609187
2016-04,2081.4117324774497
2016-05,2144.196367178684
2016-06,2135.5257163020206
2016-07,2213.0064402494495
2016-08,2229.4646033328463
2016-09,2223.072537435305
2016-10,2240.357533377725
2016-11,2332.688586012238
2016-12,2396.767638135881
2017-01,2403.115570278396
2017-02,2512.661074524604
2017-03,2526.8983759726707
2017-04,2520.602735016867
2017-05,2494.7795832711026
2017-06,2470.8270294116737
2017-07,2457.021125544916
2017-08,2445.811369732169
2017-09,2507.2188507833944
2017-10,2597.1580311693797
2017-11,2586.594846896547
2017-12,2609.8055533822135
2018-01,2657.51553624305
2018-02,2600.3671718569094
2018-03,2523.5270092272476
2018-04,2593.250347623487
2018-05,2687.533438295522
2018-06,2672.4146894371966
2018-07,2747.134075915484
2018-08,2784.3960201040168
2018-09,2801.3083458360975
2018-10,2656.3608717931306
2018-11,2697.1807523556945
2018-12,2483.194549796233
2019-01,2669.229097017701
2019-02,2761.692136565693
2019-03,2835.899366574855
2019-04,2937.3328093823056
2019-05,2778.8436664457217
2019-06,2897.2509023772145
2019-07,2972.116169242273
2019-08,2933.6598317880016
2019-09,3025.757529147415
2019-10,3037.647260548301
2019-11,3148.659715645654
2019-12,3201.7722067175728
2020-01,3207.3335459157365
2020-02,2974.5004958580384
2020-03,2575.8431346060256
2020-04,2856.8592065169237
2020-05,2935.4746283527024
2020-06,3000.1515487471693
2020-07,3000.2954110962573
2020-08,3148.1095701827794
2020-09,3107.173289399881
2020-10,3051.921698745947
2020-11,3338.194357350008
2020-12,3415.0684786486404
2021-01,3423.808507036433
2021-02,3506.2383168346787
2021-03,3717.9682100062564
2021-04,3788.7639962955395
2021-05,3788.3210757986667
2021-06,3957.330299495934
2021-07,3985.0194912776174
2021-08,4103.2936921527435
2021-09,4006.7492443457754
2021-10,4217.38490875783
2021-11,4231.597380853982
2021-12,4355.97205248242
2022-01,4201.73922342043
2022-02,4085.081993700734
2022-03,4213.033141471195
2022-04,4087.9270105814076
2022-05,4030.4207872808606
2022-06,3781.8496868292673
2022-07,4148.359060297839
2022-08,4051.6435271315863
2022-09,3760.5686805416813
2022-10,3952.330519364744
2022-11,4088.005452880955
2022-12,3788.8351442472463
2023-01,3990.1115128511224
2023-02,3969.1407231389517
2023-03,3993.781282538444
2023-04,3986.795251496919
2023-05,4084.348052892929
2023-06,4222.803161676107
2023-07,4331.4425010924315
