Date,EAFE + EM
2000-12,100.0
2001-01,102.31134636858368
2001-02,95.65511088018332
2001-03,92.51559589214054
2001-04,98.45643496121124
2001-05,99.86234026722946
2001-06,96.11208108164672
2001-07,90.84009334901741
2001-08,85.42076237625801
2001-09,76.09520367427486
2001-10,79.18678433867966
2001-11,83.1433935147095
2001-12,84.66840685190647
2002-01,83.66492309049747
2002-02,83.93393532146096
2002-03,87.77502627046478
2002-04,85.5405421291572
2002-05,83.29402019750219
2002-06,75.41456109001149
2002-07,68.61121384518368
2002-08,68.53828486755695
2002-09,60.7071816545047
2002-10,63.89721714136165
2002-11,66.63006466194113
2002-12,61.038649328123945
2003-01,57.37940833912566
2003-02,55.81105561853754
2003-03,53.99678130977299
2003-04,57.927311424496686
2003-05,58.350687620749746
2003-06,61.38695531537173
2003-07,64.37233643824602
2003-08,67.86425116540977
2003-09,65.79860071263454
2003-10,70.1731237175704
2003-11,69.49692978222785
2003-12,71.16667235458877
2004-01,73.43063580729131
2004-02,75.28651589605217
2004-03,76.60376315378022
2004-04,76.25610205587697
2004-05,74.93072008490746
2004-06,76.72044730546662
2004-07,75.12388039380285
2004-08,75.03216955209231
2004-09,75.58271279605705
2004-10,76.23214886516163
2004-11,78.13747809879878
2004-12,79.78776904976729
2005-01,81.86329290593156
2005-02,84.26926897552768
2005-03,83.49058524626595
2005-04,82.04555290413656
2005-05,86.15223437785512
2005-06,89.25718156670642
2005-07,92.12886624966573
2005-08,93.09089955762381
2005-09,99.78405918362249
2005-10,97.0207427372361
2005-11,101.72620715312067
2005-12,106.58166918907025
2006-01,110.61280984227284
2006-02,112.42554610749612
2006-03,114.0268607923687
2006-04,115.1416908654561
2006-05,107.45127487873471
2006-06,107.89673815129377
2006-07,109.24681123421084
2006-08,111.87684141238637
2006-09,113.33901045697598
2006-10,117.00460152405155
2006-11,116.77653797664041
2006-12,121.32219161522616
2007-01,123.60709809148344
2007-02,122.31107736053255
2007-03,124.73618600079887
2007-04,127.12880700718736
2007-05,131.82721073324063
2007-06,132.506548211433
2007-07,130.33277632188472
2007-08,128.69069986555368
2007-09,131.24690445822958
2007-10,135.87318972345764
2007-11,128.47964730716038
2007-12,126.76695324125053
2008-01,112.77066821120818
2008-02,112.88401633961016
