Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2008-11,1093.3112383156283
2008-12,1069.3568242273302
2009-01,1083.5140549945122
2009-02,1076.3473073135085
2009-03,1155.2574850885665
2009-04,1320.6699843534004
2009-05,1442.3214045577715
2009-06,1446.7127350941605
2009-07,1600.7285120996419
2009-08,1485.1267426604923
2009-09,1572.2667400138942
2009-10,1595.2976272419871
2009-11,1601.902071297967
2009-12,1729.3334229444401
2010-01,1649.6236465195927
2010-02,1693.7383709423232
2010-03,1807.667072727497
2010-04,1840.2498217338662
2010-05,1853.503259209208
2010-06,1868.416491030914
2010-07,1864.157508991569
2010-08,1880.2883888562897
2010-09,1933.8648229512012
2010-10,1963.040109921074
2010-11,2089.6567890183273
2010-12,2094.954554267365
2011-01,2072.0330105387925
2011-02,1968.8991920051285
2011-03,1978.813146843223
2011-04,1955.3375414284685
2011-05,2020.8114475840337
2011-06,1926.1569106171066
2011-07,1947.392948799487
2011-08,1777.8971547765846
2011-09,1626.0912180557812
2011-10,1749.4250087553285
2011-11,1659.8198296067542
2011-12,1763.3984507099453
2012-01,1921.1812136762974
2012-02,2015.5776288766758
2012-03,1923.1180760947702
2012-04,1947.857698895109
2012-05,1903.8418480013993
2012-06,1887.5212916212315
2012-07,1976.535434394831
2012-08,1918.8700511450388
2012-09,2012.177547546048
2012-10,2021.220902236251
2012-11,2085.3398744096735
2012-12,2119.9206206122144
2013-01,2131.023455549604
2013-02,2169.754191431942
2013-03,2145.510132830903
2013-04,2137.14180502052
2013-05,2159.787343343401
2013-06,2035.7511258995653
2013-07,2054.163950628017
2013-08,2084.7448158397
2013-09,2125.565084937928
2013-10,2178.1613836004854
2013-11,2222.600112467093
2013-12,2168.958211521248
2014-01,2096.3313991918535
2014-02,2102.670054269296
2014-03,2093.4472344250394
2014-04,2077.329438225581
2014-05,2204.0025372668547
2014-06,2264.8872021374073
2014-07,2441.410826671683
2014-08,2502.8644695308567
2014-09,2437.7043914956716
2014-10,2564.0535645380064
2014-11,2614.528403060522
2014-12,2676.2710748258346
2015-01,2940.633297619576
2015-02,3031.9964360326367
2015-03,3218.9979601427954
2015-04,3462.9501585072935
2015-05,3473.381133164687
2015-06,3259.5122523393375
2015-07,3019.575480871393
2015-08,2645.242090437224
2015-09,2597.4616955116285
2015-10,2839.1589691183462
2015-11,2873.582057024248
2015-12,2771.3752298765444
2016-01,2485.0676149318033
2016-02,2467.6206037529905
2016-03,2603.331201543886
2016-04,2559.7278953359496
2016-05,2630.4777347403906
2016-06,2683.4850691829997
2016-07,2796.660327696203
2016-08,2940.3862285866953
2016-09,2992.9678752439922
2016-10,3039.6059397914473
2018-03,3756.1851542979293
2018-04,3805.827742011659
2018-05,3986.7480013483705
