Date,FM EMEA
2002-05,377.6711264100118
2002-06,365.4372638767013
2002-07,362.4940245329181
2002-08,374.69092509580025
2002-09,359.1590150080159
2002-10,361.4223209946936
2002-11,380.12769989943683
2002-12,374.0871284823352
2003-01,374.0004360566793
2003-02,363.40594976074715
2003-03,369.98987083603555
2003-04,397.6842019101166
2003-05,389.7000482629691
2003-06,394.4817963485411
2003-07,418.68855699473136
2003-08,435.67029229357377
2003-09,440.0729853312082
2003-10,450.6989943211194
2003-11,450.6206953846519
2003-12,447.3643923589118
2004-01,466.86397637752737
2004-02,472.14269318095626
2004-03,454.53392031290736
2004-04,472.5036357007965
2004-05,468.8269285060815
2004-06,477.07540627274176
2004-07,493.17342678606616
2004-08,488.967089445433
2004-09,492.03992126988226
2004-10,486.11687496312845
2004-11,499.2472644073795
2004-12,509.0753029838463
2005-01,566.6492419508053
2005-02,635.9252197948964
2005-03,701.0100908265367
2005-04,758.4043540548213
2005-05,752.1231622081924
2005-06,902.7423175292146
2005-07,854.7462808490296
2005-08,933.4562225134886
2005-09,1030.3471404600648
2005-10,1050.6580436712593
2005-11,1054.3414850807278
2005-12,1013.8866004223227
2006-01,975.2722356960669
2006-02,934.111148705864
2006-03,891.2711346655615
2006-04,843.1051038669619
2006-05,776.2305690671674
2006-06,760.8681920663236
2006-07,756.9894375193699
2006-08,809.9605577204042
2006-09,823.9887580201564
2006-10,854.6085465452221
2006-11,765.1251529652502
2006-12,823.4912555671611
2007-01,850.7520376879473
2007-02,863.5946756842571
2007-03,883.3124331046877
2007-04,896.790260850299
2007-05,991.1291866799814
2007-06,1017.9863271041916
2007-07,1023.5194544993757
2007-08,1010.6388304580788
2007-09,1003.2852725903073
2007-10,1029.9304751244645
2007-11,1000.0
2007-12,1062.641808797731
2008-01,1039.807642485593
2008-02,1062.8809701030443
2008-03,970.0152030412735
2008-04,1021.17395739179
2008-05,1028.051490420623
2008-06,999.363102353809
2008-07,978.5044859493343
2008-08,947.7126318681654
2008-09,860.1691902980583
2008-10,715.8325371962155
2008-11,625.8541092539892
2008-12,512.9573543498365
2009-01,452.90677074056066
2009-02,428.16135826425983
2009-03,443.01528238837733
2009-04,492.40050034494266
2009-05,544.8564673656934
2009-06,562.7521571417509
2009-07,564.7889399506588
2009-08,586.125060130961
2009-09,591.187643985936
2009-10,565.0096674474655
2009-11,521.6674810818765
2009-12,537.914565954829
2010-01,542.5390793751146
2010-02,589.0096371568418
2010-03,641.0106297885256
2010-04,650.2570476214765
2010-05,639.1773592975101
2010-06,628.9680092076576
2010-07,624.3140914102314
2010-08,643.6402454032689
2010-09,644.2871300686564
2010-10,655.0711073896158
2010-11,688.4355965629217
2010-12,700.2298603594478
2011-01,688.513075739692
2011-02,649.529217952927
2011-03,636.4360956042636
2011-04,645.7390863059305
2011-05,637.8998832496018
2011-06,620.4609602836772
2011-07,608.0619065903994
2011-08,579.44598886914
2011-09,595.8628755968344
2011-10,592.8655727682408
2011-11,597.2455094584803
2011-12,617.864433332313
2012-01,612.2831531079283
2012-02,619.3807742760799
2012-03,636.7593178793948
2012-04,643.9650142395975
2012-05,656.5018808009112
2012-06,638.0421737850378
2012-07,665.4677476626267
2012-08,662.8513765594778
2012-09,678.2018181095664
2012-10,672.6756388037759
2012-11,683.1187137809147
2012-12,681.2620732606531
2013-01,710.2827308026467
2013-02,742.5817024436182
2013-03,759.8581172834581
2013-04,769.6851849359671
2013-05,818.1881620445652
2013-06,770.7465611720587
2013-07,793.7617721312007
2013-08,778.6762773512467
2013-09,785.1754594997279
2013-10,797.3719496483409
2013-11,804.4830207116926
2013-12,816.6012598539268
2014-01,848.2249605324025
2014-02,854.2097941741982
2014-03,875.4276990725695
2014-04,923.929386145344
2014-05,1001.6680957354307
2014-06,986.4098920360353
2014-07,1021.0431046685266
2014-08,1040.3480320767771
2014-09,1081.1963706361687
2014-10,1025.014272261918
2014-11,977.6195992827579
2014-12,958.6429089917895
2015-01,974.3113796558199
2015-02,999.8879366241154
2015-03,1026.140715433888
2015-04,1024.7823994688613
2015-05,1012.505145432397
2015-06,993.5250769057483
2015-07,965.9088209764035
2015-08,897.313055798583
2015-09,912.1077144943491
2015-10,908.2688762802406
2015-11,922.9669408603759
2015-12,896.0100274296684
2016-01,820.2962650870535
2016-02,843.5448570592479
2016-03,840.0854221393816
2016-04,855.4815354450318
2016-05,886.4816458255304
2016-06,829.4938190916789
2016-07,831.2373795310896
2016-08,824.0986000046288
2016-09,839.8456301843129
2016-10,863.4825639088058
2016-11,886.4845897650374
2016-12,921.2815299491027
2017-01,951.3849513526291
2017-02,956.5756556206437
2017-03,954.1121541944245
2017-04,943.5286653803996
2017-05,958.610262599057
2017-06,957.9027747872943
2017-07,977.80144573055
2017-08,988.5090643070955
2017-09,985.4522103867744
2017-10,988.4786503332589
2017-11,969.2561740156294
2017-12,971.1822938766677
2018-01,994.5511376316518
2018-02,1013.5909807086406
2018-03,1014.506030409755
2018-04,1018.4826567932002
2018-05,1007.4933203213574
2018-06,1023.6051236012228
2018-07,1048.6699682336089
2018-08,1034.932814349854
2018-09,1024.151960348478
2018-10,1023.4758383374107
2018-11,1035.0845202543994
2018-12,1003.492197029155
2019-01,1010.7178488363669
2019-02,1041.2767867341936
2019-03,1099.6749371618007
2019-04,1129.5448617979891
2019-05,1145.5878898150208
2019-06,1155.1572422060908
2019-07,1209.9401447892315
2019-08,1201.6197277472538
2019-09,1181.150678408882
2019-10,1169.4311430389585
2019-11,1208.064820154014
2019-12,1260.5827968572012
2020-01,1285.4265075917435
2020-02,1222.9121214945444
2020-03,956.1776425210088
2020-04,1008.6978934851296
2020-05,1034.4528087107697
2020-06,1054.3498158743166
2020-07,996.7745437968014
2020-08,1063.441082398275
2020-09,1089.366138496621
2020-10,1095.8399201609998
2020-11,1107.7630206374085
2020-12,1132.782793504719
2021-01,1158.1351766813214
2021-02,1126.205743572103
2021-03,1172.083173757295
2021-04,1218.4177600578525
2021-05,1251.6888135464792
