Date,EUROPE ex UK
1998-12,99.99999999999999
1999-01,102.84597225253523
1999-02,101.56614318664809
1999-03,103.46390415607148
1999-04,108.26905596351922
1999-05,104.94971254881159
1999-06,108.62580108434962
1999-07,105.3543087309125
1999-08,108.54462269236122
1999-09,107.24714511036615
1999-10,113.04032653592397
1999-11,121.9586494602129
1999-12,137.47144038199426
2000-01,131.9750387430372
2000-02,145.50584622346244
2000-03,147.04641057266397
2000-04,147.43167650975153
2000-05,145.28784194979707
2000-06,144.3046960935824
2000-07,145.51488917705672
2000-08,148.443978285375
2000-09,141.28908154918275
2000-10,145.00603237018265
2000-11,136.9967032984621
2000-12,135.80411383658654
2001-01,138.1546435655225
2001-02,126.18915769264622
2001-03,119.8281021417201
2001-04,128.41694095940343
2001-05,126.8427428681453
2001-06,121.98560891618075
2001-07,118.40420652900286
2001-08,110.21928135739475
2001-09,97.20992204995154
2001-10,102.02577851268933
2001-11,107.67428660155902
2001-12,111.15463237199364
2002-01,108.34388557750856
2002-02,108.07856040620901
2002-03,113.41930590896315
2002-04,108.34768044134003
2002-05,104.9224245754643
2002-06,96.25607078062443
2002-07,83.64616250746094
2002-08,84.15321179405112
2002-09,71.05505848264299
2002-10,78.61926909095058
2002-11,83.06381214545874
2002-12,75.16911232332862
2003-01,71.08446771024676
2003-02,67.7766123760288
2003-03,65.3626320089831
2003-04,73.78832431553302
2003-05,74.7054425969327
2003-06,77.30199819271232
2003-07,81.14698754059705
2003-08,83.27609431177044
2003-09,79.41655451071732
2003-10,84.82863282094988
2003-11,86.40021263300744
2003-12,89.19386536705308
2004-01,92.3849701289143
2004-02,94.2263163218914
2004-03,91.88368072958463
2004-04,93.34600935372214
2004-05,92.82963752520513
2004-06,95.13537429357156
2004-07,92.53039463187118
2004-08,91.44412553529125
2004-09,93.48545314996746
2004-10,95.19350414008235
2004-11,98.24315363479631
2004-12,100.6581280477843
2005-01,102.35389442602296
2005-02,105.6300642120433
2005-03,105.23866911074707
2005-04,102.39119677733443
2005-05,108.22521970374568
2005-06,111.76961980100113
2005-07,116.87850552478984
2005-08,116.14985431986467
2005-09,121.81775031121025
2005-10,118.6850686197326
2005-11,123.49472886981053
2005-12,128.2226345164239
2006-01,133.0946103816596
2006-02,136.2332992675913
2006-03,140.17577787119086
2006-04,140.94550717612097
2006-05,133.7812173481637
2006-06,134.31554258633622
2006-07,136.05755227636996
2006-08,140.48236141892184
2006-09,144.22724117623136
2006-10,148.74077757797585
2006-11,149.18448545322036
2006-12,155.3132880726691
2007-01,159.15531539696568
2007-02,155.82455486410367
2007-03,160.4768606255489
2007-04,168.23809222256259
2007-05,173.67768341044805
2007-06,171.89787096121887
2007-07,166.3037998813273
2007-08,164.9309282193481
2007-09,167.2177521801241
2007-10,170.96474444811236
2007-11,164.92812217802282
2007-12,163.41568512935157
2008-01,143.40019115102442
2008-02,142.89717698753498
