Date,ACWI ex SWEDEN
2015-12,2148.8747120256826
2016-01,2027.608929270492
2016-02,2004.9235069547033
2016-03,2053.431036071212
2016-04,2073.1596475274687
2016-05,2136.2047623450308
2016-06,2128.4356322357203
2016-07,2205.7842545219764
2016-08,2221.8975599887735
2016-09,2215.2327094328525
2016-10,2233.209286979862
2016-11,2325.3958796708234
2016-12,2388.777743783856
2017-01,2394.5188465717915
2017-02,2504.2961057054026
2017-03,2517.899561391045
2017-04,2510.890711848586
2017-05,2485.007828519341
2017-06,2461.0969396847245
2017-07,2447.833437595575
2017-08,2436.4842859872697
2017-09,2497.3628936985724
2017-10,2587.5490476348773
2017-11,2578.2957762498236
2017-12,2601.8653265343664
2018-01,2649.366916287408
2018-02,2592.700195210664
2018-03,2516.300027247202
2018-04,2586.3538710836488
2018-05,2680.7900343722968
2018-06,2665.6883738235138
2018-07,2739.679889488897
2018-08,2777.2689360517916
2018-09,2793.5760558077545
2018-10,2649.7239741196163
2018-11,2691.009905679827
2018-12,2476.8030973746486
2019-01,2662.8031750196947
2019-02,2755.2550488296524
2019-03,2829.611358354426
2019-04,2930.2422358061094
2019-05,2772.967274429436
2019-06,2890.464062722473
2019-07,2966.2244744039563
2019-08,2928.232446198578
2019-09,3019.6921448615276
2019-10,3030.6135430478544
2019-11,3141.7742152621095
2019-12,3194.396588893652
2020-01,3200.267324248708
2020-02,2967.4428115746096
2020-03,2569.7129051566917
2020-04,2850.6011987053553
2020-05,2928.2907512519373
2020-06,2992.7534026431895
2020-07,2991.8255510307426
2020-08,3139.4603526414867
2020-09,3097.904862962525
2020-10,3043.457067972647
2020-11,3327.9645869030637
2020-12,3405.0856037422127
2021-01,3412.9011602391483
2021-02,3494.970475987548
2021-03,3704.785398125452
2021-04,3775.3413721946026
2021-05,3774.2256088375775
2021-06,3943.8610241841425
2021-07,3969.787733405245
2021-08,4089.0735636070713
2021-09,3993.44158912739
2021-10,4203.292178609687
2021-11,4218.877965231188
2021-12,4341.692514266193
2022-01,4190.393986052678
2022-02,4076.317511013574
2022-03,4204.025556633588
2022-04,4078.8969970407124
2022-05,4021.811280679567
2022-06,3775.860934228343
2022-07,4140.35124806995
2022-08,4046.157551007265
2022-09,3755.3440152518842
2022-10,3946.660530851024
2022-11,4081.1316671644936
2022-12,3781.278674145624
2023-01,3982.083056654553
2023-02,3959.382862780007
2023-03,3985.1302175664405
2023-04,3977.245816516749
2023-05,4077.218208023896
2023-06,4216.17233199091
2023-07,4325.446780726597
