Date,ACWI ex CHINA
2015-12,2156.058294208789
2016-01,2037.7895568286663
2016-02,2016.2937487476129
2016-03,2062.9238211587317
2016-04,2083.633276424004
2016-05,2146.8796272107365
2016-06,2137.3056007347504
2016-07,2215.339932899536
2016-08,2227.4792472627714
2016-09,2219.8271784980225
2016-10,2237.260962032687
2016-11,2330.8869233989813
2016-12,2399.3607171816175
2017-01,2403.0622068434714
2017-02,2512.019792960379
2017-03,2525.544239679506
2017-04,2518.3733186733784
2017-05,2490.3035055265336
2017-06,2464.97078581376
2017-07,2446.5346650309507
2017-08,2432.269848443341
2017-09,2494.092579580765
2017-10,2581.883129375735
2017-11,2571.730114339021
2017-12,2594.52163738992
2018-01,2635.7598241152314
2018-02,2581.4093428663405
2018-03,2506.328978201474
2018-04,2576.5472961674145
2018-05,2668.437914081029
2018-06,2658.593056519809
2018-07,2738.6649109410896
2018-08,2780.401259393504
2018-09,2799.1629412420484
2018-10,2658.4637304927987
2018-11,2693.946303260837
2018-12,2479.34929488078
2019-01,2662.1722467066347
2019-02,2753.5774623038533
2019-03,2826.2579700613446
2019-04,2928.608488561976
2019-05,2778.9679469165576
2019-06,2895.8285308722266
2019-07,2971.5190194240226
2019-08,2935.1208780184556
2019-09,3029.7059389078217
2019-10,3040.1577862532604
2019-11,3152.11644080332
2019-12,3199.0591348115263
2020-01,3209.7919074262477
2020-02,2964.404688712775
2020-03,2557.3180076109434
2020-04,2842.0951920265716
2020-05,2926.92142427555
2020-06,2983.1104332701434
2020-07,2977.066158522267
2020-08,3124.4571748845137
2020-09,3082.933305388053
2020-10,3014.978411274042
2020-11,3314.568516319293
2020-12,3394.291684211781
2021-01,3388.457964549387
2021-02,3476.714627435167
2021-03,3704.8441814241887
2021-04,3780.8885911388165
2021-05,3781.9524114173796
2021-06,3953.008144461631
2021-07,4009.8654380077837
2021-08,4133.214986657687
2021-09,4037.5884408839706
2021-10,4253.2550885306355
2021-11,4274.030196668283
2021-12,4411.893925293785
2022-01,4252.545361187925
2022-02,4136.754313300589
2022-03,4282.653880073255
2022-04,4149.260428426981
2022-05,4089.3539348225063
2022-06,3813.7384958433036
2022-07,4211.023480759645
2022-08,4106.831444546031
2022-09,3819.922410477535
2022-10,4046.082274849581
2022-11,4160.988816140886
2022-12,3843.835710125765
2023-01,4041.479483947849
2023-02,4032.4856935484304
2023-03,4055.473786561944
2023-04,4058.1204444456052
2023-05,4168.089395288122
2023-06,4311.878177919651
2023-07,4413.235512942637
