Date,EUROPE
1998-12,100.00000000000001
1999-01,102.73321091528983
1999-02,103.58274270329888
1999-03,106.47351674699634
1999-04,111.88987780557235
1999-05,108.05832312702822
1999-06,111.11820138724286
1999-07,108.06350827100817
1999-08,110.60819076070315
1999-09,108.85889769062946
1999-10,114.35710005930613
1999-11,122.59065332846866
1999-12,135.76917012396294
2000-01,129.1925533269573
2000-02,138.13236951005587
2000-03,142.33308274522102
2000-04,142.86554796573841
2000-05,139.22975657432377
2000-06,137.5968630718184
2000-07,140.06725561829722
2000-08,144.26508341632683
2000-09,138.53925565056082
2000-10,143.14174303633183
2000-11,133.97913833061511
2000-12,132.78825620466978
2001-01,134.1204586232609
2001-02,123.7231913425022
2001-03,119.10570762041898
2001-04,127.2028045024471
2001-05,126.56187169830672
2001-06,121.92852463931004
2001-07,118.26418275402919
2001-08,110.94973982669018
2001-09,99.6198334922061
2001-10,103.92813187611657
2001-11,108.74581022611001
2001-12,112.15141686217513
2002-01,109.93341972764829
2002-02,109.39389975881902
2002-03,114.3440840447366
2002-04,109.85727870851778
2002-05,105.63474983392555
2002-06,96.45924737202351
2002-07,86.35598236801788
2002-08,86.31374822633262
2002-09,74.3864909790671
2002-10,81.40742024063907
2002-11,85.02274659175049
2002-12,77.67251806204864
2003-01,72.33672846794123
2003-02,69.69680911203636
2003-03,67.8139007185438
2003-04,75.2498971362969
2003-05,76.03272625857561
2003-06,78.62421845078373
2003-07,81.84648534732966
2003-08,83.74924616552487
2003-09,80.56222513789461
2003-10,86.10312045238632
2003-11,87.0568345923913
2003-12,89.52723974763627
2004-01,91.96282795968416
2004-02,94.64109502840907
2004-03,92.70647759389891
2004-04,94.24990037997345
2004-05,94.02360792069734
2004-06,95.63365359661152
2004-07,93.9829208263798
2004-08,93.16136945389532
2004-09,94.8145317254956
2004-10,95.91623897671192
2004-11,98.53730296253875
2004-12,100.42806256076021
2005-01,102.77838041101944
2005-02,105.98480766681084
2005-03,105.5179541272835
2005-04,103.53654878590243
2005-05,108.63321997860257
2005-06,112.3218110327863
2005-07,116.02940603556465
2005-08,116.30398006608509
2005-09,121.5170835347102
2005-10,118.46679686566152
2005-11,122.38539817818277
2005-12,126.62693812943111
2006-01,131.03971707444796
2006-02,133.57428425333856
2006-03,136.71056128951162
2006-04,138.04700703675755
2006-05,131.6430434979627
2006-06,132.67037950723596
2006-07,134.9568639698029
2006-08,138.7920874937542
2006-09,141.45003818686848
2006-10,146.40696465576755
2006-11,145.9848674195668
2006-12,151.46093584470705
2007-01,154.6068993005561
2007-02,151.54324245745738
2007-03,155.83212331265887
2007-04,161.81391114359022
2007-05,166.99637181587306
2007-06,166.3577243034393
2007-07,160.6385767602794
2007-08,159.51748043435572
2007-09,160.65221254585344
2007-10,165.279924590249
2007-11,157.6897526561417
2007-12,155.54192676943475
2008-01,137.56717042700643
2008-02,136.32342022530366
2008-03,131.1500355994452
2008-04,139.51972371021893
2008-05,140.39372501561792
2008-06,126.42582424190125
2008-07,123.99644158321897
2008-08,126.2334594557319
2008-09,112.35044883912187
2008-10,98.01369734200573
2008-11,91.23130186082136
2008-12,87.65211347509651
2009-01,84.56236143383703
2009-02,76.65598064460818
2009-03,78.40923393029186
2009-04,89.51713229116095
2009-05,93.96868846640892
2009-06,92.96926886103688
2009-07,101.63941428598717
2009-08,106.74695886846885
2009-09,109.66421616009826
2009-10,107.38045851082015
2009-11,108.59145256283638
2009-12,115.34729950929058
2010-01,112.03012791439131
2010-02,111.83266949109611
2010-03,120.1011761813245
2010-04,118.9125575229608
2010-05,113.16754135789054
2010-06,112.52340755369369
2010-07,118.11458088708957
2010-08,116.61952840956762
